==ID: 0{'N0': 0.10825207262384626, 'Nmax': -777.2442227468191, 'rmax': 0.00013664053212447937}-133.64662411819816

==ID: 1{'N0': 0.014449980961826215, 'Nmax': 0.11226887203626341, 'rmax': 0.26609426485987864}-116.50901275405037

==ID: 2{'N0': 0.008850763966809975, 'Nmax': 0.11298675584497976, 'rmax': 0.4605531545306903}-122.73502498723795

==ID: 3{'N0': 0.01668337021989213, 'Nmax': 0.04750275019568626, 'rmax': 0.008363162440998407}-330.0270536763249

==ID: 4{'N0': 0.026033276697910675, 'Nmax': 0.20490516459560687, 'rmax': 0.09845291150890717}-159.55895677493265

==ID: 5{'N0': 0.017679402681054956, 'Nmax': 0.14965036582072083, 'rmax': 0.3225820904303011}-88.76131770518097

==ID: 6{'N0': 0.024210794868914042, 'Nmax': 0.36327651165208835, 'rmax': 0.31284929713967624}-94.48475298993937

==ID: 7{'N0': 0.05420953957952666, 'Nmax': -237342.93253312228, 'rmax': 0.0014338987713138917}-226.52509514330578

==ID: 8{'N0': 0.021367566636017295, 'Nmax': 0.1504613972686207, 'rmax': 0.14039666602268738}-154.71330999032034

==ID: 9{'N0': 0.0898325420005913, 'Nmax': -18525.19340832698, 'rmax': 0.00437423578288714}-64.50777534258089

==ID: 10{'N0': 0.00750248498285114, 'Nmax': 0.2590578567961271, 'rmax': 0.4941626111510315}-75.35533837114022

==ID: 11{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 12{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 13{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 14{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 15{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 16{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 17{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 18{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 19{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 20{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 21{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 22{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 23{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 24{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 25{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 26{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 27{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 28{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 29{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 30{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 31{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

fffffffffff==ID: 32{'N0': 0.013647750758948503, 'Nmax': 0.10492153143391586, 'rmax': 0.01334078717264889}-307.2881639000639

