x,y
351.8,292.0
352.0,291.8
353.0,291.8
353.8,291.0
354.0,290.8
355.0,290.8
355.8,290.0
355.8,289.0
356.0,288.8
356.8,288.0
357.0,287.8
357.8,287.0
358.0,286.8
359.0,286.8
359.8,286.0
360.0,285.8
360.8,285.0
361.0,284.8
361.8,284.0
362.0,283.8
362.8,283.0
363.0,282.8
363.8,282.0
363.8,281.0
364.0,280.8
364.8,280.0
365.0,279.8
365.8,279.0
366.0,278.8
366.8,278.0
367.0,277.8
368.0,277.8
368.8,277.0
369.0,276.8
369.8,276.0
370.0,275.8
370.8,275.0
371.0,274.8
372.0,274.8
373.0,274.8
374.0,274.8
374.2,275.0
374.2,276.0
374.0,276.2
373.2,277.0
373.0,277.2
372.2,278.0
372.2,279.0
372.2,280.0
373.0,280.8
373.2,281.0
374.0,281.8
374.2,282.0
374.2,283.0
375.0,283.8
376.0,283.8
376.2,284.0
376.2,285.0
377.0,285.8
377.2,286.0
378.0,286.8
379.0,286.8
379.8,286.0
380.0,285.8
380.2,286.0
381.0,286.8
382.0,286.8
383.0,286.8
384.0,286.8
385.0,286.8
386.0,286.8
387.0,286.8
387.8,286.0
388.0,285.8
388.8,285.0
389.0,284.8
390.0,284.8
390.8,284.0
391.0,283.8
391.2,284.0
392.0,284.8
393.0,284.8
393.8,284.0
394.0,283.8
394.8,283.0
394.8,282.0
395.0,281.8
396.0,281.8
396.8,281.0
396.8,280.0
396.8,279.0
396.8,278.0
396.8,277.0
396.8,276.0
396.8,275.0
396.8,274.0
396.0,273.2
395.8,273.0
396.0,272.8
397.0,272.8
398.0,272.8
399.0,272.8
399.8,272.0
400.0,271.8
400.8,271.0
401.0,270.8
401.8,270.0
402.0,269.8
402.8,269.0
402.0,268.2
401.8,268.0
401.8,267.0
401.8,266.0
401.8,265.0
401.8,264.0
401.8,263.0
401.8,262.0
401.8,261.0
401.8,260.0
401.8,259.0
401.8,258.0
401.8,257.0
401.8,256.0
401.8,255.0
401.0,254.2
400.8,254.0
400.8,253.0
401.0,252.8
402.0,252.8
403.0,252.8
404.0,252.8
405.0,252.8
405.8,252.0
406.0,251.8
406.8,251.0
407.0,250.8
407.8,250.0
407.0,249.2
406.8,249.0
406.8,248.0
406.8,247.0
406.8,246.0
406.0,245.2
405.0,245.2
404.8,245.0
404.0,244.2
403.0,244.2
402.0,244.2
401.0,244.2
400.0,244.2
399.0,244.2
398.2,245.0
398.0,245.2
397.0,245.2
396.2,246.0
396.0,246.2
395.2,247.0
395.2,248.0
395.0,248.2
394.8,248.0
394.0,247.2
393.8,247.0
393.8,246.0
394.0,245.8
394.8,245.0
394.8,244.0
394.0,243.2
393.8,243.0
393.0,242.2
392.8,242.0
392.8,241.0
392.8,240.0
392.0,239.2
391.8,239.0
391.0,238.2
390.8,238.0
390.0,237.2
389.8,237.0
389.0,236.2
388.8,236.0
388.8,235.0
388.8,234.0
388.0,233.2
387.0,233.2
386.8,233.0
386.0,232.2
385.0,232.2
384.0,232.2
383.0,232.2
382.0,232.2
381.8,232.0
381.0,231.2
380.0,231.2
379.2,232.0
379.0,232.2
378.0,232.2
377.0,232.2
376.8,232.0
376.8,231.0
377.0,230.8
377.8,230.0
378.0,229.8
378.8,229.0
378.8,228.0
378.8,227.0
378.8,226.0
378.0,225.2
377.8,225.0
377.0,224.2
376.8,224.0
376.8,223.0
376.8,222.0
376.8,221.0
376.8,220.0
376.8,219.0
376.0,218.2
375.8,218.0
375.0,217.2
374.0,217.2
373.0,217.2
372.0,217.2
371.8,217.0
371.0,216.2
370.0,216.2
369.2,217.0
369.2,218.0
369.2,219.0
369.2,220.0
369.2,221.0
369.2,222.0
369.0,222.2
368.2,223.0
369.0,223.8
369.2,224.0
370.0,224.8
371.0,224.8
372.0,224.8
373.0,224.8
374.0,224.8
374.2,225.0
374.2,226.0
374.2,227.0
374.2,228.0
374.2,229.0
374.2,230.0
374.0,230.2
373.2,231.0
373.0,231.2
372.0,231.2
371.8,231.0
371.0,230.2
370.0,230.2
369.0,230.2
368.8,230.0
368.0,229.2
367.8,229.0
367.0,228.2
366.8,228.0
366.0,227.2
365.0,227.2
364.2,228.0
364.2,229.0
364.2,230.0
364.0,230.2
363.0,230.2
362.0,230.2
361.0,230.2
360.0,230.2
359.0,230.2
358.0,230.2
357.0,230.2
356.2,231.0
356.0,231.2
355.2,232.0
355.0,232.2
354.2,233.0
354.2,234.0
354.0,234.2
353.2,235.0
353.0,235.2
352.2,236.0
352.0,236.2
351.2,237.0
351.0,237.2
350.0,237.2
349.2,238.0
349.0,238.2
348.0,238.2
347.2,239.0
347.0,239.2
346.2,240.0
346.0,240.2
345.0,240.2
344.0,240.2
343.0,240.2
342.2,241.0
342.2,242.0
342.0,242.2
341.2,243.0
341.0,243.2
340.2,244.0
340.2,245.0
340.2,246.0
340.0,246.2
339.0,246.2
338.2,247.0
338.2,248.0
338.2,249.0
339.0,249.8
339.2,250.0
339.2,251.0
339.0,251.2
338.2,252.0
338.2,253.0
339.0,253.8
339.2,254.0
340.0,254.8
341.0,254.8
341.2,255.0
341.2,256.0
342.0,256.8
342.2,257.0
343.0,257.8
343.2,258.0
344.0,258.8
344.2,259.0
345.0,259.8
346.0,259.8
346.2,260.0
347.0,260.8
347.8,260.0
348.0,259.8
349.0,259.8
349.2,260.0
350.0,260.8
350.8,260.0
351.0,259.8
352.0,259.8
352.8,259.0
353.0,258.8
354.0,258.8
354.2,259.0
355.0,259.8
355.2,260.0
355.2,261.0
355.0,261.2
354.2,262.0
354.0,262.2
353.2,263.0
353.2,264.0
353.0,264.2
352.2,265.0
352.2,266.0
352.2,267.0
352.2,268.0
352.0,268.2
351.2,269.0
351.0,269.2
350.2,270.0
350.2,271.0
350.2,272.0
350.2,273.0
350.2,274.0
350.0,274.2
