x,y
227.8,425.0
227.0,424.2
226.8,424.0
227.0,423.8
228.0,423.8
229.0,423.8
230.0,423.8
230.8,423.0
230.8,422.0
231.0,421.8
232.0,421.8
232.8,421.0
233.0,420.8
234.0,420.8
235.0,420.8
236.0,420.8
237.0,420.8
238.0,420.8
239.0,420.8
240.0,420.8
240.2,421.0
241.0,421.8
242.0,421.8
243.0,421.8
243.2,422.0
244.0,422.8
245.0,422.8
246.0,422.8
247.0,422.8
248.0,422.8
249.0,422.8
250.0,422.8
251.0,422.8
252.0,422.8
253.0,422.8
254.0,422.8
254.2,423.0
255.0,423.8
256.0,423.8
256.2,424.0
257.0,424.8
258.0,424.8
259.0,424.8
260.0,424.8
261.0,424.8
262.0,424.8
263.0,424.8
264.0,424.8
265.0,424.8
266.0,424.8
267.0,424.8
268.0,424.8
269.0,424.8
270.0,424.8
271.0,424.8
272.0,424.8
272.8,424.0
273.0,423.8
273.8,423.0
274.0,422.8
274.8,422.0
275.0,421.8
276.0,421.8
277.0,421.8
277.8,421.0
278.0,420.8
279.0,420.8
279.8,420.0
279.8,419.0
280.0,418.8
280.8,418.0
281.0,417.8
281.8,417.0
281.8,416.0
282.0,415.8
282.8,415.0
282.8,414.0
282.8,413.0
282.8,412.0
282.8,411.0
282.8,410.0
283.0,409.8
284.0,409.8
284.8,409.0
284.8,408.0
284.8,407.0
285.0,406.8
285.8,406.0
286.0,405.8
286.8,405.0
286.8,404.0
286.8,403.0
286.0,402.2
285.8,402.0
286.0,401.8
286.8,401.0
286.8,400.0
286.0,399.2
285.8,399.0
285.8,398.0
285.8,397.0
285.8,396.0
285.8,395.0
285.8,394.0
285.8,393.0
285.0,392.2
284.8,392.0
284.0,391.2
283.8,391.0
283.0,390.2
282.8,390.0
282.0,389.2
281.8,389.0
281.0,388.2
280.8,388.0
280.0,387.2
279.8,387.0
279.0,386.2
278.8,386.0
278.0,385.2
277.0,385.2
276.8,385.0
276.0,384.2
275.0,384.2
274.0,384.2
273.8,384.0
273.0,383.2
272.8,383.0
272.0,382.2
271.0,382.2
270.0,382.2
269.0,382.2
268.8,382.0
268.0,381.2
267.0,381.2
266.8,381.0
266.0,380.2
265.0,380.2
264.0,380.2
263.0,380.2
262.0,380.2
261.0,380.2
260.0,380.2
259.0,380.2
258.0,380.2
257.0,380.2
256.0,380.2
255.0,380.2
254.0,380.2
253.0,380.2
252.0,380.2
251.0,380.2
250.0,380.2
249.2,381.0
249.0,381.2
248.2,382.0
248.0,382.2
247.0,382.2
246.2,383.0
246.0,383.2
245.2,384.0
245.0,384.2
244.0,384.2
243.0,384.2
242.2,385.0
242.0,385.2
241.2,386.0
241.0,386.2
240.2,387.0
240.0,387.2
239.2,388.0
239.0,388.2
238.0,388.2
237.2,389.0
237.0,389.2
236.2,390.0
236.2,391.0
236.0,391.2
235.0,391.2
234.2,392.0
234.0,392.2
233.2,393.0
233.0,393.2
232.2,394.0
232.0,394.2
231.0,394.2
230.0,394.2
229.0,394.2
228.0,394.2
227.0,394.2
226.0,394.2
225.0,394.2
224.0,394.2
223.8,394.0
223.8,393.0
223.0,392.2
222.0,392.2
221.0,392.2
220.0,392.2
219.0,392.2
218.0,392.2
217.2,393.0
217.2,394.0
218.0,394.8
218.2,395.0
219.0,395.8
219.2,396.0
220.0,396.8
220.2,397.0
221.0,397.8
221.2,398.0
222.0,398.8
223.0,398.8
224.0,398.8
224.2,399.0
225.0,399.8
226.0,399.8
227.0,399.8
227.2,400.0
228.0,400.8
229.0,400.8
229.2,401.0
229.0,401.2
228.2,402.0
228.0,402.2
227.2,403.0
227.0,403.2
226.2,404.0
226.0,404.2
225.0,404.2
224.2,405.0
224.0,405.2
223.0,405.2
222.0,405.2
221.2,406.0
221.0,406.2
220.0,406.2
219.0,406.2
218.2,407.0
218.0,407.2
217.2,408.0
217.2,409.0
217.2,410.0
218.0,410.8
219.0,410.8
220.0,410.8
221.0,410.8
222.0,410.8
223.0,410.8
224.0,410.8
224.8,410.0
225.0,409.8
226.0,409.8
227.0,409.8
228.0,409.8
229.0,409.8
230.0,409.8
231.0,409.8
232.0,409.8
232.2,410.0
233.0,410.8
233.2,411.0
233.0,411.2
232.2,412.0
232.2,413.0
232.0,413.2
231.2,414.0
231.0,414.2
230.2,415.0
230.0,415.2
229.0,415.2
228.2,416.0
228.0,416.2
227.0,416.2
226.2,417.0
226.0,417.2
225.2,418.0
225.0,418.2
224.2,419.0
224.2,420.0
224.2,421.0
224.0,421.2
223.2,422.0
223.2,423.0
223.2,424.0
224.0,424.8
224.2,425.0
225.0,425.8
226.0,425.8
227.0,425.8
227.8,425.0
