x,y
318.8,625.0
319.0,624.8
319.8,624.0
319.8,623.0
319.8,622.0
319.0,621.2
318.0,621.2
317.0,621.2
316.0,621.2
315.8,621.0
315.0,620.2
314.0,620.2
313.0,620.2
312.0,620.2
311.8,620.0
311.0,619.2
310.0,619.2
309.0,619.2
308.8,619.0
308.0,618.2
307.0,618.2
306.0,618.2
305.8,618.0
305.0,617.2
304.0,617.2
303.8,617.0
303.0,616.2
302.0,616.2
301.8,616.0
301.0,615.2
300.0,615.2
299.8,615.0
299.0,614.2
298.0,614.2
297.8,614.0
297.0,613.2
296.0,613.2
295.8,613.0
295.0,612.2
294.8,612.0
294.0,611.2
293.8,611.0
293.0,610.2
292.0,610.2
291.8,610.0
291.0,609.2
290.8,609.0
290.0,608.2
289.0,608.2
288.8,608.0
288.0,607.2
287.8,607.0
287.0,606.2
286.8,606.0
286.0,605.2
285.8,605.0
285.0,604.2
284.0,604.2
283.8,604.0
283.0,603.2
282.0,603.2
281.0,603.2
280.8,603.0
280.0,602.2
279.0,602.2
278.0,602.2
277.8,602.0
277.0,601.2
276.0,601.2
275.0,601.2
274.8,601.0
274.0,600.2
273.0,600.2
272.0,600.2
271.8,600.0
271.0,599.2
270.0,599.2
269.0,599.2
268.8,599.0
268.0,598.2
267.0,598.2
266.0,598.2
265.0,598.2
264.0,598.2
263.8,598.0
263.0,597.2
262.0,597.2
261.8,597.0
261.0,596.2
260.0,596.2
259.8,596.0
259.0,595.2
258.0,595.2
257.0,595.2
256.0,595.2
255.0,595.2
254.0,595.2
253.0,595.2
252.0,595.2
251.2,596.0
251.0,596.2
250.0,596.2
249.0,596.2
248.0,596.2
247.0,596.2
246.0,596.2
245.0,596.2
244.2,597.0
244.0,597.2
243.0,597.2
242.2,598.0
242.0,598.2
241.2,599.0
241.0,599.2
240.2,600.0
240.0,600.2
239.0,600.2
238.2,601.0
238.0,601.2
237.0,601.2
236.2,602.0
236.0,602.2
235.2,603.0
235.0,603.2
234.2,604.0
234.0,604.2
233.0,604.2
232.2,605.0
232.0,605.2
231.2,606.0
231.0,606.2
230.0,606.2
229.2,607.0
229.0,607.2
228.2,608.0
228.0,608.2
227.0,608.2
226.2,609.0
226.0,609.2
225.0,609.2
224.2,610.0
224.0,610.2
223.8,610.0
223.0,609.2
222.2,610.0
222.0,610.2
221.0,610.2
220.0,610.2
219.0,610.2
218.0,610.2
217.0,610.2
216.0,610.2
215.2,611.0
215.0,611.2
214.0,611.2
213.8,611.0
213.0,610.2
212.0,610.2
211.0,610.2
210.0,610.2
209.0,610.2
208.0,610.2
207.0,610.2
206.0,610.2
205.8,610.0
205.0,609.2
204.0,609.2
203.0,609.2
202.0,609.2
201.0,609.2
200.0,609.2
199.0,609.2
198.0,609.2
197.0,609.2
196.0,609.2
195.0,609.2
194.8,609.0
194.0,608.2
193.0,608.2
192.0,608.2
191.8,608.0
191.0,607.2
190.0,607.2
189.8,607.0
189.0,606.2
188.0,606.2
187.0,606.2
186.2,607.0
186.2,608.0
187.0,608.8
187.2,609.0
188.0,609.8
188.2,610.0
189.0,610.8
189.2,611.0
189.2,612.0
190.0,612.8
190.2,613.0
191.0,613.8
191.2,614.0
192.0,614.8
192.2,615.0
193.0,615.8
194.0,615.8
194.2,616.0
195.0,616.8
196.0,616.8
197.0,616.8
197.2,617.0
198.0,617.8
198.2,618.0
199.0,618.8
200.0,618.8
201.0,618.8
201.2,619.0
202.0,619.8
203.0,619.8
204.0,619.8
205.0,619.8
206.0,619.8
207.0,619.8
207.2,620.0
208.0,620.8
209.0,620.8
210.0,620.8
211.0,620.8
212.0,620.8
213.0,620.8
214.0,620.8
215.0,620.8
216.0,620.8
217.0,620.8
218.0,620.8
219.0,620.8
220.0,620.8
220.8,620.0
221.0,619.8
222.0,619.8
223.0,619.8
223.8,619.0
224.0,618.8
224.8,618.0
225.0,617.8
225.8,617.0
226.0,616.8
226.8,616.0
226.8,615.0
227.0,614.8
228.0,614.8
228.8,614.0
229.0,613.8
230.0,613.8
230.8,613.0
231.0,612.8
231.2,613.0
232.0,613.8
233.0,613.8
234.0,613.8
235.0,613.8
236.0,613.8
237.0,613.8
238.0,613.8
238.2,614.0
239.0,614.8
240.0,614.8
240.2,615.0
241.0,615.8
242.0,615.8
243.0,615.8
243.2,616.0
244.0,616.8
245.0,616.8
246.0,616.8
247.0,616.8
247.2,617.0
248.0,617.8
249.0,617.8
250.0,617.8
251.0,617.8
251.2,618.0
252.0,618.8
253.0,618.8
253.2,619.0
254.0,619.8
255.0,619.8
256.0,619.8
256.2,620.0
257.0,620.8
258.0,620.8
259.0,620.8
260.0,620.8
260.2,621.0
261.0,621.8
262.0,621.8
263.0,621.8
264.0,621.8
265.0,621.8
266.0,621.8
267.0,621.8
268.0,621.8
268.2,622.0
269.0,622.8
270.0,622.8
271.0,622.8
272.0,622.8
273.0,622.8
273.8,622.0
274.0,621.8
275.0,621.8
276.0,621.8
277.0,621.8
278.0,621.8
279.0,621.8
280.0,621.8
281.0,621.8
282.0,621.8
283.0,621.8
284.0,621.8
285.0,621.8
286.0,621.8
287.0,621.8
288.0,621.8
289.0,621.8
290.0,621.8
291.0,621.8
292.0,621.8
293.0,621.8
294.0,621.8
294.2,622.0
295.0,622.8
296.0,622.8
297.0,622.8
298.0,622.8
299.0,622.8
300.0,622.8
301.0,622.8
301.2,623.0
302.0,623.8
303.0,623.8
304.0,623.8
304.2,624.0
305.0,624.8
306.0,624.8
307.0,624.8
308.0,624.8
308.2,625.0
309.0,625.8
310.0,625.8
311.0,625.8
312.0,625.8
313.0,625.8
314.0,625.8
315.0,625.8
316.0,625.8
317.0,625.8
318.0,625.8
318.8,625.0
