x,y
187.8,201.0
188.0,200.8
189.0,200.8
190.0,200.8
190.8,200.0
191.0,199.8
191.8,199.0
191.8,198.0
192.0,197.8
192.8,197.0
193.0,196.8
193.8,196.0
194.0,195.8
195.0,195.8
195.8,195.0
196.0,194.8
196.2,195.0
197.0,195.8
197.2,196.0
198.0,196.8
198.2,197.0
199.0,197.8
200.0,197.8
200.2,198.0
201.0,198.8
201.2,199.0
202.0,199.8
203.0,199.8
204.0,199.8
204.8,199.0
205.0,198.8
205.8,198.0
206.0,197.8
206.8,197.0
206.8,196.0
207.0,195.8
207.8,195.0
207.8,194.0
208.0,193.8
208.8,193.0
208.8,192.0
208.8,191.0
209.0,190.8
209.8,190.0
209.0,189.2
208.8,189.0
209.0,188.8
209.8,188.0
209.8,187.0
209.8,186.0
209.0,185.2
208.8,185.0
208.8,184.0
208.8,183.0
208.0,182.2
207.8,182.0
207.8,181.0
207.0,180.2
206.8,180.0
206.8,179.0
206.0,178.2
205.0,178.2
204.8,178.0
204.0,177.2
203.0,177.2
202.8,177.0
202.0,176.2
201.0,176.2
200.8,176.0
200.0,175.2
199.0,175.2
198.0,175.2
197.8,175.0
197.0,174.2
196.0,174.2
195.0,174.2
194.0,174.2
193.0,174.2
192.0,174.2
191.0,174.2
190.0,174.2
189.0,174.2
188.2,175.0
188.0,175.2
187.0,175.2
186.0,175.2
185.2,176.0
185.0,176.2
184.2,177.0
184.0,177.2
183.0,177.2
182.2,178.0
182.0,178.2
181.0,178.2
180.2,179.0
180.0,179.2
179.2,180.0
179.2,181.0
179.2,182.0
180.0,182.8
180.2,183.0
181.0,183.8
181.2,184.0
182.0,184.8
182.2,185.0
183.0,185.8
184.0,185.8
184.2,186.0
185.0,186.8
186.0,186.8
186.2,187.0
187.0,187.8
187.2,188.0
188.0,188.8
188.2,189.0
188.0,189.2
187.2,190.0
187.0,190.2
186.2,191.0
186.0,191.2
185.2,192.0
185.0,192.2
184.2,193.0
184.0,193.2
183.2,194.0
183.2,195.0
183.0,195.2
182.2,196.0
182.2,197.0
182.2,198.0
182.2,199.0
182.2,200.0
182.2,201.0
183.0,201.8
184.0,201.8
185.0,201.8
186.0,201.8
187.0,201.8
187.8,201.0
