x,y
219.8,407.0
219.8,406.0
220.0,405.8
220.8,405.0
220.8,404.0
221.0,403.8
221.8,403.0
222.0,402.8
223.0,402.8
224.0,402.8
224.8,402.0
224.8,401.0
224.8,400.0
224.8,399.0
224.0,398.2
223.8,398.0
223.8,397.0
223.0,396.2
222.8,396.0
222.8,395.0
222.0,394.2
221.8,394.0
221.8,393.0
221.8,392.0
221.0,391.2
220.8,391.0
220.0,390.2
219.8,390.0
219.0,389.2
218.8,389.0
218.0,388.2
217.8,388.0
217.0,387.2
216.0,387.2
215.8,387.0
215.0,386.2
214.0,386.2
213.8,386.0
213.0,385.2
212.8,385.0
212.0,384.2
211.0,384.2
210.8,384.0
210.8,383.0
210.0,382.2
209.8,382.0
209.8,381.0
209.0,380.2
208.8,380.0
208.8,379.0
208.8,378.0
209.0,377.8
209.8,377.0
209.8,376.0
209.0,375.2
208.8,375.0
208.8,374.0
208.0,373.2
207.8,373.0
207.0,372.2
206.2,373.0
206.2,374.0
206.0,374.2
205.2,375.0
205.2,376.0
205.2,377.0
205.2,378.0
205.0,378.2
204.2,379.0
204.2,380.0
204.2,381.0
204.2,382.0
204.2,383.0
204.2,384.0
204.2,385.0
204.2,386.0
204.2,387.0
205.0,387.8
205.2,388.0
205.2,389.0
205.2,390.0
205.2,391.0
206.0,391.8
206.2,392.0
206.2,393.0
207.0,393.8
207.2,394.0
207.2,395.0
207.2,396.0
208.0,396.8
208.2,397.0
208.2,398.0
209.0,398.8
209.2,399.0
209.2,400.0
210.0,400.8
210.2,401.0
210.2,402.0
211.0,402.8
211.2,403.0
212.0,403.8
212.2,404.0
213.0,404.8
213.2,405.0
214.0,405.8
215.0,405.8
215.2,406.0
216.0,406.8
217.0,406.8
218.0,406.8
218.2,407.0
219.0,407.8
219.8,407.0
