x,y
126.8,105.0
127.0,104.8
127.8,104.0
127.8,103.0
128.0,102.8
128.8,102.0
129.0,101.8
129.8,101.0
129.8,100.0
129.8,99.0
129.8,98.0
129.8,97.0
129.8,96.0
129.8,95.0
129.0,94.2
128.8,94.0
128.8,93.0
128.8,92.0
128.8,91.0
128.0,90.2
127.8,90.0
127.8,89.0
127.8,88.0
127.0,87.2
126.8,87.0
126.8,86.0
126.8,85.0
126.8,84.0
126.8,83.0
126.8,82.0
126.8,81.0
126.0,80.2
125.8,80.0
125.8,79.0
125.0,78.2
124.8,78.0
124.8,77.0
124.8,76.0
124.8,75.0
124.0,74.2
123.8,74.0
123.0,73.2
122.2,74.0
122.0,74.2
121.2,75.0
121.2,76.0
121.0,76.2
120.2,77.0
120.0,77.2
119.2,78.0
119.2,79.0
119.0,79.2
118.2,80.0
118.2,81.0
118.2,82.0
118.2,83.0
118.2,84.0
118.2,85.0
118.2,86.0
118.2,87.0
118.2,88.0
118.2,89.0
118.2,90.0
118.2,91.0
119.0,91.8
119.2,92.0
119.2,93.0
119.2,94.0
119.2,95.0
119.2,96.0
119.2,97.0
119.2,98.0
119.2,99.0
119.2,100.0
119.2,101.0
119.2,102.0
120.0,102.8
120.2,103.0
120.2,104.0
121.0,104.8
122.0,104.8
122.2,105.0
123.0,105.8
124.0,105.8
125.0,105.8
126.0,105.8
126.8,105.0
