x,y
106.8,104.0
106.8,103.0
107.0,102.8
108.0,102.8
108.8,102.0
108.8,101.0
109.0,100.8
110.0,100.8
110.8,100.0
110.8,99.0
110.8,98.0
110.8,97.0
111.0,96.8
111.8,96.0
112.0,95.8
112.8,95.0
112.8,94.0
112.8,93.0
112.8,92.0
112.8,91.0
113.0,90.8
114.0,90.8
114.8,90.0
114.8,89.0
114.8,88.0
114.8,87.0
114.8,86.0
114.8,85.0
114.8,84.0
114.8,83.0
114.8,82.0
114.8,81.0
114.8,80.0
114.8,79.0
114.8,78.0
114.8,77.0
114.8,76.0
114.8,75.0
114.8,74.0
114.8,73.0
114.8,72.0
114.8,71.0
114.8,70.0
114.8,69.0
114.8,68.0
114.8,67.0
114.0,66.2
113.0,66.2
112.8,66.0
112.8,65.0
112.0,64.2
111.0,64.2
110.8,64.0
110.8,63.0
110.8,62.0
110.8,61.0
110.0,60.2
109.0,60.2
108.8,60.0
108.8,59.0
108.8,58.0
108.0,57.2
107.8,57.0
107.0,56.2
106.8,56.0
106.8,55.0
106.8,54.0
106.8,53.0
106.0,52.2
105.0,52.2
104.8,52.0
104.0,51.2
103.8,51.0
103.0,50.2
102.8,50.0
102.0,49.2
101.8,49.0
101.0,48.2
100.8,48.0
100.8,47.0
100.0,46.2
99.8,46.0
99.0,45.2
98.8,45.0
98.8,44.0
98.8,43.0
98.8,42.0
98.8,41.0
98.0,40.2
97.2,41.0
97.0,41.2
96.0,41.2
95.8,41.0
95.8,40.0
95.0,39.2
94.8,39.0
94.8,38.0
94.8,37.0
94.8,36.0
94.8,35.0
94.0,34.2
93.0,34.2
92.8,34.0
92.8,33.0
92.0,32.2
91.0,32.2
90.8,32.0
90.8,31.0
90.8,30.0
90.8,29.0
90.0,28.2
89.8,28.0
90.0,27.8
90.8,27.0
90.8,26.0
90.0,25.2
89.0,25.2
88.8,25.0
88.0,24.2
87.8,24.0
87.0,23.2
86.8,23.0
86.0,22.2
85.8,22.0
85.8,21.0
85.0,20.2
84.8,20.0
84.8,19.0
84.0,18.2
83.8,18.0
83.8,17.0
83.0,16.2
82.8,16.0
82.8,15.0
82.0,14.2
81.8,14.0
81.8,13.0
81.0,12.2
80.8,12.0
80.0,11.2
