x,y
126.8,234.0
127.0,233.8
128.0,233.8
129.0,233.8
129.8,233.0
130.0,232.8
130.8,232.0
131.0,231.8
132.0,231.8
132.8,231.0
133.0,230.8
133.8,230.0
133.8,229.0
133.8,228.0
133.8,227.0
133.8,226.0
133.8,225.0
133.8,224.0
133.8,223.0
133.8,222.0
133.8,221.0
134.0,220.8
134.8,220.0
134.8,219.0
134.8,218.0
134.8,217.0
134.8,216.0
135.0,215.8
135.8,215.0
135.8,214.0
135.8,213.0
135.8,212.0
135.8,211.0
135.8,210.0
135.8,209.0
135.8,208.0
135.8,207.0
135.8,206.0
135.8,205.0
135.0,204.2
134.8,204.0
134.8,203.0
134.8,202.0
134.8,201.0
134.0,200.2
133.0,200.2
132.8,200.0
132.8,199.0
132.0,198.2
131.0,198.2
130.8,198.0
130.8,197.0
130.0,196.2
129.0,196.2
128.8,196.0
128.8,195.0
128.8,194.0
128.8,193.0
128.8,192.0
128.8,191.0
128.0,190.2
127.0,190.2
126.0,190.2
125.0,190.2
124.0,190.2
123.0,190.2
122.0,190.2
121.0,190.2
120.8,190.0
120.8,189.0
120.8,188.0
120.8,187.0
120.8,186.0
120.8,185.0
120.0,184.2
119.0,184.2
118.8,184.0
118.8,183.0
118.0,182.2
117.0,182.2
116.0,182.2
115.0,182.2
114.0,182.2
113.0,182.2
112.0,182.2
111.0,182.2
110.8,182.0
110.8,181.0
110.0,180.2
109.0,180.2
108.8,180.0
108.8,179.0
108.8,178.0
108.8,177.0
108.0,176.2
107.0,176.2
106.0,176.2
105.0,176.2
104.0,176.2
103.0,176.2
102.8,176.0
102.8,175.0
102.8,174.0
102.8,173.0
102.0,172.2
101.0,172.2
100.8,172.0
100.8,171.0
100.0,170.2
99.0,170.2
98.8,170.0
98.8,169.0
98.0,168.2
97.0,168.2
96.0,168.2
95.2,169.0
95.0,169.2
94.2,170.0
94.2,171.0
94.2,172.0
94.0,172.2
93.0,172.2
92.2,173.0
92.2,174.0
92.2,175.0
92.2,176.0
92.2,177.0
92.2,178.0
92.2,179.0
92.2,180.0
92.2,181.0
92.2,182.0
92.0,182.2
91.0,182.2
90.2,183.0
90.2,184.0
90.2,185.0
91.0,185.8
92.0,185.8
92.2,186.0
92.0,186.2
91.2,187.0
91.0,187.2
90.2,188.0
90.2,189.0
90.2,190.0
90.2,191.0
90.2,192.0
90.2,193.0
90.2,194.0
91.0,194.8
92.0,194.8
92.2,195.0
92.2,196.0
92.2,197.0
92.2,198.0
92.2,199.0
92.2,200.0
93.0,200.8
94.0,200.8
94.2,201.0
94.0,201.2
93.0,201.2
92.2,202.0
92.0,202.2
91.0,202.2
90.2,203.0
90.2,204.0
90.2,205.0
90.2,206.0
91.0,206.8
92.0,206.8
92.2,207.0
92.2,208.0
93.0,208.8
94.0,208.8
94.2,209.0
94.2,210.0
95.0,210.8
96.0,210.8
96.2,211.0
96.2,212.0
97.0,212.8
98.0,212.8
98.2,213.0
98.2,214.0
99.0,214.8
100.0,214.8
100.2,215.0
100.0,215.2
99.2,216.0
99.0,216.2
98.2,217.0
98.2,218.0
98.2,219.0
98.2,220.0
99.0,220.8
100.0,220.8
101.0,220.8
102.0,220.8
102.2,221.0
102.2,222.0
103.0,222.8
104.0,222.8
104.2,223.0
105.0,223.8
105.2,224.0
106.0,224.8
107.0,224.8
107.2,225.0
108.0,225.8
109.0,225.8
109.2,226.0
110.0,226.8
111.0,226.8
111.2,227.0
111.2,228.0
112.0,228.8
112.2,229.0
113.0,229.8
114.0,229.8
115.0,229.8
115.2,230.0
116.0,230.8
117.0,230.8
118.0,230.8
119.0,230.8
120.0,230.8
120.2,231.0
121.0,231.8
121.8,231.0
122.0,230.8
122.2,231.0
122.2,232.0
123.0,232.8
123.2,233.0
124.0,233.8
124.2,234.0
125.0,234.8
126.0,234.8
126.8,234.0
