x,y
87.8,159.0
88.0,158.8
89.0,158.8
90.0,158.8
90.8,158.0
91.0,157.8
92.0,157.8
92.8,157.0
92.0,156.2
91.8,156.0
91.8,155.0
91.8,154.0
92.0,153.8
92.8,153.0
92.8,152.0
93.0,151.8
93.8,151.0
94.0,150.8
94.8,150.0
94.8,149.0
95.0,148.8
95.8,148.0
95.8,147.0
95.8,146.0
96.0,145.8
96.8,145.0
96.8,144.0
97.0,143.8
97.8,143.0
97.8,142.0
97.8,141.0
97.8,140.0
97.8,139.0
97.8,138.0
97.8,137.0
97.8,136.0
98.0,135.8
98.8,135.0
98.8,134.0
98.8,133.0
98.8,132.0
98.8,131.0
98.8,130.0
98.8,129.0
98.8,128.0
98.8,127.0
98.8,126.0
98.8,125.0
98.8,124.0
98.8,123.0
98.0,122.2
97.8,122.0
97.8,121.0
97.0,120.2
96.8,120.0
96.0,119.2
95.8,119.0
95.8,118.0
95.8,117.0
95.0,116.2
94.8,116.0
94.8,115.0
94.0,114.2
93.8,114.0
93.8,113.0
93.0,112.2
92.8,112.0
92.8,111.0
92.0,110.2
91.8,110.0
91.0,109.2
90.8,109.0
90.0,108.2
89.8,108.0
89.8,107.0
89.8,106.0
89.0,105.2
88.8,105.0
88.0,104.2
87.8,104.0
87.0,103.2
86.8,103.0
86.8,102.0
86.0,101.2
85.8,101.0
85.0,100.2
84.8,100.0
84.0,99.2
83.8,99.0
83.0,98.2
82.8,98.0
82.0,97.2
81.8,97.0
81.0,96.2
80.8,96.0
80.0,95.2
79.8,95.0
79.0,94.2
78.8,94.0
78.0,93.2
77.0,93.2
76.8,93.0
76.0,92.2
75.0,92.2
74.8,92.0
74.0,91.2
73.0,91.2
72.8,91.0
72.0,90.2
71.8,90.0
71.0,89.2
70.0,89.2
69.8,89.0
69.0,88.2
68.0,88.2
67.8,88.0
67.0,87.2
66.8,87.0
66.0,86.2
65.8,86.0
65.0,85.2
64.0,85.2
63.0,85.2
62.0,85.2
61.0,85.2
60.0,85.2
59.0,85.2
58.0,85.2
57.8,85.0
57.0,84.2
56.0,84.2
55.0,84.2
54.8,84.0
54.0,83.2
53.0,83.2
52.0,83.2
51.0,83.2
50.0,83.2
49.0,83.2
48.0,83.2
47.2,84.0
47.2,85.0
47.0,85.2
46.0,85.2
45.0,85.2
44.0,85.2
43.0,85.2
42.0,85.2
41.0,85.2
40.0,85.2
39.0,85.2
38.0,85.2
37.0,85.2
36.0,85.2
35.0,85.2
34.0,85.2
33.0,85.2
32.0,85.2
31.2,86.0
31.0,86.2
30.0,86.2
29.2,87.0
29.0,87.2
28.0,87.2
27.2,88.0
27.2,89.0
27.2,90.0
27.2,91.0
27.2,92.0
27.2,93.0
27.2,94.0
27.2,95.0
28.0,95.8
28.2,96.0
28.2,97.0
28.2,98.0
28.2,99.0
29.0,99.8
29.2,100.0
29.2,101.0
29.2,102.0
29.2,103.0
29.2,104.0
30.0,104.8
30.2,105.0
30.2,106.0
30.2,107.0
30.2,108.0
30.2,109.0
30.2,110.0
30.0,110.2
29.2,111.0
29.2,112.0
29.2,113.0
30.0,113.8
31.0,113.8
31.2,114.0
32.0,114.8
33.0,114.8
33.2,115.0
34.0,115.8
35.0,115.8
36.0,115.8
36.2,116.0
37.0,116.8
37.2,117.0
38.0,117.8
39.0,117.8
40.0,117.8
40.2,118.0
41.0,118.8
41.2,119.0
42.0,119.8
43.0,119.8
44.0,119.8
44.8,119.0
44.8,118.0
44.8,117.0
44.8,116.0
44.8,115.0
45.0,114.8
45.2,115.0
46.0,115.8
46.2,116.0
47.0,116.8
48.0,116.8
48.2,117.0
49.0,117.8
49.2,118.0
50.0,118.8
50.2,119.0
51.0,119.8
52.0,119.8
52.2,120.0
53.0,120.8
54.0,120.8
54.8,120.0
54.8,119.0
55.0,118.8
55.2,119.0
56.0,119.8
56.2,120.0
57.0,120.8
57.2,121.0
58.0,121.8
58.2,122.0
58.2,123.0
59.0,123.8
59.2,124.0
59.2,125.0
59.2,126.0
59.2,127.0
59.2,128.0
59.2,129.0
59.2,130.0
59.0,130.2
58.2,131.0
58.2,132.0
58.2,133.0
59.0,133.8
59.8,133.0
60.0,132.8
60.8,132.0
60.8,131.0
61.0,130.8
61.8,130.0
62.0,129.8
62.8,129.0
62.8,128.0
62.8,127.0
62.8,126.0
62.8,125.0
62.8,124.0
62.8,123.0
62.8,122.0
62.8,121.0
62.8,120.0
62.0,119.2
61.8,119.0
61.8,118.0
61.8,117.0
61.0,116.2
60.8,116.0
60.0,115.2
59.8,115.0
60.0,114.8
61.0,114.8
61.8,114.0
61.8,113.0
61.0,112.2
60.8,112.0
60.8,111.0
60.0,110.2
59.8,110.0
59.0,109.2
58.8,109.0
58.8,108.0
58.0,107.2
57.8,107.0
57.8,106.0
58.0,105.8
58.2,106.0
59.0,106.8
60.0,106.8
60.2,107.0
61.0,107.8
61.2,108.0
62.0,108.8
62.2,109.0
63.0,109.8
63.2,110.0
64.0,110.8
64.2,111.0
65.0,111.8
65.2,112.0
66.0,112.8
66.2,113.0
67.0,113.8
67.2,114.0
68.0,114.8
68.2,115.0
68.2,116.0
69.0,116.8
69.2,117.0
70.0,117.8
70.2,118.0
71.0,118.8
71.8,118.0
72.0,117.8
72.8,117.0
72.8,116.0
72.8,115.0
73.0,114.8
73.2,115.0
74.0,115.8
74.2,116.0
74.2,117.0
75.0,117.8
75.2,118.0
76.0,118.8
76.2,119.0
76.2,120.0
77.0,120.8
77.2,121.0
78.0,121.8
78.2,122.0
79.0,122.8
79.2,123.0
79.2,124.0
79.2,125.0
80.0,125.8
80.2,126.0
80.2,127.0
81.0,127.8
82.0,127.8
82.8,127.0
83.0,126.8
83.8,126.0
83.8,125.0
83.8,124.0
83.8,123.0
83.8,122.0
84.0,121.8
84.2,122.0
85.0,122.8
85.2,123.0
85.2,124.0
86.0,124.8
86.2,125.0
86.2,126.0
86.2,127.0
87.0,127.8
87.2,128.0
87.2,129.0
87.2,130.0
87.2,131.0
87.2,132.0
87.2,133.0
87.2,134.0
88.0,134.8
88.2,135.0
89.0,135.8
89.8,135.0
90.0,134.8
90.8,134.0
91.0,133.8
92.0,133.8
92.2,134.0
92.2,135.0
92.2,136.0
92.2,137.0
92.2,138.0
92.2,139.0
92.2,140.0
92.2,141.0
92.2,142.0
92.2,143.0
92.0,143.2
91.2,144.0
91.2,145.0
91.2,146.0
91.2,147.0
91.0,147.2
90.2,148.0
90.2,149.0
90.0,149.2
89.2,150.0
89.2,151.0
89.0,151.2
88.2,152.0
88.2,153.0
88.2,154.0
88.0,154.2
87.2,155.0
87.0,155.2
86.2,156.0
86.2,157.0
86.2,158.0
86.2,159.0
87.0,159.8
87.8,159.0
