x,y
142.8,128.0
143.0,127.8
144.0,127.8
144.8,127.0
145.0,126.8
146.0,126.8
147.0,126.8
148.0,126.8
149.0,126.8
149.8,126.0
150.0,125.8
150.8,125.0
150.8,124.0
150.0,123.2
149.8,123.0
149.8,122.0
149.8,121.0
149.8,120.0
149.0,119.2
148.8,119.0
148.0,118.2
147.8,118.0
147.8,117.0
147.8,116.0
147.0,115.2
146.8,115.0
146.0,114.2
145.8,114.0
146.0,113.8
146.8,113.0
146.8,112.0
146.8,111.0
146.8,110.0
146.8,109.0
146.0,108.2
145.8,108.0
145.8,107.0
146.0,106.8
147.0,106.8
147.2,107.0
148.0,107.8
148.2,108.0
149.0,108.8
149.2,109.0
150.0,109.8
150.2,110.0
150.2,111.0
151.0,111.8
151.2,112.0
151.2,113.0
152.0,113.8
152.2,114.0
153.0,114.8
153.2,115.0
153.2,116.0
153.2,117.0
154.0,117.8
154.2,118.0
154.2,119.0
154.2,120.0
155.0,120.8
155.2,121.0
156.0,121.8
157.0,121.8
157.2,122.0
157.2,123.0
158.0,123.8
159.0,123.8
160.0,123.8
160.2,124.0
160.0,124.2
159.2,125.0
160.0,125.8
160.8,125.0
161.0,124.8
161.2,125.0
162.0,125.8
163.0,125.8
163.2,126.0
164.0,126.8
165.0,126.8
166.0,126.8
167.0,126.8
167.8,126.0
168.0,125.8
168.2,126.0
169.0,126.8
169.8,126.0
170.0,125.8
170.2,126.0
171.0,126.8
171.8,126.0
172.0,125.8
172.8,125.0
173.0,124.8
173.8,124.0
173.8,123.0
174.0,122.8
174.8,122.0
175.0,121.8
175.8,121.0
176.0,120.8
177.0,120.8
178.0,120.8
178.8,120.0
178.8,119.0
179.0,118.8
180.0,118.8
181.0,118.8
181.8,118.0
181.8,117.0
182.0,116.8
182.8,116.0
183.0,115.8
183.8,115.0
183.8,114.0
184.0,113.8
184.8,113.0
184.8,112.0
184.8,111.0
184.8,110.0
184.8,109.0
184.8,108.0
184.8,107.0
184.8,106.0
184.8,105.0
184.8,104.0
184.8,103.0
184.0,102.2
183.8,102.0
183.0,101.2
182.8,101.0
183.0,100.8
183.8,100.0
183.0,99.2
182.8,99.0
182.0,98.2
181.0,98.2
180.8,98.0
180.0,97.2
179.8,97.0
179.0,96.2
178.8,96.0
178.0,95.2
177.8,95.0
177.0,94.2
176.0,94.2
175.8,94.0
175.0,93.2
174.0,93.2
173.0,93.2
172.8,93.0
172.0,92.2
171.8,92.0
171.8,91.0
171.0,90.2
170.2,91.0
170.0,91.2
169.8,91.0
169.0,90.2
168.0,90.2
167.0,90.2
166.0,90.2
165.8,90.0
165.0,89.2
164.8,89.0
164.0,88.2
163.0,88.2
162.8,88.0
162.0,87.2
161.8,87.0
161.8,86.0
161.0,85.2
160.8,85.0
161.0,84.8
162.0,84.8
163.0,84.8
164.0,84.8
165.0,84.8
165.2,85.0
166.0,85.8
167.0,85.8
167.2,86.0
168.0,86.8
168.8,86.0
