x,y
169.8,292.0
170.0,291.8
170.8,291.0
170.8,290.0
170.8,289.0
170.8,288.0
170.8,287.0
170.8,286.0
170.0,285.2
169.8,285.0
170.0,284.8
170.8,284.0
170.0,283.2
169.8,283.0
169.8,282.0
169.0,281.2
168.8,281.0
168.8,280.0
168.0,279.2
167.8,279.0
167.8,278.0
167.8,277.0
167.8,276.0
167.0,275.2
166.8,275.0
167.0,274.8
168.0,274.8
168.2,275.0
169.0,275.8
169.2,276.0
170.0,276.8
170.2,277.0
171.0,277.8
171.2,278.0
172.0,278.8
172.2,279.0
173.0,279.8
173.2,280.0
174.0,280.8
174.2,281.0
175.0,281.8
175.2,282.0
176.0,282.8
176.2,283.0
176.2,284.0
177.0,284.8
178.0,284.8
178.2,285.0
179.0,285.8
179.8,285.0
180.0,284.8
181.0,284.8
181.8,284.0
182.0,283.8
182.8,283.0
182.8,282.0
182.0,281.2
181.8,281.0
181.8,280.0
182.0,279.8
182.8,279.0
182.0,278.2
181.0,278.2
180.8,278.0
180.0,277.2
179.8,277.0
180.0,276.8
180.8,276.0
180.8,275.0
180.0,274.2
179.8,274.0
179.0,273.2
178.8,273.0
178.0,272.2
177.8,272.0
177.8,271.0
177.0,270.2
176.8,270.0
176.0,269.2
175.8,269.0
175.8,268.0
176.0,267.8
177.0,267.8
177.2,268.0
177.2,269.0
178.0,269.8
179.0,269.8
180.0,269.8
181.0,269.8
182.0,269.8
183.0,269.8
184.0,269.8
185.0,269.8
186.0,269.8
187.0,269.8
188.0,269.8
189.0,269.8
190.0,269.8
191.0,269.8
191.8,269.0
192.0,268.8
192.8,268.0
192.8,267.0
192.0,266.2
191.8,266.0
191.0,265.2
190.0,265.2
189.0,265.2
188.0,265.2
187.0,265.2
186.8,265.0
186.0,264.2
185.8,264.0
185.0,263.2
184.0,263.2
183.2,264.0
183.0,264.2
182.8,264.0
182.8,263.0
182.0,262.2
181.0,262.2
180.8,262.0
180.0,261.2
179.0,261.2
178.8,261.0
178.0,260.2
177.8,260.0
178.0,259.8
179.0,259.8
180.0,259.8
181.0,259.8
