x,y
554.8,273.0
554.8,272.0
554.8,271.0
554.0,270.2
553.8,270.0
553.8,269.0
553.8,268.0
553.8,267.0
553.0,266.2
552.8,266.0
552.8,265.0
552.8,264.0
552.8,263.0
552.8,262.0
552.8,261.0
552.8,260.0
552.8,259.0
552.8,258.0
552.8,257.0
552.8,256.0
552.8,255.0
552.8,254.0
552.8,253.0
552.8,252.0
552.8,251.0
552.8,250.0
552.8,249.0
552.8,248.0
552.0,247.2
551.8,247.0
551.8,246.0
551.8,245.0
551.8,244.0
551.8,243.0
551.0,242.2
550.8,242.0
550.8,241.0
550.8,240.0
550.8,239.0
550.8,238.0
550.0,237.2
549.8,237.0
549.8,236.0
549.8,235.0
549.0,234.2
548.8,234.0
548.8,233.0
548.8,232.0
548.0,231.2
547.8,231.0
547.8,230.0
547.8,229.0
547.0,228.2
546.8,228.0
546.8,227.0
546.0,226.2
545.8,226.0
545.8,225.0
545.8,224.0
545.0,223.2
544.8,223.0
544.8,222.0
544.0,221.2
543.8,221.0
543.8,220.0
543.0,219.2
542.8,219.0
542.0,218.2
541.8,218.0
541.8,217.0
541.0,216.2
540.8,216.0
540.0,215.2
539.8,215.0
539.8,214.0
539.0,213.2
538.8,213.0
538.0,212.2
537.8,212.0
537.0,211.2
536.8,211.0
536.8,210.0
536.0,209.2
535.8,209.0
535.0,208.2
534.8,208.0
534.0,207.2
533.8,207.0
533.8,206.0
533.0,205.2
532.8,205.0
532.0,204.2
531.8,204.0
531.8,203.0
531.0,202.2
530.8,202.0
530.0,201.2
529.8,201.0
529.0,200.2
528.8,200.0
528.8,199.0
528.0,198.2
527.8,198.0
527.8,197.0
527.0,196.2
526.8,196.0
526.0,195.2
525.8,195.0
525.0,194.2
524.8,194.0
524.0,193.2
523.8,193.0
523.0,192.2
522.8,192.0
522.0,191.2
521.8,191.0
521.0,190.2
520.8,190.0
520.8,189.0
520.8,188.0
520.0,187.2
519.8,187.0
519.8,186.0
519.0,185.2
518.8,185.0
518.0,184.2
517.8,184.0
517.0,183.2
516.0,183.2
515.8,183.0
515.0,182.2
514.0,182.2
513.0,182.2
512.8,182.0
512.0,181.2
511.0,181.2
510.8,181.0
510.0,180.2
509.0,180.2
508.0,180.2
507.0,180.2
506.0,180.2
505.8,180.0
505.0,179.2
504.0,179.2
503.0,179.2
502.0,179.2
501.0,179.2
500.8,179.0
500.0,178.2
499.0,178.2
498.0,178.2
497.8,178.0
497.0,177.2
496.0,177.2
495.0,177.2
494.8,177.0
494.0,176.2
493.0,176.2
492.8,176.0
492.0,175.2
491.0,175.2
490.0,175.2
489.0,175.2
488.0,175.2
487.8,175.0
487.0,174.2
486.0,174.2
485.0,174.2
484.0,174.2
483.8,174.0
483.0,173.2
482.0,173.2
481.8,173.0
481.0,172.2
480.0,172.2
479.0,172.2
478.0,172.2
477.8,172.0
477.0,171.2
476.0,171.2
475.0,171.2
474.8,171.0
474.0,170.2
473.0,170.2
472.8,170.0
472.0,169.2
471.0,169.2
470.0,169.2
469.8,169.0
469.0,168.2
468.0,168.2
467.0,168.2
466.8,168.0
466.0,167.2
465.0,167.2
464.0,167.2
463.0,167.2
462.0,167.2
461.2,168.0
461.0,168.2
460.0,168.2
459.2,169.0
459.0,169.2
458.0,169.2
457.2,170.0
457.0,170.2
456.0,170.2
455.2,171.0
455.2,172.0
456.0,172.8
457.0,172.8
457.2,173.0
458.0,173.8
458.2,174.0
459.0,174.8
460.0,174.8
460.2,175.0
461.0,175.8
461.2,176.0
462.0,176.8
463.0,176.8
463.2,177.0
463.2,178.0
464.0,178.8
464.2,179.0
465.0,179.8
465.2,180.0
465.2,181.0
466.0,181.8
466.2,182.0
467.0,182.8
467.2,183.0
467.2,184.0
468.0,184.8
468.2,185.0
469.0,185.8
469.2,186.0
470.0,186.8
470.2,187.0
471.0,187.8
471.2,188.0
471.2,189.0
472.0,189.8
472.2,190.0
472.2,191.0
473.0,191.8
473.2,192.0
474.0,192.8
474.2,193.0
475.0,193.8
475.2,194.0
476.0,194.8
476.2,195.0
477.0,195.8
477.2,196.0
478.0,196.8
478.2,197.0
479.0,197.8
479.2,198.0
479.2,199.0
480.0,199.8
480.2,200.0
480.2,201.0
481.0,201.8
481.2,202.0
481.2,203.0
482.0,203.8
482.2,204.0
482.2,205.0
483.0,205.8
483.2,206.0
484.0,206.8
484.2,207.0
485.0,207.8
485.2,208.0
486.0,208.8
486.2,209.0
487.0,209.8
487.2,210.0
488.0,210.8
488.2,211.0
489.0,211.8
489.2,212.0
490.0,212.8
490.2,213.0
491.0,213.8
492.0,213.8
492.2,214.0
493.0,214.8
493.2,215.0
494.0,215.8
494.2,216.0
495.0,216.8
495.2,217.0
496.0,217.8
497.0,217.8
497.2,218.0
497.2,219.0
498.0,219.8
499.0,219.8
499.2,220.0
499.2,221.0
500.0,221.8
500.2,222.0
501.0,222.8
501.2,223.0
501.2,224.0
502.0,224.8
502.2,225.0
503.0,225.8
503.2,226.0
503.2,227.0
504.0,227.8
504.2,228.0
505.0,228.8
505.2,229.0
506.0,229.8
506.2,230.0
506.2,231.0
507.0,231.8
507.2,232.0
508.0,232.8
508.2,233.0
509.0,233.8
510.0,233.8
510.2,234.0
511.0,234.8
512.0,234.8
512.2,235.0
513.0,235.8
513.2,236.0
514.0,236.8
514.2,237.0
515.0,237.8
516.0,237.8
517.0,237.8
517.2,238.0
518.0,238.8
519.0,238.8
519.2,239.0
520.0,239.8
521.0,239.8
521.2,240.0
522.0,240.8
523.0,240.8
523.2,241.0
524.0,241.8
524.2,242.0
525.0,242.8
525.2,243.0
526.0,243.8
526.2,244.0
527.0,244.8
527.2,245.0
527.2,246.0
528.0,246.8
528.2,247.0
529.0,247.8
529.2,248.0
530.0,248.8
530.2,249.0
531.0,249.8
531.2,250.0
532.0,250.8
532.2,251.0
532.2,252.0
533.0,252.8
534.0,252.8
534.2,253.0
535.0,253.8
536.0,253.8
536.2,254.0
537.0,254.8
537.2,255.0
538.0,255.8
538.2,256.0
539.0,256.8
540.0,256.8
540.2,257.0
541.0,257.8
541.2,258.0
542.0,258.8
543.0,258.8
543.2,259.0
543.2,260.0
544.0,260.8
544.2,261.0
544.2,262.0
544.2,263.0
544.2,264.0
544.2,265.0
545.0,265.8
545.2,266.0
545.2,267.0
546.0,267.8
546.2,268.0
546.2,269.0
547.0,269.8
547.2,270.0
547.2,271.0
547.2,272.0
548.0,272.8
548.2,273.0
549.0,273.8
550.0,273.8
551.0,273.8
552.0,273.8
553.0,273.8
554.0,273.8
554.8,273.0
