x,y
339.8,500.0
339.8,499.0
340.0,498.8
341.0,498.8
342.0,498.8
343.0,498.8
344.0,498.8
344.8,498.0
344.8,497.0
344.8,496.0
344.8,495.0
344.8,494.0
344.8,493.0
344.8,492.0
345.0,491.8
346.0,491.8
346.8,491.0
347.0,490.8
348.0,490.8
349.0,490.8
350.0,490.8
351.0,490.8
352.0,490.8
352.8,490.0
352.8,489.0
352.8,488.0
352.8,487.0
352.8,486.0
352.8,485.0
353.0,484.8
353.8,484.0
354.0,483.8
354.8,483.0
354.0,482.2
353.8,482.0
353.8,481.0
354.0,480.8
354.8,480.0
354.0,479.2
353.8,479.0
354.0,478.8
354.8,478.0
354.8,477.0
354.8,476.0
355.0,475.8
355.8,475.0
356.0,474.8
356.8,474.0
356.0,473.2
355.8,473.0
355.8,472.0
355.8,471.0
355.8,470.0
355.0,469.2
354.8,469.0
354.0,468.2
353.8,468.0
353.0,467.2
352.8,467.0
352.8,466.0
352.8,465.0
352.8,464.0
352.0,463.2
351.8,463.0
351.8,462.0
351.0,461.2
350.8,461.0
350.8,460.0
350.0,459.2
349.8,459.0
350.0,458.8
350.8,458.0
350.0,457.2
349.8,457.0
349.8,456.0
349.0,455.2
348.8,455.0
348.0,454.2
347.8,454.0
347.0,453.2
346.8,453.0
346.8,452.0
346.8,451.0
346.0,450.2
345.8,450.0
345.8,449.0
345.8,448.0
345.0,447.2
344.8,447.0
344.0,446.2
343.8,446.0
343.0,445.2
342.8,445.0
342.0,444.2
341.8,444.0
341.0,443.2
340.8,443.0
340.0,442.2
339.0,442.2
338.0,442.2
337.0,442.2
336.8,442.0
336.0,441.2
335.8,441.0
335.0,440.2
334.0,440.2
333.8,440.0
333.0,439.2
332.8,439.0
332.0,438.2
331.8,438.0
331.0,437.2
330.8,437.0
330.0,436.2
329.0,436.2
328.0,436.2
327.0,436.2
326.0,436.2
325.0,436.2
324.0,436.2
323.0,436.2
322.2,437.0
322.0,437.2
321.0,437.2
320.2,438.0
320.0,438.2
319.0,438.2
318.0,438.2
317.0,438.2
316.0,438.2
315.0,438.2
314.0,438.2
313.0,438.2
312.0,438.2
311.2,439.0
311.0,439.2
310.0,439.2
309.2,440.0
309.0,440.2
308.2,441.0
308.0,441.2
307.2,442.0
307.2,443.0
307.0,443.2
306.2,444.0
306.2,445.0
306.0,445.2
305.2,446.0
305.0,446.2
304.0,446.2
303.0,446.2
302.0,446.2
301.0,446.2
300.0,446.2
299.0,446.2
298.2,447.0
298.2,448.0
298.2,449.0
298.2,450.0
298.2,451.0
299.0,451.8
299.2,452.0
299.0,452.2
298.2,453.0
299.0,453.8
299.2,454.0
299.0,454.2
298.2,455.0
298.2,456.0
298.2,457.0
298.2,458.0
298.2,459.0
298.2,460.0
298.2,461.0
298.2,462.0
299.0,462.8
300.0,462.8
300.2,463.0
300.2,464.0
300.2,465.0
300.2,466.0
300.2,467.0
300.2,468.0
301.0,468.8
302.0,468.8
302.2,469.0
302.2,470.0
302.2,471.0
302.2,472.0
303.0,472.8
304.0,472.8
305.0,472.8
306.0,472.8
307.0,472.8
308.0,472.8
309.0,472.8
310.0,472.8
311.0,472.8
311.2,473.0
311.0,473.2
310.2,474.0
310.2,475.0
310.0,475.2
309.2,476.0
309.2,477.0
309.2,478.0
309.0,478.2
308.0,478.2
307.0,478.2
306.0,478.2
305.2,479.0
305.0,479.2
304.2,480.0
304.2,481.0
304.2,482.0
304.2,483.0
304.2,484.0
305.0,484.8
306.0,484.8
306.8,484.0
307.0,483.8
308.0,483.8
309.0,483.8
309.2,484.0
310.0,484.8
311.0,484.8
312.0,484.8
313.0,484.8
314.0,484.8
315.0,484.8
316.0,484.8
317.0,484.8
317.2,485.0
318.0,485.8
319.0,485.8
320.0,485.8
321.0,485.8
321.2,486.0
322.0,486.8
322.2,487.0
322.2,488.0
322.2,489.0
322.2,490.0
322.2,491.0
322.2,492.0
322.2,493.0
322.2,494.0
323.0,494.8
323.2,495.0
324.0,495.8
324.2,496.0
325.0,496.8
325.2,497.0
326.0,497.8
327.0,497.8
327.2,498.0
328.0,498.8
329.0,498.8
329.2,499.0
329.2,500.0
330.0,500.8
331.0,500.8
332.0,500.8
333.0,500.8
334.0,500.8
335.0,500.8
336.0,500.8
337.0,500.8
338.0,500.8
339.0,500.8
339.8,500.0
