x,y
233.8,345.0
233.8,344.0
233.8,343.0
233.8,342.0
233.8,341.0
233.0,340.2
232.0,340.2
231.0,340.2
230.0,340.2
229.0,340.2
228.0,340.2
227.0,340.2
226.0,340.2
225.0,340.2
224.0,340.2
223.0,340.2
222.8,340.0
222.8,339.0
222.0,338.2
221.0,338.2
220.8,338.0
220.8,337.0
220.8,336.0
220.0,335.2
219.8,335.0
219.0,334.2
218.8,334.0
218.0,333.2
217.8,333.0
217.0,332.2
216.0,332.2
215.0,332.2
214.8,332.0
214.0,331.2
213.8,331.0
213.0,330.2
212.0,330.2
211.0,330.2
210.0,330.2
209.0,330.2
208.8,330.0
208.8,329.0
208.0,328.2
207.0,328.2
206.0,328.2
205.0,328.2
204.0,328.2
203.0,328.2
202.8,328.0
202.8,327.0
202.0,326.2
201.0,326.2
200.0,326.2
199.0,326.2
198.0,326.2
197.0,326.2
196.8,326.0
196.0,325.2
195.8,325.0
195.0,324.2
194.0,324.2
193.0,324.2
192.0,324.2
191.0,324.2
190.0,324.2
189.0,324.2
188.0,324.2
187.0,324.2
186.8,324.0
186.0,323.2
185.8,323.0
185.0,322.2
184.0,322.2
183.0,322.2
182.0,322.2
181.0,322.2
180.0,322.2
179.0,322.2
178.8,322.0
178.0,321.2
177.8,321.0
177.0,320.2
176.0,320.2
175.0,320.2
174.0,320.2
173.0,320.2
172.8,320.0
172.0,319.2
171.8,319.0
171.0,318.2
170.0,318.2
169.0,318.2
168.0,318.2
167.0,318.2
166.8,318.0
166.0,317.2
165.8,317.0
165.0,316.2
164.0,316.2
163.0,316.2
162.0,316.2
161.0,316.2
160.0,316.2
159.0,316.2
158.0,316.2
157.0,316.2
156.0,316.2
155.0,316.2
154.8,316.0
154.8,315.0
154.8,314.0
154.0,313.2
153.0,313.2
152.0,313.2
151.0,313.2
150.0,313.2
149.0,313.2
148.8,313.0
148.0,312.2
147.0,312.2
146.8,312.0
146.0,311.2
145.0,311.2
144.0,311.2
143.8,311.0
143.0,310.2
142.8,310.0
142.0,309.2
141.0,309.2
140.8,309.0
140.0,308.2
139.0,308.2
138.8,308.0
138.0,307.2
137.8,307.0
137.0,306.2
136.8,306.0
136.0,305.2
135.8,305.0
135.0,304.2
134.8,304.0
134.0,303.2
133.0,303.2
132.0,303.2
131.8,303.0
131.0,302.2
130.0,302.2
129.8,302.0
129.0,301.2
128.0,301.2
127.8,301.0
127.0,300.2
126.0,300.2
125.0,300.2
124.8,300.0
124.0,299.2
123.8,299.0
123.0,298.2
122.8,298.0
122.0,297.2
121.8,297.0
121.0,296.2
120.0,296.2
119.8,296.0
119.8,295.0
119.0,294.2
118.0,294.2
117.8,294.0
117.0,293.2
116.8,293.0
116.0,292.2
115.0,292.2
114.8,292.0
114.0,291.2
113.8,291.0
113.0,290.2
112.8,290.0
112.0,289.2
111.8,289.0
