x,y
192.8,239.0
193.0,238.8
193.8,238.0
194.0,237.8
194.8,237.0
194.8,236.0
194.8,235.0
194.8,234.0
195.0,233.8
196.0,233.8
196.8,233.0
196.8,232.0
196.8,231.0
196.8,230.0
197.0,229.8
197.8,229.0
198.0,228.8
198.8,228.0
199.0,227.8
199.8,227.0
200.0,226.8
200.8,226.0
201.0,225.8
201.8,225.0
202.0,224.8
202.8,224.0
203.0,223.8
203.8,223.0
204.0,222.8
204.8,222.0
205.0,221.8
206.0,221.8
206.8,221.0
206.8,220.0
207.0,219.8
208.0,219.8
209.0,219.8
209.8,219.0
210.0,218.8
210.8,218.0
211.0,217.8
211.8,217.0
212.0,216.8
212.8,216.0
213.0,215.8
213.8,215.0
214.0,214.8
214.8,214.0
215.0,213.8
215.8,213.0
216.0,212.8
216.8,212.0
217.0,211.8
218.0,211.8
219.0,211.8
219.8,211.0
220.0,210.8
220.8,210.0
221.0,209.8
221.8,209.0
222.0,208.8
222.8,208.0
223.0,207.8
224.0,207.8
225.0,207.8
225.8,207.0
226.0,206.8
226.8,206.0
227.0,205.8
228.0,205.8
229.0,205.8
230.0,205.8
230.8,205.0
230.8,204.0
231.0,203.8
231.8,203.0
232.0,202.8
232.8,202.0
233.0,201.8
233.8,201.0
234.0,200.8
234.8,200.0
235.0,199.8
236.0,199.8
237.0,199.8
237.8,199.0
238.0,198.8
238.8,198.0
239.0,197.8
240.0,197.8
240.8,197.0
240.8,196.0
241.0,195.8
242.0,195.8
243.0,195.8
243.8,195.0
244.0,194.8
244.8,194.0
245.0,193.8
245.8,193.0
246.0,192.8
246.8,192.0
247.0,191.8
247.8,191.0
248.0,190.8
248.8,190.0
249.0,189.8
249.8,189.0
250.0,188.8
250.8,188.0
251.0,187.8
251.8,187.0
252.0,186.8
252.8,186.0
253.0,185.8
253.8,185.0
254.0,184.8
254.8,184.0
255.0,183.8
255.8,183.0
256.0,182.8
256.8,182.0
256.8,181.0
256.8,180.0
257.0,179.8
257.8,179.0
258.0,178.8
258.8,178.0
259.0,177.8
259.8,177.0
260.0,176.8
260.8,176.0
261.0,175.8
261.8,175.0
262.0,174.8
262.8,174.0
263.0,173.8
263.8,173.0
264.0,172.8
264.8,172.0
265.0,171.8
265.8,171.0
266.0,170.8
266.8,170.0
266.8,169.0
266.8,168.0
266.8,167.0
266.8,166.0
267.0,165.8
267.8,165.0
268.0,164.8
268.8,164.0
268.8,163.0
268.8,162.0
268.8,161.0
268.8,160.0
268.8,159.0
268.8,158.0
268.8,157.0
268.8,156.0
268.8,155.0
268.8,154.0
268.8,153.0
268.8,152.0
268.8,151.0
268.8,150.0
268.8,149.0
268.8,148.0
268.8,147.0
268.8,146.0
268.8,145.0
268.8,144.0
268.8,143.0
268.8,142.0
268.8,141.0
268.8,140.0
268.8,139.0
268.8,138.0
268.8,137.0
268.8,136.0
268.0,135.2
267.0,135.2
266.8,135.0
266.8,134.0
266.0,133.2
265.0,133.2
264.8,133.0
264.0,132.2
263.8,132.0
263.0,131.2
262.8,131.0
262.0,130.2
261.8,130.0
261.0,129.2
260.0,129.2
259.0,129.2
258.0,129.2
257.0,129.2
256.0,129.2
255.0,129.2
254.0,129.2
253.0,129.2
252.0,129.2
251.0,129.2
250.0,129.2
249.0,129.2
248.0,129.2
247.0,129.2
246.0,129.2
245.0,129.2
244.0,129.2
243.0,129.2
242.0,129.2
241.0,129.2
240.0,129.2
239.0,129.2
238.0,129.2
237.0,129.2
