x,y
220.8,360.0
221.0,359.8
222.0,359.8
223.0,359.8
223.8,359.0
224.0,358.8
225.0,358.8
226.0,358.8
226.8,358.0
226.8,357.0
227.0,356.8
228.0,356.8
229.0,356.8
230.0,356.8
230.8,356.0
230.0,355.2
229.8,355.0
230.0,354.8
231.0,354.8
232.0,354.8
232.8,354.0
233.0,353.8
234.0,353.8
234.8,353.0
235.0,352.8
236.0,352.8
237.0,352.8
238.0,352.8
239.0,352.8
240.0,352.8
241.0,352.8
241.8,352.0
242.0,351.8
243.0,351.8
243.8,351.0
244.0,350.8
245.0,350.8
245.8,350.0
245.8,349.0
245.8,348.0
245.8,347.0
245.0,346.2
244.8,346.0
245.0,345.8
245.8,345.0
246.0,344.8
246.8,344.0
246.8,343.0
246.8,342.0
247.0,341.8
247.8,341.0
248.0,340.8
248.8,340.0
249.0,339.8
249.8,339.0
249.8,338.0
250.0,337.8
250.8,337.0
251.0,336.8
251.8,336.0
252.0,335.8
252.8,335.0
252.8,334.0
253.0,333.8
253.8,333.0
254.0,332.8
254.8,332.0
255.0,331.8
256.0,331.8
257.0,331.8
257.8,331.0
257.8,330.0
257.8,329.0
257.8,328.0
258.0,327.8
258.8,327.0
258.8,326.0
258.8,325.0
258.8,324.0
258.8,323.0
258.0,322.2
257.8,322.0
257.0,321.2
256.8,321.0
256.0,320.2
255.8,320.0
256.0,319.8
257.0,319.8
258.0,319.8
259.0,319.8
260.0,319.8
261.0,319.8
262.0,319.8
262.8,319.0
262.8,318.0
262.8,317.0
262.8,316.0
262.8,315.0
262.8,314.0
262.8,313.0
262.8,312.0
262.8,311.0
262.8,310.0
262.8,309.0
262.8,308.0
262.8,307.0
262.8,306.0
262.8,305.0
262.8,304.0
262.8,303.0
262.8,302.0
262.8,301.0
262.8,300.0
262.0,299.2
261.0,299.2
260.8,299.0
260.8,298.0
260.8,297.0
260.8,296.0
260.8,295.0
260.0,294.2
259.8,294.0
259.0,293.2
258.8,293.0
258.0,292.2
257.8,292.0
257.0,291.2
256.8,291.0
256.0,290.2
255.8,290.0
255.0,289.2
254.0,289.2
253.0,289.2
252.0,289.2
251.0,289.2
250.0,289.2
249.0,289.2
248.0,289.2
247.0,289.2
246.0,289.2
245.0,289.2
244.0,289.2
243.0,289.2
242.2,290.0
242.2,291.0
242.0,291.2
241.0,291.2
240.0,291.2
239.2,292.0
239.0,292.2
238.2,293.0
238.0,293.2
237.0,293.2
236.0,293.2
235.2,294.0
235.0,294.2
234.2,295.0
234.0,295.2
233.2,296.0
233.0,296.2
232.2,297.0
232.0,297.2
231.0,297.2
230.0,297.2
229.2,298.0
229.0,298.2
228.2,299.0
228.0,299.2
227.2,300.0
227.0,300.2
226.2,301.0
226.0,301.2
225.2,302.0
225.0,302.2
224.2,303.0
224.2,304.0
224.2,305.0
224.2,306.0
224.2,307.0
224.0,307.2
223.0,307.2
222.8,307.0
222.8,306.0
222.8,305.0
222.8,304.0
222.8,303.0
222.8,302.0
222.8,301.0
222.8,300.0
222.8,299.0
222.8,298.0
222.8,297.0
222.0,296.2
221.8,296.0
221.0,295.2
220.8,295.0
220.8,294.0
220.8,293.0
220.0,292.2
219.8,292.0
219.0,291.2
218.8,291.0
218.8,290.0
218.8,289.0
218.8,288.0
218.8,287.0
218.8,286.0
218.8,285.0
218.0,284.2
217.8,284.0
217.0,283.2
216.8,283.0
216.8,282.0
216.8,281.0
216.0,280.2
215.8,280.0
215.0,279.2
214.8,279.0
214.8,278.0
214.8,277.0
214.0,276.2
213.8,276.0
213.0,275.2
212.8,275.0
212.0,274.2
211.8,274.0
211.0,273.2
210.0,273.2
209.0,273.2
208.0,273.2
207.0,273.2
206.0,273.2
205.0,273.2
204.8,273.0
204.0,272.2
203.8,272.0
204.0,271.8
204.8,271.0
204.8,270.0
205.0,269.8
205.8,269.0
206.0,268.8
206.8,268.0
206.8,267.0
206.0,266.2
205.8,266.0
205.0,265.2
204.8,265.0
204.8,264.0
204.8,263.0
204.8,262.0
204.8,261.0
204.0,260.2
203.8,260.0
203.0,259.2
202.8,259.0
202.8,258.0
202.8,257.0
202.0,256.2
201.8,256.0
201.0,255.2
200.8,255.0
200.0,254.2
199.8,254.0
199.0,253.2
198.8,253.0
198.0,252.2
197.8,252.0
197.0,251.2
196.8,251.0
196.0,250.2
195.8,250.0
195.0,249.2
194.8,249.0
194.0,248.2
193.8,248.0
193.0,247.2
192.0,247.2
191.0,247.2
190.8,247.0
190.0,246.2
189.8,246.0
189.0,245.2
188.8,245.0
188.0,244.2
187.8,244.0
187.0,243.2
186.0,243.2
185.0,243.2
184.0,243.2
183.0,243.2
182.0,243.2
181.0,243.2
180.0,243.2
179.0,243.2
178.0,243.2
177.0,243.2
176.2,244.0
176.2,245.0
176.0,245.2
175.0,245.2
174.2,246.0
174.2,247.0
174.0,247.2
173.2,248.0
173.0,248.2
172.2,249.0
172.2,250.0
172.2,251.0
172.2,252.0
172.2,253.0
172.2,254.0
172.2,255.0
172.2,256.0
172.2,257.0
172.2,258.0
172.2,259.0
172.2,260.0
172.2,261.0
172.2,262.0
172.2,263.0
172.2,264.0
172.2,265.0
172.2,266.0
172.2,267.0
173.0,267.8
174.0,267.8
174.2,268.0
174.2,269.0
174.2,270.0
174.2,271.0
174.2,272.0
174.2,273.0
175.0,273.8
176.0,273.8
176.2,274.0
176.2,275.0
176.2,276.0
177.0,276.8
177.2,277.0
178.0,277.8
178.2,278.0
178.2,279.0
178.2,280.0
179.0,280.8
179.2,281.0
180.0,281.8
180.2,282.0
180.2,283.0
180.2,284.0
180.2,285.0
181.0,285.8
182.0,285.8
182.2,286.0
182.2,287.0
182.2,288.0
182.2,289.0
182.2,290.0
182.2,291.0
182.2,292.0
182.2,293.0
182.2,294.0
182.2,295.0
183.0,295.8
184.0,295.8
184.2,296.0
184.2,297.0
184.2,298.0
185.0,298.8
185.2,299.0
186.0,299.8
186.2,300.0
186.2,301.0
186.2,302.0
186.2,303.0
186.2,304.0
187.0,304.8
187.2,305.0
188.0,305.8
188.2,306.0
188.2,307.0
188.2,308.0
189.0,308.8
189.2,309.0
190.0,309.8
190.2,310.0
191.0,310.8
191.2,311.0
192.0,311.8
192.2,312.0
192.2,313.0
192.2,314.0
193.0,314.8
193.2,315.0
194.0,315.8
194.2,316.0
195.0,316.8
195.2,317.0
195.0,317.2
194.0,317.2
193.0,317.2
192.0,317.2
191.0,317.2
190.0,317.2
189.0,317.2
188.0,317.2
187.0,317.2
186.0,317.2
185.0,317.2
184.0,317.2
183.0,317.2
182.0,317.2
181.0,317.2
180.0,317.2
179.0,317.2
178.0,317.2
177.0,317.2
176.0,317.2
175.0,317.2
174.0,317.2
173.0,317.2
172.0,317.2
171.0,317.2
170.0,317.2
169.2,318.0
169.0,318.2
168.2,319.0
168.0,319.2
167.0,319.2
166.0,319.2
165.0,319.2
164.0,319.2
163.2,320.0
163.0,320.2
162.2,321.0
162.2,322.0
163.0,322.8
163.2,323.0
163.2,324.0
163.0,324.2
162.2,325.0
162.2,326.0
163.0,326.8
163.2,327.0
164.0,327.8
164.2,328.0
164.2,329.0
164.2,330.0
164.2,331.0
164.2,332.0
164.2,333.0
164.2,334.0
164.2,335.0
164.2,336.0
164.2,337.0
164.2,338.0
165.0,338.8
165.2,339.0
166.0,339.8
166.2,340.0
167.0,340.8
167.2,341.0
168.0,341.8
168.2,342.0
168.2,343.0
169.0,343.8
170.0,343.8
171.0,343.8
172.0,343.8
172.2,344.0
173.0,344.8
173.2,345.0
174.0,345.8
175.0,345.8
176.0,345.8
177.0,345.8
178.0,345.8
179.0,345.8
180.0,345.8
180.2,346.0
180.2,347.0
180.2,348.0
180.2,349.0
180.2,350.0
181.0,350.8
181.2,351.0
182.0,351.8
182.2,352.0
182.2,353.0
183.0,353.8
184.0,353.8
184.2,354.0
184.2,355.0
184.2,356.0
185.0,356.8
185.2,357.0
186.0,357.8
187.0,357.8
188.0,357.8
189.0,357.8
190.0,357.8
191.0,357.8
192.0,357.8
193.0,357.8
193.2,358.0
194.0,358.8
195.0,358.8
196.0,358.8
197.0,358.8
198.0,358.8
199.0,358.8
200.0,358.8
200.2,359.0
201.0,359.8
202.0,359.8
203.0,359.8
204.0,359.8
204.2,360.0
205.0,360.8
206.0,360.8
207.0,360.8
208.0,360.8
209.0,360.8
210.0,360.8
211.0,360.8
212.0,360.8
213.0,360.8
214.0,360.8
215.0,360.8
216.0,360.8
217.0,360.8
218.0,360.8
219.0,360.8
220.0,360.8
220.8,360.0
