x,y
364.8,544.0
365.0,543.8
366.0,543.8
366.8,543.0
367.0,542.8
367.8,542.0
367.8,541.0
368.0,540.8
368.8,540.0
368.8,539.0
368.8,538.0
368.8,537.0
368.8,536.0
368.8,535.0
369.0,534.8
370.0,534.8
371.0,534.8
372.0,534.8
373.0,534.8
374.0,534.8
374.8,534.0
374.8,533.0
374.8,532.0
374.8,531.0
374.8,530.0
374.8,529.0
374.0,528.2
373.0,528.2
372.0,528.2
371.0,528.2
370.0,528.2
369.0,528.2
368.8,528.0
368.0,527.2
367.8,527.0
367.0,526.2
366.8,526.0
366.0,525.2
365.8,525.0
365.0,524.2
364.8,524.0
364.0,523.2
363.8,523.0
363.0,522.2
362.8,522.0
363.0,521.8
364.0,521.8
364.8,521.0
364.0,520.2
363.0,520.2
362.0,520.2
361.0,520.2
360.8,520.0
360.0,519.2
359.8,519.0
359.0,518.2
358.8,518.0
358.0,517.2
357.8,517.0
358.0,516.8
359.0,516.8
360.0,516.8
361.0,516.8
362.0,516.8
363.0,516.8
364.0,516.8
365.0,516.8
366.0,516.8
367.0,516.8
368.0,516.8
368.2,517.0
369.0,517.8
369.2,518.0
370.0,518.8
371.0,518.8
372.0,518.8
373.0,518.8
374.0,518.8
375.0,518.8
376.0,518.8
377.0,518.8
378.0,518.8
379.0,518.8
380.0,518.8
381.0,518.8
382.0,518.8
383.0,518.8
384.0,518.8
385.0,518.8
386.0,518.8
387.0,518.8
388.0,518.8
389.0,518.8
389.8,518.0
390.0,517.8
390.8,517.0
391.0,516.8
392.0,516.8
393.0,516.8
394.0,516.8
395.0,516.8
395.8,516.0
396.0,515.8
396.8,515.0
397.0,514.8
397.8,514.0
398.0,513.8
398.8,513.0
398.8,512.0
398.8,511.0
398.8,510.0
398.8,509.0
398.8,508.0
398.8,507.0
398.8,506.0
398.8,505.0
398.8,504.0
398.0,503.2
397.8,503.0
397.0,502.2
396.8,502.0
396.0,501.2
395.8,501.0
395.0,500.2
394.8,500.0
394.0,499.2
393.8,499.0
393.0,498.2
392.0,498.2
391.0,498.2
390.0,498.2
389.0,498.2
388.8,498.0
388.0,497.2
387.8,497.0
387.0,496.2
386.0,496.2
385.0,496.2
384.8,496.0
384.0,495.2
383.8,495.0
383.0,494.2
382.8,494.0
382.0,493.2
381.8,493.0
381.0,492.2
380.0,492.2
379.2,493.0
379.0,493.2
378.2,494.0
378.0,494.2
377.2,495.0
377.0,495.2
376.2,496.0
376.0,496.2
375.0,496.2
374.0,496.2
373.0,496.2
372.0,496.2
371.0,496.2
370.0,496.2
369.0,496.2
368.8,496.0
368.0,495.2
367.8,495.0
367.0,494.2
366.0,494.2
365.0,494.2
364.8,494.0
364.8,493.0
365.0,492.8
365.8,492.0
366.0,491.8
366.8,491.0
367.0,490.8
367.8,490.0
368.0,489.8
368.8,489.0
369.0,488.8
369.8,488.0
370.0,487.8
370.8,487.0
371.0,486.8
371.8,486.0
372.0,485.8
372.8,485.0
373.0,484.8
374.0,484.8
375.0,484.8
376.0,484.8
376.2,485.0
377.0,485.8
377.2,486.0
378.0,486.8
378.2,487.0
379.0,487.8
379.2,488.0
380.0,488.8
380.2,489.0
381.0,489.8
381.2,490.0
381.2,491.0
382.0,491.8
382.8,491.0
383.0,490.8
384.0,490.8
384.8,490.0
384.8,489.0
385.0,488.8
386.0,488.8
386.8,488.0
386.8,487.0
386.8,486.0
386.8,485.0
386.8,484.0
386.8,483.0
386.8,482.0
386.0,481.2
385.8,481.0
385.0,480.2
384.8,480.0
384.8,479.0
384.8,478.0
384.8,477.0
384.8,476.0
384.8,475.0
384.0,474.2
383.0,474.2
382.8,474.0
382.8,473.0
382.8,472.0
382.8,471.0
382.8,470.0
382.0,469.2
381.8,469.0
381.0,468.2
380.8,468.0
380.0,467.2
379.8,467.0
379.0,466.2
378.8,466.0
378.0,465.2
377.8,465.0
377.0,464.2
376.0,464.2
375.0,464.2
374.0,464.2
373.0,464.2
372.8,464.0
372.0,463.2
371.8,463.0
371.0,462.2
370.8,462.0
370.0,461.2
369.8,461.0
369.0,460.2
368.0,460.2
367.0,460.2
366.8,460.0
366.0,459.2
365.8,459.0
365.0,458.2
364.0,458.2
363.0,458.2
362.0,458.2
361.0,458.2
360.0,458.2
359.0,458.2
358.0,458.2
357.0,458.2
356.0,458.2
355.0,458.2
354.0,458.2
353.0,458.2
352.0,458.2
351.0,458.2
350.0,458.2
349.0,458.2
348.0,458.2
347.2,459.0
347.0,459.2
346.2,460.0
346.0,460.2
345.0,460.2
344.0,460.2
343.0,460.2
342.0,460.2
341.0,460.2
340.8,460.0
340.0,459.2
339.8,459.0
339.0,458.2
338.0,458.2
337.2,459.0
337.2,460.0
337.2,461.0
337.2,462.0
337.2,463.0
337.2,464.0
337.0,464.2
336.0,464.2
335.0,464.2
334.0,464.2
333.0,464.2
332.0,464.2
331.2,465.0
331.0,465.2
330.0,465.2
329.0,465.2
328.2,466.0
328.2,467.0
328.2,468.0
328.0,468.2
327.2,469.0
327.0,469.2
326.2,470.0
326.0,470.2
325.2,471.0
325.0,471.2
324.2,472.0
324.2,473.0
324.2,474.0
324.0,474.2
323.2,475.0
323.0,475.2
322.2,476.0
322.0,476.2
321.2,477.0
321.0,477.2
320.2,478.0
320.2,479.0
320.2,480.0
320.0,480.2
319.2,481.0
319.0,481.2
318.2,482.0
318.2,483.0
318.2,484.0
318.0,484.2
317.2,485.0
317.0,485.2
316.2,486.0
316.2,487.0
316.2,488.0
316.2,489.0
316.2,490.0
316.2,491.0
316.2,492.0
316.2,493.0
316.2,494.0
316.0,494.2
315.0,494.2
314.2,495.0
314.2,496.0
314.0,496.2
313.2,497.0
313.0,497.2
312.2,498.0
312.2,499.0
313.0,499.8
313.2,500.0
313.0,500.2
312.2,501.0
312.2,502.0
312.2,503.0
312.2,504.0
312.2,505.0
312.2,506.0
312.2,507.0
312.2,508.0
312.2,509.0
312.2,510.0
312.2,511.0
312.2,512.0
312.2,513.0
312.2,514.0
312.2,515.0
312.2,516.0
312.2,517.0
313.0,517.8
313.2,518.0
314.0,518.8
314.2,519.0
314.2,520.0
314.2,521.0
315.0,521.8
315.2,522.0
316.0,522.8
316.2,523.0
316.2,524.0
316.2,525.0
317.0,525.8
317.2,526.0
318.0,526.8
318.2,527.0
318.2,528.0
318.2,529.0
318.2,530.0
318.2,531.0
318.2,532.0
319.0,532.8
320.0,532.8
321.0,532.8
322.0,532.8
323.0,532.8
324.0,532.8
324.2,533.0
325.0,533.8
325.2,534.0
326.0,534.8
327.0,534.8
328.0,534.8
328.2,535.0
329.0,535.8
329.2,536.0
330.0,536.8
330.2,537.0
330.2,538.0
331.0,538.8
332.0,538.8
332.2,539.0
332.2,540.0
333.0,540.8
334.0,540.8
334.2,541.0
335.0,541.8
336.0,541.8
337.0,541.8
338.0,541.8
339.0,541.8
339.2,542.0
340.0,542.8
341.0,542.8
341.2,543.0
342.0,543.8
342.2,544.0
343.0,544.8
343.8,544.0
344.0,543.8
344.2,544.0
345.0,544.8
346.0,544.8
347.0,544.8
348.0,544.8
349.0,544.8
350.0,544.8
351.0,544.8
352.0,544.8
353.0,544.8
