x,y
100.8,672.0
101.0,671.8
102.0,671.8
103.0,671.8
104.0,671.8
105.0,671.8
106.0,671.8
106.8,671.0
107.0,670.8
107.8,670.0
108.0,669.8
109.0,669.8
110.0,669.8
111.0,669.8
111.8,669.0
112.0,668.8
113.0,668.8
113.8,668.0
114.0,667.8
115.0,667.8
115.8,667.0
116.0,666.8
116.8,666.0
117.0,665.8
118.0,665.8
118.8,665.0
119.0,664.8
120.0,664.8
120.8,664.0
121.0,663.8
122.0,663.8
122.8,663.0
123.0,662.8
123.8,662.0
124.0,661.8
125.0,661.8
125.8,661.0
126.0,660.8
126.8,660.0
127.0,659.8
127.8,659.0
128.0,658.8
129.0,658.8
129.8,658.0
130.0,657.8
130.8,657.0
131.0,656.8
131.8,656.0
132.0,655.8
133.0,655.8
133.8,655.0
134.0,654.8
135.0,654.8
136.0,654.8
136.8,654.0
137.0,653.8
138.0,653.8
138.8,653.0
139.0,652.8
140.0,652.8
140.8,652.0
141.0,651.8
142.0,651.8
142.8,651.0
143.0,650.8
144.0,650.8
144.8,650.0
145.0,649.8
145.8,649.0
145.0,648.2
144.8,648.0
144.0,647.2
143.8,647.0
143.0,646.2
142.8,646.0
142.8,645.0
142.0,644.2
141.8,644.0
141.8,643.0
141.8,642.0
141.0,641.2
140.8,641.0
140.0,640.2
139.8,640.0
139.8,639.0
139.0,638.2
138.8,638.0
138.0,637.2
137.8,637.0
137.8,636.0
137.0,635.2
136.8,635.0
136.0,634.2
135.8,634.0
135.0,633.2
134.8,633.0
134.0,632.2
133.8,632.0
133.8,631.0
133.0,630.2
132.8,630.0
132.0,629.2
131.8,629.0
131.0,628.2
130.0,628.2
129.2,629.0
129.0,629.2
128.0,629.2
127.0,629.2
126.2,630.0
126.0,630.2
125.0,630.2
124.2,631.0
124.0,631.2
123.0,631.2
122.0,631.2
121.0,631.2
120.2,632.0
120.0,632.2
119.0,632.2
118.0,632.2
117.0,632.2
116.0,632.2
115.0,632.2
114.0,632.2
113.0,632.2
112.0,632.2
111.0,632.2
110.0,632.2
109.0,632.2
108.2,633.0
108.0,633.2
107.0,633.2
106.2,634.0
106.0,634.2
105.0,634.2
104.0,634.2
103.2,635.0
103.0,635.2
102.0,635.2
101.2,636.0
101.0,636.2
100.0,636.2
99.2,637.0
99.0,637.2
98.2,638.0
98.2,639.0
99.0,639.8
100.0,639.8
100.2,640.0
101.0,640.8
101.2,641.0
101.0,641.2
100.0,641.2
99.0,641.2
98.0,641.2
97.0,641.2
96.0,641.2
95.2,642.0
