x,y
460.8,291.0
460.8,290.0
460.8,289.0
460.8,288.0
460.8,287.0
460.8,286.0
460.8,285.0
461.0,284.8
461.2,285.0
462.0,285.8
462.2,286.0
463.0,286.8
463.8,286.0
463.0,285.2
462.8,285.0
462.0,284.2
461.8,284.0
461.8,283.0
462.0,282.8
462.2,283.0
463.0,283.8
463.8,283.0
463.0,282.2
462.8,282.0
462.8,281.0
463.0,280.8
463.2,281.0
464.0,281.8
465.0,281.8
465.8,281.0
465.8,280.0
465.0,279.2
464.8,279.0
464.8,278.0
464.8,277.0
464.8,276.0
464.8,275.0
464.8,274.0
464.8,273.0
464.8,272.0
465.0,271.8
465.8,271.0
465.0,270.2
464.8,270.0
464.8,269.0
464.8,268.0
464.8,267.0
464.8,266.0
464.8,265.0
464.8,264.0
464.8,263.0
464.8,262.0
464.8,261.0
464.0,260.2
463.0,260.2
462.0,260.2
461.8,260.0
462.0,259.8
462.8,259.0
463.0,258.8
464.0,258.8
465.0,258.8
465.8,258.0
465.8,257.0
465.0,256.2
464.0,256.2
463.2,257.0
463.0,257.2
462.8,257.0
462.0,256.2
461.8,256.0
461.0,255.2
460.2,256.0
460.0,256.2
459.0,256.2
458.0,256.2
457.8,256.0
457.0,255.2
456.2,256.0
456.0,256.2
455.2,257.0
455.2,258.0
455.0,258.2
454.0,258.2
453.2,259.0
453.2,260.0
453.2,261.0
453.0,261.2
452.2,262.0
452.0,262.2
451.2,263.0
451.2,264.0
451.0,264.2
450.0,264.2
449.2,265.0
450.0,265.8
450.2,266.0
450.0,266.2
449.2,267.0
449.0,267.2
448.2,268.0
448.2,269.0
448.2,270.0
448.0,270.2
447.2,271.0
447.0,271.2
446.2,272.0
446.2,273.0
446.2,274.0
446.2,275.0
446.2,276.0
446.2,277.0
446.2,278.0
446.2,279.0
446.2,280.0
446.2,281.0
446.2,282.0
446.2,283.0
446.2,284.0
446.2,285.0
446.2,286.0
446.2,287.0
447.0,287.8
447.2,288.0
448.0,288.8
449.0,288.8
450.0,288.8
451.0,288.8
452.0,288.8
452.2,289.0
453.0,289.8
453.2,290.0
454.0,290.8
455.0,290.8
455.8,290.0
456.0,289.8
457.0,289.8
457.2,290.0
458.0,290.8
458.2,291.0
459.0,291.8
460.0,291.8
460.8,291.0
