x,y
383.8,556.0
384.0,555.8
385.0,555.8
386.0,555.8
387.0,555.8
387.8,555.0
388.0,554.8
388.8,554.0
389.0,553.8
389.8,553.0
390.0,552.8
390.8,552.0
391.0,551.8
392.0,551.8
392.8,551.0
393.0,550.8
393.8,550.0
394.0,549.8
395.0,549.8
395.8,549.0
396.0,548.8
396.8,548.0
397.0,547.8
398.0,547.8
398.8,547.0
399.0,546.8
400.0,546.8
401.0,546.8
401.8,546.0
402.0,545.8
403.0,545.8
404.0,545.8
405.0,545.8
405.8,545.0
406.0,544.8
407.0,544.8
408.0,544.8
408.8,544.0
409.0,543.8
410.0,543.8
411.0,543.8
412.0,543.8
412.8,543.0
413.0,542.8
414.0,542.8
415.0,542.8
415.8,542.0
416.0,541.8
417.0,541.8
418.0,541.8
419.0,541.8
420.0,541.8
420.8,541.0
421.0,540.8
422.0,540.8
423.0,540.8
423.8,540.0
424.0,539.8
425.0,539.8
426.0,539.8
427.0,539.8
428.0,539.8
429.0,539.8
430.0,539.8
431.0,539.8
431.8,539.0
432.0,538.8
433.0,538.8
434.0,538.8
435.0,538.8
436.0,538.8
436.8,538.0
437.0,537.8
438.0,537.8
439.0,537.8
440.0,537.8
441.0,537.8
442.0,537.8
443.0,537.8
443.8,537.0
444.0,536.8
445.0,536.8
446.0,536.8
446.8,536.0
447.0,535.8
448.0,535.8
449.0,535.8
450.0,535.8
450.8,535.0
451.0,534.8
451.8,534.0
452.0,533.8
453.0,533.8
453.8,533.0
454.0,532.8
454.8,532.0
454.8,531.0
455.0,530.8
455.8,530.0
455.8,529.0
455.8,528.0
456.0,527.8
456.8,527.0
457.0,526.8
458.0,526.8
458.8,526.0
459.0,525.8
460.0,525.8
461.0,525.8
462.0,525.8
462.8,525.0
463.0,524.8
464.0,524.8
464.8,524.0
465.0,523.8
466.0,523.8
466.8,523.0
467.0,522.8
468.0,522.8
469.0,522.8
470.0,522.8
470.8,522.0
471.0,521.8
472.0,521.8
472.8,521.0
473.0,520.8
474.0,520.8
475.0,520.8
475.8,520.0
476.0,519.8
477.0,519.8
477.8,519.0
478.0,518.8
479.0,518.8
479.8,518.0
480.0,517.8
481.0,517.8
482.0,517.8
482.8,517.0
483.0,516.8
483.8,516.0
484.0,515.8
