x,y
245.8,569.0
246.0,568.8
246.8,568.0
246.8,567.0
246.8,566.0
246.8,565.0
247.0,564.8
248.0,564.8
248.8,564.0
249.0,563.8
249.8,563.0
250.0,562.8
250.8,562.0
251.0,561.8
252.0,561.8
253.0,561.8
254.0,561.8
255.0,561.8
256.0,561.8
256.8,561.0
257.0,560.8
257.8,560.0
258.0,559.8
258.8,559.0
259.0,558.8
259.8,558.0
260.0,557.8
260.8,557.0
261.0,556.8
261.8,556.0
262.0,555.8
263.0,555.8
264.0,555.8
265.0,555.8
266.0,555.8
267.0,555.8
268.0,555.8
269.0,555.8
270.0,555.8
271.0,555.8
272.0,555.8
272.8,555.0
273.0,554.8
273.8,554.0
273.8,553.0
274.0,552.8
274.8,552.0
274.8,551.0
274.8,550.0
274.8,549.0
274.8,548.0
274.8,547.0
274.0,546.2
273.8,546.0
273.8,545.0
273.8,544.0
273.0,543.2
272.0,543.2
271.0,543.2
270.0,543.2
269.8,543.0
269.0,542.2
268.0,542.2
267.8,542.0
267.0,541.2
266.0,541.2
265.0,541.2
264.8,541.0
264.0,540.2
263.8,540.0
264.0,539.8
265.0,539.8
266.0,539.8
267.0,539.8
268.0,539.8
269.0,539.8
270.0,539.8
271.0,539.8
272.0,539.8
273.0,539.8
274.0,539.8
275.0,539.8
276.0,539.8
277.0,539.8
278.0,539.8
279.0,539.8
280.0,539.8
281.0,539.8
282.0,539.8
282.8,539.0
283.0,538.8
283.8,538.0
284.0,537.8
285.0,537.8
286.0,537.8
286.8,537.0
287.0,536.8
287.8,536.0
288.0,535.8
289.0,535.8
290.0,535.8
290.8,535.0
291.0,534.8
291.8,534.0
292.0,533.8
292.8,533.0
293.0,532.8
293.8,532.0
294.0,531.8
294.8,531.0
294.8,530.0
295.0,529.8
295.8,529.0
295.8,528.0
295.8,527.0
295.8,526.0
295.8,525.0
295.8,524.0
295.8,523.0
295.8,522.0
295.8,521.0
295.8,520.0
295.8,519.0
295.8,518.0
295.8,517.0
295.8,516.0
295.8,515.0
296.0,514.8
297.0,514.8
298.0,514.8
299.0,514.8
300.0,514.8
301.0,514.8
302.0,514.8
303.0,514.8
303.2,515.0
304.0,515.8
304.8,515.0
304.8,514.0
304.0,513.2
303.8,513.0
303.8,512.0
303.8,511.0
303.0,510.2
302.8,510.0
302.8,509.0
302.0,508.2
301.8,508.0
301.8,507.0
301.8,506.0
301.0,505.2
300.8,505.0
300.8,504.0
300.8,503.0
300.0,502.2
299.8,502.0
299.8,501.0
299.8,500.0
299.0,499.2
298.0,499.2
297.0,499.2
296.0,499.2
295.0,499.2
294.0,499.2
293.8,499.0
293.8,498.0
293.8,497.0
293.0,496.2
292.8,496.0
292.0,495.2
291.8,495.0
291.0,494.2
290.8,494.0
290.8,493.0
290.0,492.2
289.8,492.0
289.8,491.0
289.0,490.2
288.8,490.0
288.0,489.2
287.8,489.0
287.0,488.2
286.0,488.2
285.8,488.0
285.8,487.0
285.0,486.2
284.0,486.2
283.8,486.0
283.0,485.2
282.8,485.0
282.0,484.2
281.0,484.2
280.0,484.2
279.0,484.2
278.8,484.0
278.0,483.2
277.0,483.2
276.0,483.2
275.0,483.2
274.0,483.2
273.0,483.2
272.0,483.2
271.0,483.2
270.0,483.2
269.0,483.2
