x,y
432.8,467.0
433.0,466.8
434.0,466.8
435.0,466.8
436.0,466.8
437.0,466.8
438.0,466.8
439.0,466.8
439.8,466.0
440.0,465.8
440.8,465.0
441.0,464.8
442.0,464.8
443.0,464.8
443.8,464.0
444.0,463.8
445.0,463.8
445.8,463.0
446.0,462.8
447.0,462.8
448.0,462.8
448.8,462.0
449.0,461.8
450.0,461.8
450.8,461.0
451.0,460.8
452.0,460.8
452.8,460.0
453.0,459.8
454.0,459.8
455.0,459.8
455.8,459.0
456.0,458.8
457.0,458.8
457.8,458.0
457.8,457.0
458.0,456.8
459.0,456.8
459.8,456.0
460.0,455.8
460.8,455.0
461.0,454.8
462.0,454.8
463.0,454.8
463.8,454.0
464.0,453.8
465.0,453.8
466.0,453.8
467.0,453.8
467.8,453.0
468.0,452.8
469.0,452.8
469.8,452.0
470.0,451.8
471.0,451.8
471.8,451.0
472.0,450.8
472.8,450.0
472.8,449.0
473.0,448.8
474.0,448.8
475.0,448.8
475.8,448.0
475.8,447.0
475.8,446.0
476.0,445.8
477.0,445.8
478.0,445.8
479.0,445.8
479.8,445.0
480.0,444.8
480.8,444.0
481.0,443.8
481.8,443.0
482.0,442.8
482.8,442.0
483.0,441.8
483.8,441.0
484.0,440.8
484.8,440.0
485.0,439.8
485.8,439.0
486.0,438.8
486.8,438.0
487.0,437.8
487.8,437.0
488.0,436.8
488.8,436.0
489.0,435.8
489.8,435.0
489.8,434.0
490.0,433.8
490.8,433.0
491.0,432.8
491.8,432.0
492.0,431.8
492.8,431.0
493.0,430.8
493.8,430.0
494.0,429.8
494.8,429.0
494.8,428.0
495.0,427.8
495.8,427.0
496.0,426.8
496.8,426.0
497.0,425.8
497.8,425.0
497.8,424.0
498.0,423.8
498.8,423.0
499.0,422.8
499.8,422.0
500.0,421.8
500.8,421.0
501.0,420.8
501.8,420.0
501.8,419.0
501.8,418.0
501.8,417.0
502.0,416.8
502.8,416.0
502.8,415.0
503.0,414.8
503.8,414.0
503.8,413.0
503.8,412.0
503.8,411.0
504.0,410.8
504.8,410.0
504.8,409.0
505.0,408.8
505.8,408.0
506.0,407.8
507.0,407.8
507.8,407.0
507.8,406.0
507.8,405.0
507.8,404.0
507.8,403.0
507.8,402.0
508.0,401.8
508.8,401.0
508.8,400.0
508.8,399.0
509.0,398.8
509.8,398.0
509.8,397.0
510.0,396.8
510.8,396.0
510.8,395.0
511.0,394.8
511.8,394.0
511.8,393.0
511.8,392.0
511.8,391.0
512.0,390.8
512.8,390.0
513.0,389.8
513.8,389.0
513.8,388.0
513.8,387.0
514.0,386.8
515.0,386.8
515.8,386.0
515.8,385.0
515.8,384.0
515.8,383.0
515.8,382.0
515.8,381.0
515.8,380.0
515.8,379.0
515.8,378.0
515.8,377.0
515.8,376.0
515.8,375.0
515.0,374.2
514.8,374.0
514.8,373.0
514.8,372.0
514.8,371.0
514.8,370.0
514.8,369.0
514.8,368.0
514.8,367.0
514.0,366.2
513.0,366.2
512.0,366.2
511.0,366.2
510.8,366.0
510.0,365.2
509.2,366.0
509.2,367.0
510.0,367.8
510.2,368.0
510.2,369.0
510.2,370.0
510.2,371.0
510.2,372.0
510.2,373.0
510.2,374.0
510.2,375.0
510.2,376.0
510.2,377.0
510.2,378.0
510.0,378.2
509.2,379.0
509.2,380.0
509.0,380.2
508.2,381.0
508.2,382.0
508.0,382.2
507.2,383.0
507.0,383.2
506.2,384.0
506.2,385.0
506.2,386.0
506.2,387.0
506.2,388.0
506.2,389.0
506.2,390.0
506.2,391.0
506.0,391.2
505.0,391.2
504.2,392.0
504.2,393.0
504.2,394.0
504.2,395.0
504.2,396.0
504.0,396.2
503.2,397.0
503.0,397.2
502.2,398.0
502.0,398.2
501.2,399.0
501.2,400.0
501.0,400.2
500.2,401.0
500.2,402.0
500.0,402.2
499.2,403.0
499.2,404.0
499.0,404.2
498.2,405.0
498.2,406.0
498.0,406.2
497.2,407.0
497.0,407.2
496.2,408.0
496.2,409.0
496.2,410.0
496.0,410.2
495.2,411.0
495.0,411.2
494.2,412.0
494.0,412.2
493.0,412.2
492.2,413.0
492.2,414.0
492.0,414.2
491.0,414.2
490.2,415.0
490.2,416.0
490.2,417.0
490.0,417.2
489.2,418.0
489.2,419.0
489.0,419.2
488.2,420.0
488.0,420.2
487.2,421.0
487.0,421.2
486.2,422.0
486.0,422.2
485.2,423.0
485.2,424.0
485.2,425.0
485.0,425.2
484.0,425.2
483.2,426.0
483.0,426.2
482.2,427.0
482.0,427.2
481.2,428.0
481.0,428.2
480.2,429.0
480.0,429.2
479.2,430.0
479.0,430.2
478.0,430.2
477.2,431.0
477.0,431.2
476.0,431.2
475.2,432.0
475.0,432.2
474.2,433.0
474.0,433.2
473.0,433.2
472.0,433.2
471.2,434.0
471.0,434.2
470.0,434.2
469.0,434.2
468.2,435.0
468.0,435.2
467.2,436.0
467.0,436.2
466.2,437.0
466.0,437.2
465.0,437.2
464.2,438.0
464.0,438.2
463.0,438.2
462.0,438.2
461.2,439.0
461.0,439.2
460.0,439.2
459.2,440.0
459.0,440.2
458.0,440.2
457.0,440.2
456.0,440.2
455.0,440.2
454.2,441.0
454.0,441.2
453.2,442.0
453.0,442.2
452.0,442.2
451.0,442.2
450.0,442.2
449.2,443.0
449.0,443.2
448.2,444.0
448.0,444.2
447.0,444.2
446.0,444.2
445.0,444.2
444.0,444.2
443.0,444.2
442.0,444.2
441.0,444.2
440.0,444.2
439.0,444.2
438.0,444.2
437.0,444.2
436.2,445.0
436.0,445.2
435.0,445.2
434.0,445.2
433.0,445.2
432.0,445.2
431.0,445.2
430.0,445.2
429.8,445.0
429.0,444.2
428.0,444.2
427.8,444.0
427.0,443.2
426.0,443.2
425.0,443.2
424.0,443.2
423.0,443.2
422.0,443.2
421.0,443.2
420.0,443.2
419.0,443.2
418.0,443.2
417.0,443.2
416.0,443.2
415.0,443.2
414.8,443.0
414.0,442.2
413.0,442.2
412.0,442.2
411.0,442.2
410.0,442.2
409.0,442.2
408.0,442.2
407.0,442.2
406.0,442.2
405.0,442.2
404.0,442.2
403.0,442.2
402.8,442.0
402.0,441.2
401.8,441.0
401.0,440.2
400.0,440.2
399.0,440.2
398.0,440.2
397.0,440.2
396.0,440.2
395.0,440.2
394.0,440.2
393.0,440.2
392.0,440.2
391.0,440.2
390.0,440.2
389.0,440.2
388.0,440.2
387.0,440.2
386.8,440.0
386.0,439.2
385.8,439.0
385.0,438.2
384.8,438.0
384.0,437.2
383.8,437.0
383.0,436.2
382.0,436.2
381.8,436.0
382.0,435.8
382.8,435.0
382.8,434.0
382.0,433.2
381.8,433.0
381.0,432.2
380.8,432.0
380.8,431.0
380.8,430.0
380.0,429.2
379.8,429.0
379.0,428.2
378.8,428.0
378.0,427.2
377.8,427.0
377.0,426.2
376.8,426.0
376.8,425.0
376.0,424.2
375.8,424.0
375.8,423.0
375.0,422.2
374.0,422.2
373.0,422.2
372.0,422.2
371.8,422.0
371.8,421.0
371.0,420.2
370.8,420.0
370.0,419.2
369.0,419.2
368.8,419.0
368.0,418.2
367.8,418.0
367.8,417.0
367.0,416.2
366.0,416.2
365.0,416.2
364.0,416.2
363.8,416.0
363.8,415.0
363.0,414.2
362.8,414.0
362.0,413.2
361.0,413.2
360.8,413.0
360.8,412.0
360.0,411.2
359.0,411.2
358.0,411.2
357.0,411.2
356.8,411.0
356.0,410.2
355.0,410.2
354.0,410.2
353.8,410.0
353.8,409.0
353.0,408.2
352.0,408.2
351.0,408.2
350.0,408.2
349.0,408.2
348.0,408.2
347.0,408.2
346.8,408.0
346.0,407.2
345.8,407.0
345.8,406.0
345.8,405.0
345.8,404.0
345.8,403.0
345.8,402.0
345.8,401.0
345.8,400.0
345.8,399.0
345.0,398.2
344.0,398.2
343.0,398.2
342.0,398.2
341.0,398.2
340.0,398.2
339.0,398.2
338.0,398.2
337.8,398.0
337.0,397.2
336.8,397.0
336.0,396.2
335.8,396.0
335.0,395.2
334.8,395.0
334.8,394.0
334.0,393.2
333.0,393.2
332.0,393.2
331.8,393.0
331.0,392.2
330.0,392.2
329.0,392.2
328.0,392.2
327.0,392.2
326.8,392.0
326.0,391.2
325.0,391.2
324.0,391.2
323.0,391.2
322.8,391.0
322.0,390.2
321.0,390.2
320.8,390.0
320.0,389.2
319.0,389.2
318.8,389.0
318.0,388.2
317.0,388.2
316.8,388.0
316.0,387.2
315.0,387.2
314.8,387.0
314.8,386.0
314.8,385.0
314.8,384.0
314.8,383.0
314.8,382.0
314.8,381.0
314.0,380.2
313.0,380.2
312.0,380.2
311.0,380.2
310.8,380.0
310.8,379.0
310.8,378.0
310.8,377.0
310.8,376.0
310.8,375.0
310.8,374.0
310.8,373.0
310.8,372.0
310.0,371.2
309.8,371.0
309.0,370.2
308.8,370.0
308.8,369.0
308.8,368.0
308.8,367.0
308.8,366.0
308.0,365.2
307.8,365.0
307.0,364.2
306.8,364.0
306.8,363.0
306.0,362.2
305.8,362.0
305.8,361.0
305.0,360.2
304.8,360.0
304.0,359.2
303.8,359.0
303.0,358.2
302.8,358.0
302.8,357.0
302.8,356.0
302.0,355.2
301.8,355.0
301.0,354.2
300.8,354.0
300.0,353.2
299.8,353.0
299.0,352.2
298.8,352.0
298.0,351.2
297.8,351.0
297.0,350.2
296.8,350.0
296.8,349.0
296.8,348.0
296.8,347.0
296.0,346.2
295.8,346.0
295.8,345.0
295.0,344.2
294.0,344.2
293.0,344.2
292.0,344.2
291.8,344.0
291.8,343.0
291.0,342.2
290.8,342.0
290.8,341.0
291.0,340.8
291.8,340.0
291.8,339.0
292.0,338.8
292.8,338.0
293.0,337.8
293.8,337.0
293.8,336.0
293.0,335.2
292.8,335.0
292.0,334.2
291.8,334.0
291.0,333.2
290.8,333.0
290.0,332.2
289.8,332.0
289.0,331.2
288.0,331.2
287.0,331.2
286.0,331.2
285.0,331.2
284.0,331.2
283.8,331.0
283.0,330.2
282.8,330.0
282.8,329.0
282.0,328.2
281.8,328.0
281.8,327.0
281.0,326.2
280.8,326.0
280.8,325.0
280.8,324.0
280.0,323.2
279.8,323.0
279.8,322.0
279.8,321.0
279.0,320.2
278.0,320.2
277.8,320.0
277.8,319.0
277.0,318.2
276.8,318.0
276.0,317.2
275.0,317.2
274.8,317.0
274.0,316.2
273.8,316.0
273.8,315.0
273.0,314.2
272.8,314.0
272.0,313.2
271.8,313.0
271.0,312.2
270.8,312.0
270.0,311.2
269.8,311.0
269.0,310.2
268.8,310.0
268.0,309.2
267.0,309.2
266.8,309.0
266.8,308.0
266.0,307.2
265.8,307.0
265.0,306.2
264.8,306.0
264.8,305.0
264.8,304.0
264.8,303.0
264.8,302.0
264.0,301.2
263.8,301.0
263.0,300.2
262.8,300.0
262.8,299.0
262.8,298.0
262.0,297.2
261.8,297.0
261.0,296.2
260.8,296.0
260.8,295.0
260.8,294.0
260.8,293.0
260.8,292.0
260.8,291.0
260.8,290.0
260.8,289.0
260.8,288.0
260.0,287.2
259.8,287.0
259.0,286.2
258.8,286.0
258.0,285.2
257.8,285.0
257.0,284.2
256.8,284.0
256.8,283.0
256.8,282.0
256.8,281.0
256.8,280.0
256.8,279.0
256.0,278.2
255.8,278.0
255.0,277.2
254.8,277.0
254.0,276.2
253.0,276.2
252.8,276.0
252.8,275.0
252.0,274.2
251.8,274.0
251.0,273.2
250.8,273.0
250.0,272.2
249.8,272.0
249.8,271.0
249.8,270.0
249.0,269.2
248.8,269.0
248.8,268.0
248.8,267.0
248.8,266.0
248.8,265.0
248.0,264.2
247.8,264.0
247.8,263.0
247.0,262.2
246.8,262.0
246.8,261.0
246.0,260.2
245.8,260.0
245.0,259.2
244.8,259.0
244.8,258.0
244.0,257.2
243.8,257.0
243.0,256.2
242.8,256.0
242.8,255.0
242.0,254.2
241.0,254.2
240.8,254.0
240.0,253.2
239.8,253.0
239.8,252.0
239.0,251.2
238.0,251.2
237.8,251.0
237.8,250.0
237.0,249.2
236.8,249.0
236.8,248.0
236.8,247.0
236.0,246.2
235.8,246.0
235.8,245.0
235.8,244.0
235.8,243.0
235.0,242.2
234.8,242.0
234.8,241.0
234.8,240.0
234.0,239.2
233.8,239.0
233.8,238.0
233.8,237.0
233.8,236.0
233.8,235.0
233.8,234.0
233.8,233.0
233.8,232.0
233.8,231.0
233.8,230.0
233.8,229.0
233.8,228.0
234.0,227.8
234.8,227.0
234.8,226.0
234.8,225.0
234.8,224.0
234.8,223.0
234.8,222.0
234.8,221.0
234.8,220.0
234.8,219.0
234.8,218.0
234.8,217.0
234.8,216.0
234.8,215.0
234.8,214.0
234.8,213.0
234.8,212.0
234.0,211.2
233.0,211.2
232.0,211.2
231.0,211.2
230.0,211.2
229.8,211.0
229.8,210.0
229.8,209.0
229.0,208.2
228.2,209.0
228.0,209.2
227.2,210.0
227.2,211.0
227.2,212.0
227.2,213.0
227.2,214.0
227.0,214.2
226.2,215.0
226.2,216.0
226.2,217.0
226.2,218.0
226.2,219.0
226.2,220.0
226.2,221.0
226.2,222.0
226.2,223.0
226.2,224.0
226.2,225.0
226.2,226.0
226.2,227.0
226.2,228.0
226.2,229.0
226.2,230.0
226.2,231.0
226.2,232.0
226.2,233.0
226.2,234.0
226.2,235.0
226.2,236.0
226.2,237.0
226.2,238.0
226.2,239.0
226.0,239.2
225.2,240.0
225.2,241.0
225.2,242.0
225.2,243.0
225.2,244.0
225.2,245.0
225.2,246.0
225.2,247.0
225.2,248.0
225.2,249.0
225.2,250.0
225.2,251.0
225.2,252.0
225.2,253.0
225.2,254.0
225.2,255.0
225.2,256.0
225.2,257.0
225.2,258.0
225.2,259.0
225.2,260.0
225.2,261.0
225.2,262.0
225.2,263.0
226.0,263.8
226.2,264.0
226.2,265.0
226.2,266.0
226.2,267.0
226.2,268.0
226.2,269.0
226.2,270.0
226.2,271.0
226.2,272.0
227.0,272.8
227.2,273.0
227.2,274.0
228.0,274.8
228.2,275.0
228.2,276.0
228.2,277.0
228.2,278.0
228.2,279.0
228.2,280.0
228.2,281.0
228.2,282.0
228.2,283.0
229.0,283.8
229.2,284.0
230.0,284.8
230.2,285.0
230.2,286.0
230.2,287.0
230.2,288.0
230.2,289.0
230.2,290.0
230.2,291.0
231.0,291.8
231.2,292.0
232.0,292.8
232.2,293.0
232.2,294.0
232.2,295.0
232.2,296.0
232.2,297.0
232.2,298.0
232.2,299.0
233.0,299.8
233.2,300.0
234.0,300.8
234.2,301.0
234.2,302.0
234.2,303.0
234.2,304.0
234.2,305.0
234.2,306.0
234.2,307.0
235.0,307.8
235.2,308.0
236.0,308.8
236.2,309.0
236.2,310.0
236.2,311.0
237.0,311.8
237.2,312.0
238.0,312.8
238.2,313.0
238.2,314.0
238.2,315.0
238.2,316.0
238.2,317.0
239.0,317.8
239.2,318.0
240.0,318.8
240.2,319.0
240.2,320.0
240.2,321.0
240.2,322.0
240.2,323.0
240.2,324.0
240.2,325.0
241.0,325.8
241.2,326.0
242.0,326.8
242.2,327.0
242.2,328.0
242.2,329.0
243.0,329.8
243.2,330.0
244.0,330.8
244.2,331.0
244.2,332.0
244.2,333.0
245.0,333.8
245.2,334.0
245.2,335.0
245.2,336.0
246.0,336.8
246.2,337.0
246.2,338.0
246.2,339.0
247.0,339.8
