x,y
475.8,433.0
476.0,432.8
477.0,432.8
477.8,432.0
478.0,431.8
479.0,431.8
480.0,431.8
480.8,431.0
481.0,430.8
482.0,430.8
482.8,430.0
483.0,429.8
484.0,429.8
484.8,429.0
485.0,428.8
486.0,428.8
487.0,428.8
487.8,428.0
488.0,427.8
489.0,427.8
489.8,427.0
490.0,426.8
490.8,426.0
491.0,425.8
491.8,425.0
492.0,424.8
492.8,424.0
493.0,423.8
493.8,423.0
494.0,422.8
494.8,422.0
495.0,421.8
496.0,421.8
496.8,421.0
496.8,420.0
497.0,419.8
497.8,419.0
497.8,418.0
498.0,417.8
499.0,417.8
499.8,417.0
499.8,416.0
499.8,415.0
500.0,414.8
500.8,414.0
501.0,413.8
501.8,413.0
502.0,412.8
502.8,412.0
503.0,411.8
503.8,411.0
504.0,410.8
504.8,410.0
504.8,409.0
504.0,408.2
503.8,408.0
504.0,407.8
504.8,407.0
504.8,406.0
505.0,405.8
505.8,405.0
505.8,404.0
505.8,403.0
506.0,402.8
506.8,402.0
506.8,401.0
506.8,400.0
506.8,399.0
506.8,398.0
507.0,397.8
507.8,397.0
508.0,396.8
508.8,396.0
508.0,395.2
507.8,395.0
507.8,394.0
508.0,393.8
508.8,393.0
508.8,392.0
508.8,391.0
508.8,390.0
508.8,389.0
508.8,388.0
508.8,387.0
508.0,386.2
507.8,386.0
507.8,385.0
508.0,384.8
508.8,384.0
508.8,383.0
508.8,382.0
508.0,381.2
507.8,381.0
507.0,380.2
506.8,380.0
506.8,379.0
506.8,378.0
506.8,377.0
506.8,376.0
506.0,375.2
505.8,375.0
505.8,374.0
505.8,373.0
506.0,372.8
506.8,372.0
506.0,371.2
505.8,371.0
505.0,370.2
504.8,370.0
504.8,369.0
504.0,368.2
503.8,368.0
503.0,367.2
502.8,367.0
502.0,366.2
501.8,366.0
501.8,365.0
501.8,364.0
501.0,363.2
500.8,363.0
500.8,362.0
500.8,361.0
500.8,360.0
500.8,359.0
500.0,358.2
499.8,358.0
499.0,357.2
498.8,357.0
498.8,356.0
498.0,355.2
497.8,355.0
497.8,354.0
497.8,353.0
498.0,352.8
498.8,352.0
498.0,351.2
497.0,351.2
496.8,351.0
496.8,350.0
496.8,349.0
496.8,348.0
496.8,347.0
496.8,346.0
496.8,345.0
496.8,344.0
496.8,343.0
496.8,342.0
496.8,341.0
496.8,340.0
496.8,339.0
496.8,338.0
497.0,337.8
497.8,337.0
498.0,336.8
498.8,336.0
498.0,335.2
497.8,335.0
497.8,334.0
498.0,333.8
498.8,333.0
498.8,332.0
499.0,331.8
500.0,331.8
500.8,331.0
501.0,330.8
501.8,330.0
502.0,329.8
502.8,329.0
503.0,328.8
503.8,328.0
503.0,327.2
502.8,327.0
502.8,326.0
503.0,325.8
503.8,325.0
503.8,324.0
503.0,323.2
502.0,323.2
501.8,323.0
501.0,322.2
500.2,323.0
500.0,323.2
499.2,324.0
499.2,325.0
499.0,325.2
498.0,325.2
497.0,325.2
496.2,326.0
496.2,327.0
496.0,327.2
495.0,327.2
494.2,328.0
494.0,328.2
493.2,329.0
493.2,330.0
493.0,330.2
492.2,331.0
492.2,332.0
492.2,333.0
492.0,333.2
491.0,333.2
490.2,334.0
490.2,335.0
490.2,336.0
490.2,337.0
490.2,338.0
490.0,338.2
489.2,339.0
489.2,340.0
489.0,340.2
488.2,341.0
488.2,342.0
488.2,343.0
488.2,344.0
488.2,345.0
488.2,346.0
488.2,347.0
488.2,348.0
488.0,348.2
487.2,349.0
487.0,349.2
486.8,349.0
486.8,348.0
486.8,347.0
486.8,346.0
486.8,345.0
486.8,344.0
486.8,343.0
486.8,342.0
486.8,341.0
486.8,340.0
486.8,339.0
486.8,338.0
486.8,337.0
486.8,336.0
486.8,335.0
486.8,334.0
486.8,333.0
486.8,332.0
486.8,331.0
486.8,330.0
486.8,329.0
486.8,328.0
486.8,327.0
486.8,326.0
486.8,325.0
486.8,324.0
486.8,323.0
486.8,322.0
487.0,321.8
487.8,321.0
488.0,320.8
488.8,320.0
488.8,319.0
488.8,318.0
488.0,317.2
487.8,317.0
487.8,316.0
488.0,315.8
488.8,315.0
488.0,314.2
487.8,314.0
487.0,313.2
486.0,313.2
485.0,313.2
484.2,314.0
484.2,315.0
484.0,315.2
483.0,315.2
482.2,316.0
482.2,317.0
482.0,317.2
481.2,318.0
481.0,318.2
480.2,319.0
480.2,320.0
480.0,320.2
479.2,321.0
479.0,321.2
478.2,322.0
478.2,323.0
478.2,324.0
478.0,324.2
477.0,324.2
476.0,324.2
475.8,324.0
475.0,323.2
474.8,323.0
474.8,322.0
474.8,321.0
474.8,320.0
474.8,319.0
474.8,318.0
474.8,317.0
474.8,316.0
474.0,315.2
473.0,315.2
472.0,315.2
471.8,315.0
471.8,314.0
471.0,313.2
470.8,313.0
470.0,312.2
469.2,313.0
469.0,313.2
468.0,313.2
467.8,313.0
467.0,312.2
466.8,312.0
466.0,311.2
465.0,311.2
464.2,312.0
464.0,312.2
463.2,313.0
463.2,314.0
464.0,314.8
464.2,315.0
464.2,316.0
464.2,317.0
464.2,318.0
465.0,318.8
465.2,319.0
466.0,319.8
466.2,320.0
466.2,321.0
466.2,322.0
466.2,323.0
467.0,323.8
467.2,324.0
468.0,324.8
468.2,325.0
469.0,325.8
469.2,326.0
469.2,327.0
469.2,328.0
470.0,328.8
470.2,329.0
470.2,330.0
470.2,331.0
470.2,332.0
470.2,333.0
470.2,334.0
470.2,335.0
471.0,335.8
471.2,336.0
472.0,336.8
472.2,337.0
472.2,338.0
472.2,339.0
472.2,340.0
472.2,341.0
472.2,342.0
472.2,343.0
472.2,344.0
472.2,345.0
472.2,346.0
472.2,347.0
472.2,348.0
472.2,349.0
472.2,350.0
472.2,351.0
472.2,352.0
472.2,353.0
472.2,354.0
472.2,355.0
472.2,356.0
472.2,357.0
472.2,358.0
472.2,359.0
472.2,360.0
472.2,361.0
472.0,361.2
471.0,361.2
470.8,361.0
470.8,360.0
470.8,359.0
470.8,358.0
470.8,357.0
470.8,356.0
470.8,355.0
470.8,354.0
470.8,353.0
470.8,352.0
470.8,351.0
470.0,350.2
469.8,350.0
469.0,349.2
468.8,349.0
468.0,348.2
467.8,348.0
467.8,347.0
468.0,346.8
468.8,346.0
468.0,345.2
467.8,345.0
467.0,344.2
466.8,344.0
466.8,343.0
466.8,342.0
466.8,341.0
466.0,340.2
465.8,340.0
465.0,339.2
464.8,339.0
464.8,338.0
464.0,337.2
463.8,337.0
463.0,336.2
462.8,336.0
462.8,335.0
462.0,334.2
461.8,334.0
461.0,333.2
460.0,333.2
459.0,333.2
458.8,333.0
458.0,332.2
457.8,332.0
457.0,331.2
456.8,331.0
456.0,330.2
455.0,330.2
454.0,330.2
453.0,330.2
452.8,330.0
452.0,329.2
451.0,329.2
450.0,329.2
449.2,330.0
449.0,330.2
448.2,331.0
449.0,331.8
449.2,332.0
449.2,333.0
450.0,333.8
451.0,333.8
451.2,334.0
451.2,335.0
452.0,335.8
452.2,336.0
453.0,336.8
453.2,337.0
454.0,337.8
454.2,338.0
455.0,338.8
455.2,339.0
456.0,339.8
456.2,340.0
457.0,340.8
457.2,341.0
458.0,341.8
458.2,342.0
458.2,343.0
458.2,344.0
458.2,345.0
459.0,345.8
459.2,346.0
460.0,346.8
460.2,347.0
460.2,348.0
460.2,349.0
460.2,350.0
460.2,351.0
460.2,352.0
460.2,353.0
460.2,354.0
460.2,355.0
460.2,356.0
460.2,357.0
460.2,358.0
460.2,359.0
460.2,360.0
460.2,361.0
460.2,362.0
460.2,363.0
460.2,364.0
460.2,365.0
460.2,366.0
460.2,367.0
460.2,368.0
460.0,368.2
459.2,369.0
459.0,369.2
458.2,370.0
458.2,371.0
458.2,372.0
458.2,373.0
458.2,374.0
458.0,374.2
457.2,375.0
457.0,375.2
456.2,376.0
456.2,377.0
456.2,378.0
456.2,379.0
456.2,380.0
456.0,380.2
455.2,381.0
455.0,381.2
454.2,382.0
454.2,383.0
454.2,384.0
454.2,385.0
454.0,385.2
453.0,385.2
452.2,386.0
452.0,386.2
451.2,387.0
451.0,387.2
450.2,388.0
451.0,388.8
452.0,388.8
452.2,389.0
452.2,390.0
452.2,391.0
452.2,392.0
452.2,393.0
452.2,394.0
452.0,394.2
451.2,395.0
451.0,395.2
450.2,396.0
450.2,397.0
450.2,398.0
450.2,399.0
450.2,400.0
450.2,401.0
450.2,402.0
450.2,403.0
450.2,404.0
450.2,405.0
450.2,406.0
450.2,407.0
450.2,408.0
450.2,409.0
450.2,410.0
450.2,411.0
450.2,412.0
450.2,413.0
450.2,414.0
450.2,415.0
451.0,415.8
452.0,415.8
452.2,416.0
452.2,417.0
452.2,418.0
452.2,419.0
453.0,419.8
453.2,420.0
453.2,421.0
454.0,421.8
454.2,422.0
455.0,422.8
455.2,423.0
456.0,423.8
456.2,424.0
457.0,424.8
457.2,425.0
458.0,425.8
458.2,426.0
458.2,427.0
459.0,427.8
460.0,427.8
460.2,428.0
461.0,428.8
462.0,428.8
462.2,429.0
463.0,429.8
463.2,430.0
464.0,430.8
465.0,430.8
466.0,430.8
467.0,430.8
468.0,430.8
468.2,431.0
469.0,431.8
469.2,432.0
470.0,432.8
471.0,432.8
472.0,432.8
473.0,432.8
474.0,432.8
474.2,433.0
475.0,433.8
475.8,433.0
