x,y
303.8,252.0
304.0,251.8
304.8,251.0
305.0,250.8
306.0,250.8
307.0,250.8
307.8,250.0
308.0,249.8
308.8,249.0
309.0,248.8
310.0,248.8
311.0,248.8
311.8,248.0
312.0,247.8
312.8,247.0
312.8,246.0
312.8,245.0
313.0,244.8
313.8,244.0
314.0,243.8
314.8,243.0
314.8,242.0
315.0,241.8
315.2,242.0
316.0,242.8
316.2,243.0
317.0,243.8
317.2,244.0
318.0,244.8
318.2,245.0
319.0,245.8
319.2,246.0
320.0,246.8
320.2,247.0
320.2,248.0
321.0,248.8
322.0,248.8
323.0,248.8
324.0,248.8
325.0,248.8
326.0,248.8
327.0,248.8
328.0,248.8
329.0,248.8
329.8,248.0
330.0,247.8
330.8,247.0
331.0,246.8
332.0,246.8
332.8,246.0
332.8,245.0
332.8,244.0
332.8,243.0
332.8,242.0
332.8,241.0
333.0,240.8
334.0,240.8
334.8,240.0
334.8,239.0
334.8,238.0
334.8,237.0
334.8,236.0
334.0,235.2
333.2,236.0
333.0,236.2
332.8,236.0
332.0,235.2
331.8,235.0
331.0,234.2
330.8,234.0
330.0,233.2
329.8,233.0
329.0,232.2
328.8,232.0
328.0,231.2
327.8,231.0
327.0,230.2
326.8,230.0
326.0,229.2
325.8,229.0
325.0,228.2
324.8,228.0
324.0,227.2
323.8,227.0
323.0,226.2
322.0,226.2
321.0,226.2
320.8,226.0
320.0,225.2
319.8,225.0
319.0,224.2
318.8,224.0
318.0,223.2
317.8,223.0
317.0,222.2
316.8,222.0
316.0,221.2
315.8,221.0
315.0,220.2
314.8,220.0
314.0,219.2
313.8,219.0
313.0,218.2
312.8,218.0
312.0,217.2
311.8,217.0
312.0,216.8
313.0,216.8
314.0,216.8
314.2,217.0
315.0,217.8
315.2,218.0
316.0,218.8
317.0,218.8
318.0,218.8
319.0,218.8
320.0,218.8
321.0,218.8
322.0,218.8
323.0,218.8
324.0,218.8
324.8,218.0
324.8,217.0
324.0,216.2
323.0,216.2
322.8,216.0
322.8,215.0
322.8,214.0
322.0,213.2
321.8,213.0
321.0,212.2
320.8,212.0
320.8,211.0
320.0,210.2
319.8,210.0
320.0,209.8
320.8,209.0
320.8,208.0
320.0,207.2
319.8,207.0
319.0,206.2
318.8,206.0
318.0,205.2
317.0,205.2
316.0,205.2
315.0,205.2
314.8,205.0
315.0,204.8
316.0,204.8
316.8,204.0
316.0,203.2
315.8,203.0
315.8,202.0
315.0,201.2
314.8,201.0
314.8,200.0
314.8,199.0
314.0,198.2
313.0,198.2
312.8,198.0
312.8,197.0
312.0,196.2
311.0,196.2
310.0,196.2
309.0,196.2
308.8,196.0
308.0,195.2
307.8,195.0
307.0,194.2
306.0,194.2
305.0,194.2
304.8,194.0
304.8,193.0
304.0,192.2
303.0,192.2
302.8,192.0
302.0,191.2
301.8,191.0
301.0,190.2
300.0,190.2
299.0,190.2
298.8,190.0
298.0,189.2
297.8,189.0
297.0,188.2
296.0,188.2
295.0,188.2
294.0,188.2
293.0,188.2
292.8,188.0
292.0,187.2
291.0,187.2
290.0,187.2
289.0,187.2
288.2,188.0
288.0,188.2
287.0,188.2
286.0,188.2
285.0,188.2
284.0,188.2
283.0,188.2
282.0,188.2
281.0,188.2
280.0,188.2
279.0,188.2
278.0,188.2
277.0,188.2
276.2,189.0
276.2,190.0
276.0,190.2
275.0,190.2
274.0,190.2
273.0,190.2
272.2,191.0
272.2,192.0
272.0,192.2
271.0,192.2
270.2,193.0
270.2,194.0
270.0,194.2
269.0,194.2
268.2,195.0
268.2,196.0
268.0,196.2
267.0,196.2
266.0,196.2
265.2,197.0
265.0,197.2
264.2,198.0
264.0,198.2
263.2,199.0
263.0,199.2
262.2,200.0
262.0,200.2
261.2,201.0
261.0,201.2
260.2,202.0
260.2,203.0
260.2,204.0
260.2,205.0
260.2,206.0
260.2,207.0
260.2,208.0
260.2,209.0
260.2,210.0
260.2,211.0
260.2,212.0
260.2,213.0
260.2,214.0
260.2,215.0
260.2,216.0
260.2,217.0
260.2,218.0
260.2,219.0
260.2,220.0
260.0,220.2
259.2,221.0
259.0,221.2
258.2,222.0
258.2,223.0
258.2,224.0
258.2,225.0
259.0,225.8
259.2,226.0
260.0,226.8
260.2,227.0
261.0,227.8
261.2,228.0
262.0,228.8
262.2,229.0
263.0,229.8
263.2,230.0
264.0,230.8
265.0,230.8
266.0,230.8
266.2,231.0
266.0,231.2
265.2,232.0
265.0,232.2
264.2,233.0
264.2,234.0
264.2,235.0
264.2,236.0
264.2,237.0
265.0,237.8
265.2,238.0
266.0,238.8
266.2,239.0
266.2,240.0
266.2,241.0
266.2,242.0
266.2,243.0
266.2,244.0
267.0,244.8
268.0,244.8
268.2,245.0
268.2,246.0
269.0,246.8
270.0,246.8
271.0,246.8
272.0,246.8
272.2,247.0
272.2,248.0
273.0,248.8
274.0,248.8
275.0,248.8
276.0,248.8
276.8,248.0
276.8,247.0
277.0,246.8
277.8,246.0
277.8,245.0
278.0,244.8
278.2,245.0
278.2,246.0
278.2,247.0
278.0,247.2
277.2,248.0
278.0,248.8
278.2,249.0
279.0,249.8
279.2,250.0
280.0,250.8
280.2,251.0
281.0,251.8
281.2,252.0
282.0,252.8
283.0,252.8
284.0,252.8
285.0,252.8
286.0,252.8
287.0,252.8
288.0,252.8
289.0,252.8
290.0,252.8
291.0,252.8
292.0,252.8
293.0,252.8
294.0,252.8
295.0,252.8
296.0,252.8
297.0,252.8
298.0,252.8
299.0,252.8
299.8,252.0
299.0,251.2
298.8,251.0
298.8,250.0
299.0,249.8
299.2,250.0
300.0,250.8
300.2,251.0
301.0,251.8
301.2,252.0
302.0,252.8
303.0,252.8
303.8,252.0
