x,y
647.8,409.0
647.8,408.0
647.8,407.0
647.8,406.0
647.8,405.0
647.8,404.0
647.8,403.0
647.8,402.0
647.8,401.0
648.0,400.8
649.0,400.8
650.0,400.8
651.0,400.8
652.0,400.8
653.0,400.8
653.8,400.0
654.0,399.8
655.0,399.8
655.8,399.0
656.0,398.8
657.0,398.8
657.8,398.0
658.0,397.8
658.8,397.0
659.0,396.8
659.8,396.0
659.8,395.0
660.0,394.8
660.8,394.0
661.0,393.8
661.8,393.0
662.0,392.8
662.8,392.0
663.0,391.8
663.8,391.0
664.0,390.8
664.8,390.0
664.8,389.0
665.0,388.8
665.8,388.0
665.8,387.0
666.0,386.8
666.8,386.0
667.0,385.8
667.8,385.0
667.8,384.0
668.0,383.8
668.8,383.0
668.8,382.0
669.0,381.8
669.8,381.0
669.8,380.0
670.0,379.8
670.8,379.0
670.8,378.0
670.8,377.0
670.8,376.0
670.8,375.0
670.8,374.0
670.8,373.0
670.8,372.0
670.8,371.0
670.8,370.0
670.8,369.0
670.8,368.0
670.8,367.0
670.8,366.0
670.8,365.0
670.8,364.0
670.8,363.0
670.8,362.0
670.8,361.0
670.8,360.0
670.8,359.0
670.8,358.0
670.8,357.0
670.8,356.0
670.8,355.0
670.8,354.0
670.8,353.0
670.8,352.0
670.8,351.0
670.8,350.0
670.0,349.2
669.8,349.0
669.8,348.0
669.0,347.2
668.8,347.0
668.8,346.0
668.0,345.2
667.8,345.0
667.8,344.0
667.8,343.0
667.8,342.0
667.0,341.2
666.8,341.0
666.0,340.2
665.8,340.0
665.0,339.2
664.8,339.0
664.0,338.2
663.8,338.0
663.0,337.2
662.8,337.0
662.0,336.2
661.8,336.0
661.0,335.2
660.8,335.0
660.0,334.2
659.8,334.0
659.0,333.2
658.8,333.0
658.0,332.2
657.8,332.0
657.0,331.2
656.0,331.2
655.8,331.0
655.0,330.2
654.0,330.2
653.0,330.2
652.8,330.0
652.0,329.2
651.8,329.0
651.0,328.2
650.8,328.0
650.0,327.2
649.8,327.0
649.0,326.2
648.8,326.0
648.0,325.2
647.0,325.2
646.0,325.2
645.0,325.2
644.0,325.2
643.8,325.0
643.0,324.2
642.0,324.2
641.8,324.0
641.0,323.2
640.8,323.0
640.0,322.2
639.0,322.2
638.8,322.0
638.0,321.2
637.0,321.2
636.0,321.2
635.8,321.0
635.0,320.2
634.0,320.2
633.8,320.0
633.0,319.2
632.8,319.0
632.0,318.2
631.0,318.2
630.0,318.2
629.0,318.2
628.0,318.2
627.0,318.2
626.0,318.2
625.8,318.0
625.8,317.0
625.0,316.2
624.0,316.2
623.8,316.0
623.0,315.2
622.8,315.0
622.8,314.0
622.0,313.2
621.0,313.2
620.0,313.2
619.0,313.2
618.8,313.0
618.8,312.0
618.0,311.2
617.0,311.2
616.8,311.0
616.0,310.2
615.8,310.0
615.0,309.2
614.8,309.0
614.0,308.2
613.8,308.0
613.0,307.2
612.8,307.0
612.0,306.2
611.8,306.0
611.0,305.2
610.8,305.0
610.0,304.2
609.8,304.0
609.0,303.2
608.8,303.0
608.0,302.2
607.8,302.0
607.8,301.0
607.0,300.2
606.0,300.2
605.8,300.0
605.8,299.0
605.8,298.0
605.8,297.0
605.8,296.0
605.8,295.0
605.0,294.2
604.8,294.0
604.0,293.2
603.2,294.0
603.0,294.2
602.2,295.0
602.0,295.2
601.0,295.2
600.8,295.0
600.0,294.2
599.0,294.2
598.2,295.0
598.0,295.2
597.0,295.2
596.2,296.0
596.0,296.2
595.2,297.0
595.2,298.0
595.0,298.2
594.2,299.0
594.0,299.2
593.2,300.0
593.2,301.0
