x,y
123.8,362.0
124.0,361.8
125.0,361.8
126.0,361.8
127.0,361.8
128.0,361.8
128.8,361.0
129.0,360.8
130.0,360.8
131.0,360.8
132.0,360.8
133.0,360.8
134.0,360.8
135.0,360.8
136.0,360.8
137.0,360.8
138.0,360.8
139.0,360.8
140.0,360.8
140.8,360.0
141.0,359.8
142.0,359.8
143.0,359.8
144.0,359.8
145.0,359.8
145.8,359.0
146.0,358.8
147.0,358.8
148.0,358.8
149.0,358.8
149.8,358.0
150.0,357.8
151.0,357.8
152.0,357.8
152.8,357.0
153.0,356.8
153.8,356.0
154.0,355.8
155.0,355.8
155.8,355.0
156.0,354.8
157.0,354.8
157.8,354.0
158.0,353.8
159.0,353.8
160.0,353.8
160.8,353.0
161.0,352.8
162.0,352.8
163.0,352.8
164.0,352.8
164.8,352.0
165.0,351.8
166.0,351.8
166.8,351.0
167.0,350.8
167.8,350.0
168.0,349.8
168.8,349.0
169.0,348.8
170.0,348.8
170.8,348.0
171.0,347.8
171.8,347.0
172.0,346.8
172.8,346.0
173.0,345.8
173.8,345.0
174.0,344.8
174.8,344.0
175.0,343.8
175.8,343.0
176.0,342.8
176.8,342.0
177.0,341.8
177.8,341.0
178.0,340.8
178.8,340.0
178.8,339.0
179.0,338.8
179.8,338.0
180.0,337.8
180.8,337.0
181.0,336.8
181.8,336.0
182.0,335.8
182.8,335.0
183.0,334.8
183.8,334.0
184.0,333.8
184.8,333.0
185.0,332.8
185.8,332.0
186.0,331.8
186.8,331.0
186.8,330.0
187.0,329.8
187.8,329.0
188.0,328.8
188.8,328.0
189.0,327.8
189.8,327.0
189.8,326.0
190.0,325.8
190.8,325.0
190.8,324.0
191.0,323.8
191.8,323.0
191.8,322.0
192.0,321.8
192.8,321.0
192.8,320.0
193.0,319.8
193.8,319.0
193.8,318.0
194.0,317.8
194.8,317.0
195.0,316.8
195.8,316.0
196.0,315.8
196.8,315.0
196.8,314.0
197.0,313.8
197.8,313.0
198.0,312.8
198.8,312.0
198.8,311.0
199.0,310.8
199.8,310.0
200.0,309.8
200.8,309.0
200.8,308.0
200.8,307.0
201.0,306.8
201.8,306.0
202.0,305.8
202.8,305.0
203.0,304.8
203.8,304.0
203.8,303.0
204.0,302.8
204.8,302.0
205.0,301.8
205.8,301.0
206.0,300.8
206.8,300.0
206.8,299.0
207.0,298.8
207.8,298.0
208.0,297.8
208.8,297.0
209.0,296.8
209.8,296.0
209.8,295.0
210.0,294.8
210.8,294.0
210.8,293.0
211.0,292.8
211.8,292.0
211.8,291.0
211.8,290.0
212.0,289.8
212.8,289.0
213.0,288.8
213.8,288.0
213.8,287.0
213.8,286.0
214.0,285.8
214.8,285.0
215.0,284.8
215.8,284.0
215.8,283.0
216.0,282.8
216.8,282.0
216.8,281.0
217.0,280.8
217.8,280.0
217.8,279.0
217.8,278.0
218.0,277.8
218.8,277.0
218.8,276.0
219.0,275.8
219.8,275.0
219.8,274.0
219.8,273.0
219.8,272.0
220.0,271.8
220.8,271.0
220.8,270.0
221.0,269.8
221.8,269.0
221.8,268.0
222.0,267.8
222.8,267.0
222.8,266.0
222.8,265.0
223.0,264.8
223.8,264.0
223.8,263.0
223.8,262.0
224.0,261.8
224.8,261.0
224.8,260.0
224.8,259.0
224.8,258.0
224.8,257.0
224.8,256.0
224.8,255.0
225.0,254.8
225.8,254.0
226.0,253.8
226.8,253.0
226.8,252.0
226.8,251.0
227.0,250.8
227.8,250.0
227.8,249.0
227.8,248.0
228.0,247.8
228.8,247.0
228.8,246.0
228.8,245.0
229.0,244.8
229.8,244.0
229.8,243.0
229.8,242.0
230.0,241.8
230.8,241.0
230.8,240.0
230.8,239.0
231.0,238.8
231.8,238.0
231.8,237.0
231.8,236.0
232.0,235.8
232.8,235.0
232.8,234.0
232.8,233.0
233.0,232.8
233.8,232.0
233.8,231.0
233.8,230.0
234.0,229.8
234.8,229.0
234.8,228.0
234.8,227.0
234.8,226.0
234.8,225.0
235.0,224.8
235.8,224.0
235.8,223.0
235.8,222.0
236.0,221.8
236.8,221.0
236.8,220.0
236.8,219.0
236.0,218.2
235.8,218.0
235.0,217.2
234.0,217.2
233.2,218.0
233.2,219.0
233.0,219.2
232.2,220.0
232.2,221.0
232.0,221.2
231.2,222.0
231.0,222.2
230.2,223.0
230.2,224.0
230.0,224.2
229.2,225.0
229.0,225.2
228.2,226.0
228.0,226.2
227.2,227.0
227.0,227.2
226.2,228.0
226.0,228.2
225.2,229.0
225.0,229.2
224.2,230.0
224.2,231.0
224.0,231.2
223.2,232.0
223.2,233.0
223.0,233.2
222.2,234.0
222.0,234.2
221.2,235.0
221.0,235.2
220.2,236.0
220.0,236.2
219.2,237.0
219.0,237.2
218.0,237.2
217.2,238.0
217.2,239.0
217.2,240.0
217.2,241.0
217.2,242.0
217.0,242.2
216.2,243.0
216.0,243.2
215.2,244.0
215.0,244.2
214.2,245.0
214.2,246.0
214.0,246.2
213.2,247.0
213.2,248.0
213.0,248.2
212.2,249.0
212.0,249.2
211.2,250.0
211.0,250.2
210.2,251.0
210.2,252.0
210.0,252.2
209.2,253.0
209.0,253.2
208.0,253.2
207.2,254.0
207.0,254.2
206.2,255.0
206.0,255.2
205.2,256.0
205.0,256.2
204.0,256.2
203.2,257.0
203.0,257.2
202.2,258.0
202.0,258.2
201.0,258.2
200.2,259.0
200.0,259.2
199.2,260.0
199.0,260.2
198.2,261.0
198.0,261.2
197.2,262.0
197.0,262.2
196.2,263.0
196.0,263.2
195.2,264.0
195.0,264.2
194.2,265.0
194.0,265.2
193.2,266.0
193.0,266.2
192.2,267.0
192.2,268.0
192.0,268.2
191.2,269.0
191.0,269.2
190.2,270.0
190.0,270.2
189.2,271.0
189.2,272.0
189.0,272.2
188.2,273.0
188.0,273.2
187.2,274.0
187.0,274.2
186.2,275.0
186.0,275.2
185.2,276.0
185.0,276.2
184.2,277.0
184.2,278.0
184.0,278.2
183.0,278.2
182.2,279.0
182.0,279.2
181.2,280.0
181.2,281.0
181.2,282.0
181.0,282.2
180.2,283.0
180.2,284.0
180.0,284.2
179.2,285.0
179.2,286.0
179.0,286.2
178.2,287.0
178.0,287.2
177.2,288.0
177.0,288.2
176.2,289.0
176.2,290.0
176.0,290.2
175.2,291.0
175.2,292.0
175.0,292.2
174.2,293.0
174.0,293.2
173.2,294.0
173.0,294.2
172.2,295.0
172.0,295.2
171.2,296.0
171.0,296.2
170.2,297.0
170.2,298.0
170.0,298.2
169.2,299.0
169.0,299.2
168.0,299.2
167.2,300.0
167.0,300.2
166.2,301.0
166.2,302.0
166.0,302.2
165.2,303.0
165.0,303.2
164.2,304.0
164.2,305.0
164.0,305.2
163.2,306.0
163.0,306.2
162.2,307.0
162.0,307.2
161.2,308.0
161.2,309.0
161.0,309.2
160.2,310.0
160.0,310.2
159.2,311.0
159.2,312.0
159.0,312.2
158.2,313.0
158.0,313.2
157.2,314.0
157.2,315.0
157.0,315.2
156.2,316.0
156.0,316.2
155.2,317.0
155.0,317.2
154.2,318.0
154.0,318.2
153.2,319.0
153.2,320.0
153.0,320.2
152.2,321.0
152.0,321.2
151.2,322.0
151.2,323.0
151.0,323.2
150.2,324.0
150.0,324.2
149.2,325.0
149.0,325.2
148.2,326.0
148.2,327.0
148.0,327.2
147.2,328.0
147.0,328.2
146.2,329.0
146.0,329.2
145.2,330.0
145.0,330.2
144.2,331.0
144.0,331.2
143.2,332.0
143.2,333.0
143.0,333.2
142.2,334.0
142.0,334.2
141.2,335.0
141.2,336.0
141.0,336.2
140.2,337.0
140.0,337.2
139.2,338.0
139.0,338.2
138.2,339.0
138.0,339.2
137.2,340.0
137.0,340.2
136.2,341.0
136.2,342.0
136.0,342.2
135.2,343.0
135.0,343.2
134.2,344.0
134.0,344.2
133.2,345.0
133.0,345.2
132.2,346.0
132.0,346.2
131.2,347.0
131.2,348.0
131.0,348.2
130.2,349.0
130.0,349.2
129.2,350.0
129.0,350.2
128.2,351.0
128.0,351.2
127.2,352.0
127.2,353.0
127.0,353.2
126.2,354.0
126.0,354.2
125.2,355.0
125.0,355.2
124.2,356.0
124.0,356.2
123.0,356.2
122.0,356.2
121.2,357.0
121.0,357.2
120.0,357.2
119.0,357.2
118.2,358.0
118.0,358.2
117.0,358.2
116.0,358.2
115.0,358.2
114.0,358.2
113.0,358.2
112.0,358.2
111.0,358.2
110.0,358.2
109.0,358.2
108.0,358.2
107.0,358.2
106.0,358.2
105.8,358.0
105.0,357.2
104.0,357.2
103.8,357.0
103.0,356.2
102.0,356.2
101.8,356.0
101.0,355.2
100.2,356.0
100.2,357.0
101.0,357.8
101.2,358.0
102.0,358.8
102.2,359.0
103.0,359.8
103.2,360.0
104.0,360.8
105.0,360.8
105.2,361.0
106.0,361.8
106.2,362.0
107.0,362.8
108.0,362.8
109.0,362.8
110.0,362.8
111.0,362.8
112.0,362.8
113.0,362.8
114.0,362.8
115.0,362.8
116.0,362.8
117.0,362.8
118.0,362.8
119.0,362.8
120.0,362.8
121.0,362.8
122.0,362.8
123.0,362.8
123.8,362.0
