x,y
678.8,597.0
679.0,596.8
679.8,596.0
679.8,595.0
679.8,594.0
680.0,593.8
680.8,593.0
681.0,592.8
681.8,592.0
681.8,591.0
681.8,590.0
681.8,589.0
681.8,588.0
681.8,587.0
681.8,586.0
681.8,585.0
682.0,584.8
682.8,584.0
682.8,583.0
682.8,582.0
682.8,581.0
682.8,580.0
683.0,579.8
683.2,580.0
684.0,580.8
684.2,581.0
684.2,582.0
684.2,583.0
684.2,584.0
684.2,585.0
684.2,586.0
684.2,587.0
684.2,588.0
684.2,589.0
684.2,590.0
684.2,591.0
685.0,591.8
685.2,592.0
685.2,593.0
685.2,594.0
686.0,594.8
686.2,595.0
687.0,595.8
687.2,596.0
688.0,596.8
689.0,596.8
689.8,596.0
690.0,595.8
690.8,595.0
691.0,594.8
691.8,594.0
692.0,593.8
692.8,593.0
693.0,592.8
693.2,593.0
694.0,593.8
695.0,593.8
696.0,593.8
697.0,593.8
698.0,593.8
699.0,593.8
699.8,593.0
699.8,592.0
700.0,591.8
700.8,591.0
700.8,590.0
700.8,589.0
701.0,588.8
701.2,589.0
702.0,589.8
703.0,589.8
703.2,590.0
704.0,590.8
705.0,590.8
706.0,590.8
707.0,590.8
708.0,590.8
709.0,590.8
709.8,590.0
709.8,589.0
709.8,588.0
709.8,587.0
709.0,586.2
708.8,586.0
708.8,585.0
708.8,584.0
708.8,583.0
709.0,582.8
710.0,582.8
711.0,582.8
711.2,583.0
712.0,583.8
713.0,583.8
713.8,583.0
714.0,582.8
714.8,582.0
714.8,581.0
714.8,580.0
714.8,579.0
714.8,578.0
714.8,577.0
715.0,576.8
716.0,576.8
717.0,576.8
718.0,576.8
719.0,576.8
720.0,576.8
720.8,576.0
721.0,575.8
721.8,575.0
721.8,574.0
721.0,573.2
720.8,573.0
720.8,572.0
720.0,571.2
719.8,571.0
719.8,570.0
720.0,569.8
720.8,569.0
721.0,568.8
721.8,568.0
721.8,567.0
721.8,566.0
722.0,565.8
722.8,565.0
722.8,564.0
722.8,563.0
722.8,562.0
722.8,561.0
722.0,560.2
721.0,560.2
720.0,560.2
719.0,560.2
718.0,560.2
717.0,560.2
716.2,561.0
716.0,561.2
715.0,561.2
714.0,561.2
713.0,561.2
712.0,561.2
711.8,561.0
711.0,560.2
710.0,560.2
709.0,560.2
708.8,560.0
708.0,559.2
707.0,559.2
706.8,559.0
706.0,558.2
705.0,558.2
704.0,558.2
703.0,558.2
702.8,558.0
702.0,557.2
701.8,557.0
701.0,556.2
700.0,556.2
699.8,556.0
699.8,555.0
700.0,554.8
701.0,554.8
701.8,554.0
702.0,553.8
702.8,553.0
703.0,552.8
703.8,552.0
704.0,551.8
705.0,551.8
705.8,551.0
706.0,550.8
706.8,550.0
707.0,549.8
708.0,549.8
708.8,549.0
709.0,548.8
709.8,548.0
710.0,547.8
711.0,547.8
711.8,547.0
712.0,546.8
713.0,546.8
713.8,546.0
714.0,545.8
715.0,545.8
715.8,545.0
716.0,544.8
716.8,544.0
717.0,543.8
717.8,543.0
718.0,542.8
718.8,542.0
719.0,541.8
720.0,541.8
720.8,541.0
721.0,540.8
721.8,540.0
722.0,539.8
722.8,539.0
723.0,538.8
724.0,538.8
724.8,538.0
725.0,537.8
725.8,537.0
726.0,536.8
727.0,536.8
727.8,536.0
728.0,535.8
728.8,535.0
729.0,534.8
730.0,534.8
730.8,534.0
731.0,533.8
731.8,533.0
732.0,532.8
733.0,532.8
733.8,532.0
734.0,531.8
734.8,531.0
735.0,530.8
736.0,530.8
736.8,530.0
737.0,529.8
738.0,529.8
738.8,529.0
739.0,528.8
740.0,528.8
740.8,528.0
741.0,527.8
742.0,527.8
743.0,527.8
744.0,527.8
744.8,527.0
745.0,526.8
746.0,526.8
747.0,526.8
748.0,526.8
748.8,526.0
749.0,525.8
750.0,525.8
751.0,525.8
752.0,525.8
752.8,525.0
753.0,524.8
754.0,524.8
755.0,524.8
755.8,524.0
756.0,523.8
756.8,523.0
757.0,522.8
757.8,522.0
758.0,521.8
758.8,521.0
758.8,520.0
759.0,519.8
759.8,519.0
759.8,518.0
759.8,517.0
759.8,516.0
759.8,515.0
759.0,514.2
758.8,514.0
758.8,513.0
758.0,512.2
757.8,512.0
757.0,511.2
756.8,511.0
756.0,510.2
755.8,510.0
755.0,509.2
754.8,509.0
754.0,508.2
753.0,508.2
752.8,508.0
752.0,507.2
751.0,507.2
750.8,507.0
750.8,506.0
751.0,505.8
751.8,505.0
751.8,504.0
751.8,503.0
751.8,502.0
751.8,501.0
751.8,500.0
751.8,499.0
751.8,498.0
751.0,497.2
750.8,497.0
750.0,496.2
749.8,496.0
749.0,495.2
748.8,495.0
748.0,494.2
747.0,494.2
746.8,494.0
746.0,493.2
745.0,493.2
744.8,493.0
744.0,492.2
743.0,492.2
742.0,492.2
741.0,492.2
740.0,492.2
739.0,492.2
738.2,493.0
738.0,493.2
737.0,493.2
736.0,493.2
735.2,494.0
735.0,494.2
734.2,495.0
734.0,495.2
733.2,496.0
733.0,496.2
732.2,497.0
732.0,497.2
731.0,497.2
730.2,498.0
730.0,498.2
729.2,499.0
729.0,499.2
728.0,499.2
727.0,499.2
726.0,499.2
725.0,499.2
724.2,500.0
724.0,500.2
723.0,500.2
722.0,500.2
721.0,500.2
720.0,500.2
719.2,501.0
719.0,501.2
718.0,501.2
