x,y
631.8,707.0
632.0,706.8
633.0,706.8
634.0,706.8
635.0,706.8
635.8,706.0
636.0,705.8
637.0,705.8
638.0,705.8
639.0,705.8
640.0,705.8
640.8,705.0
641.0,704.8
642.0,704.8
643.0,704.8
644.0,704.8
644.8,704.0
645.0,703.8
646.0,703.8
647.0,703.8
647.8,703.0
648.0,702.8
649.0,702.8
649.8,702.0
650.0,701.8
651.0,701.8
651.2,702.0
652.0,702.8
653.0,702.8
654.0,702.8
655.0,702.8
655.2,703.0
656.0,703.8
657.0,703.8
658.0,703.8
659.0,703.8
660.0,703.8
661.0,703.8
661.8,703.0
662.0,702.8
663.0,702.8
663.8,702.0
664.0,701.8
664.8,701.0
665.0,700.8
666.0,700.8
667.0,700.8
668.0,700.8
669.0,700.8
670.0,700.8
670.2,701.0
671.0,701.8
672.0,701.8
673.0,701.8
674.0,701.8
675.0,701.8
676.0,701.8
677.0,701.8
677.8,701.0
678.0,700.8
679.0,700.8
680.0,700.8
680.8,700.0
681.0,699.8
682.0,699.8
682.8,699.0
683.0,698.8
684.0,698.8
684.8,698.0
685.0,697.8
686.0,697.8
686.8,697.0
687.0,696.8
688.0,696.8
688.8,696.0
689.0,695.8
689.8,695.0
690.0,694.8
691.0,694.8
691.8,694.0
692.0,693.8
692.8,693.0
693.0,692.8
694.0,692.8
694.8,692.0
695.0,691.8
696.0,691.8
696.8,691.0
697.0,690.8
697.8,690.0
698.0,689.8
698.8,689.0
699.0,688.8
700.0,688.8
700.8,688.0
701.0,687.8
701.8,687.0
702.0,686.8
703.0,686.8
704.0,686.8
705.0,686.8
706.0,686.8
707.0,686.8
708.0,686.8
708.8,686.0
709.0,685.8
710.0,685.8
710.8,685.0
711.0,684.8
711.8,684.0
712.0,683.8
712.8,683.0
713.0,682.8
714.0,682.8
715.0,682.8
716.0,682.8
717.0,682.8
717.8,682.0
718.0,681.8
719.0,681.8
720.0,681.8
720.8,681.0
721.0,680.8
722.0,680.8
722.8,680.0
723.0,679.8
723.8,679.0
724.0,678.8
725.0,678.8
725.8,678.0
726.0,677.8
727.0,677.8
727.8,677.0
728.0,676.8
729.0,676.8
729.8,676.0
730.0,675.8
730.8,675.0
731.0,674.8
732.0,674.8
732.8,674.0
733.0,673.8
734.0,673.8
734.8,673.0
735.0,672.8
736.0,672.8
737.0,672.8
737.8,672.0
738.0,671.8
739.0,671.8
740.0,671.8
740.8,671.0
741.0,670.8
742.0,670.8
743.0,670.8
743.8,670.0
744.0,669.8
744.8,669.0
745.0,668.8
746.0,668.8
746.8,668.0
747.0,667.8
747.8,667.0
748.0,666.8
748.8,666.0
749.0,665.8
749.8,665.0
750.0,664.8
750.8,664.0
750.8,663.0
750.8,662.0
750.0,661.2
749.8,661.0
750.0,660.8
750.8,660.0
751.0,659.8
752.0,659.8
752.8,659.0
753.0,658.8
754.0,658.8
754.8,658.0
755.0,657.8
755.8,657.0
756.0,656.8
757.0,656.8
757.8,656.0
758.0,655.8
759.0,655.8
759.8,655.0
760.0,654.8
760.8,654.0
761.0,653.8
762.0,653.8
762.8,653.0
763.0,652.8
764.0,652.8
764.8,652.0
765.0,651.8
765.8,651.0
766.0,650.8
766.8,650.0
767.0,649.8
768.0,649.8
768.8,649.0
769.0,648.8
769.8,648.0
770.0,647.8
771.0,647.8
772.0,647.8
773.0,647.8
773.8,647.0
774.0,646.8
775.0,646.8
775.8,646.0
776.0,645.8
777.0,645.8
777.8,645.0
778.0,644.8
778.8,644.0
779.0,643.8
779.8,643.0
780.0,642.8
781.0,642.8
781.8,642.0
782.0,641.8
782.8,641.0
782.8,640.0
783.0,639.8
783.8,639.0
783.8,638.0
783.8,637.0
784.0,636.8
784.8,636.0
785.0,635.8
785.8,635.0
786.0,634.8
786.8,634.0
787.0,633.8
787.8,633.0
788.0,632.8
788.8,632.0
788.8,631.0
788.8,630.0
788.8,629.0
789.0,628.8
789.8,628.0
789.8,627.0
789.8,626.0
789.0,625.2
788.0,625.2
787.0,625.2
786.0,625.2
785.2,626.0
785.0,626.2
784.2,627.0
784.0,627.2
783.0,627.2
782.2,628.0
782.0,628.2
781.2,629.0
781.0,629.2
780.0,629.2
