x,y
631.8,703.0
631.8,702.0
631.8,701.0
632.0,700.8
633.0,700.8
634.0,700.8
635.0,700.8
636.0,700.8
637.0,700.8
638.0,700.8
639.0,700.8
640.0,700.8
641.0,700.8
642.0,700.8
642.2,701.0
643.0,701.8
643.8,701.0
643.8,700.0
644.0,699.8
644.8,699.0
645.0,698.8
646.0,698.8
646.8,698.0
647.0,697.8
648.0,697.8
649.0,697.8
650.0,697.8
651.0,697.8
651.2,698.0
652.0,698.8
653.0,698.8
653.2,699.0
654.0,699.8
654.2,700.0
655.0,700.8
655.8,700.0
655.8,699.0
655.8,698.0
655.8,697.0
655.8,696.0
655.8,695.0
655.0,694.2
654.2,695.0
654.0,695.2
653.0,695.2
652.8,695.0
653.0,694.8
653.8,694.0
653.8,693.0
653.8,692.0
654.0,691.8
654.2,692.0
655.0,692.8
655.8,692.0
655.8,691.0
656.0,690.8
656.8,690.0
657.0,689.8
657.8,689.0
658.0,688.8
659.0,688.8
659.8,688.0
660.0,687.8
660.8,687.0
660.8,686.0
660.8,685.0
661.0,684.8
662.0,684.8
662.8,684.0
663.0,683.8
663.8,683.0
663.8,682.0
663.8,681.0
663.8,680.0
664.0,679.8
664.8,679.0
665.0,678.8
665.8,678.0
665.0,677.2
664.8,677.0
665.0,676.8
666.0,676.8
667.0,676.8
667.8,676.0
667.8,675.0
667.8,674.0
667.8,673.0
667.8,672.0
667.8,671.0
667.8,670.0
667.8,669.0
667.8,668.0
668.0,667.8
668.8,667.0
669.0,666.8
669.8,666.0
669.8,665.0
669.8,664.0
669.8,663.0
669.8,662.0
669.0,661.2
668.8,661.0
668.8,660.0
668.8,659.0
668.8,658.0
668.8,657.0
668.8,656.0
668.8,655.0
668.8,654.0
668.8,653.0
668.8,652.0
668.8,651.0
668.8,650.0
669.0,649.8
669.8,649.0
669.8,648.0
669.0,647.2
668.8,647.0
668.8,646.0
668.0,645.2
667.8,645.0
667.8,644.0
667.8,643.0
667.8,642.0
667.8,641.0
667.8,640.0
667.8,639.0
667.8,638.0
667.0,637.2
666.0,637.2
665.8,637.0
665.8,636.0
666.0,635.8
666.2,636.0
667.0,636.8
667.8,636.0
667.0,635.2
666.8,635.0
666.8,634.0
666.8,633.0
667.0,632.8
667.8,632.0
667.8,631.0
667.8,630.0
667.8,629.0
667.8,628.0
667.8,627.0
667.0,626.2
666.2,627.0
666.2,628.0
666.2,629.0
666.0,629.2
665.2,630.0
665.0,630.2
664.8,630.0
664.0,629.2
663.8,629.0
663.8,628.0
663.0,627.2
662.8,627.0
662.8,626.0
662.8,625.0
662.0,624.2
661.8,624.0
661.8,623.0
661.8,622.0
661.8,621.0
661.0,620.2
660.8,620.0
660.0,619.2
659.2,620.0
659.0,620.2
658.0,620.2
657.8,620.0
657.8,619.0
657.8,618.0
657.0,617.2
656.8,617.0
656.8,616.0
656.0,615.2
655.8,615.0
655.8,614.0
655.0,613.2
654.0,613.2
653.8,613.0
654.0,612.8
654.8,612.0
655.0,611.8
655.8,611.0
655.8,610.0
655.8,609.0
655.8,608.0
655.0,607.2
654.0,607.2
653.2,608.0
653.2,609.0
653.2,610.0
653.0,610.2
652.8,610.0
652.0,609.2
651.8,609.0
651.0,608.2
650.8,608.0
650.0,607.2
649.8,607.0
649.8,606.0
649.8,605.0
649.0,604.2
648.0,604.2
647.8,604.0
647.8,603.0
647.8,602.0
647.0,601.2
646.8,601.0
646.0,600.2
645.8,600.0
645.0,599.2
644.8,599.0
644.0,598.2
643.8,598.0
643.0,597.2
642.2,598.0
642.0,598.2
641.8,598.0
641.8,597.0
642.0,596.8
642.8,596.0
643.0,595.8
643.8,595.0
643.0,594.2
642.8,594.0
642.0,593.2
641.8,593.0
641.0,592.2
640.8,592.0
640.8,591.0
640.0,590.2
639.2,591.0
639.0,591.2
638.0,591.2
637.8,591.0
637.8,590.0
637.0,589.2
636.8,589.0
637.0,588.8
638.0,588.8
638.8,588.0
638.8,587.0
638.8,586.0
638.8,585.0
638.0,584.2
637.0,584.2
636.0,584.2
635.0,584.2
634.0,584.2
633.0,584.2
632.8,584.0
632.0,583.2
631.8,583.0
631.8,582.0
631.8,581.0
632.0,580.8
632.8,580.0
632.8,579.0
632.0,578.2
631.8,578.0
631.8,577.0
631.8,576.0
631.8,575.0
631.0,574.2
630.2,575.0
630.2,576.0
630.0,576.2
629.2,577.0
629.2,578.0
629.0,578.2
628.8,578.0
628.0,577.2
627.8,577.0
627.0,576.2
626.8,576.0
626.0,575.2
625.8,575.0
626.0,574.8
626.8,574.0
626.0,573.2
625.8,573.0
625.8,572.0
625.0,571.2
624.8,571.0
624.8,570.0
624.0,569.2
623.8,569.0
623.0,568.2
622.8,568.0
622.0,567.2
621.8,567.0
621.0,566.2
620.8,566.0
620.8,565.0
620.0,564.2
619.8,564.0
619.8,563.0
620.0,562.8
620.8,562.0
620.8,561.0
620.0,560.2
619.0,560.2
618.0,560.2
617.8,560.0
618.0,559.8
618.8,559.0
618.8,558.0
