x,y
1219.8,968.0
1220.0,967.8
1221.0,967.8
1221.8,967.0
1221.8,966.0
1222.0,965.8
1223.0,965.8
1224.0,965.8
1224.8,965.0
1225.0,964.8
1225.8,964.0
1226.0,963.8
1226.8,963.0
1227.0,962.8
1227.8,962.0
1228.0,961.8
1228.8,961.0
1229.0,960.8
1229.8,960.0
1230.0,959.8
1231.0,959.8
1232.0,959.8
1232.8,959.0
1233.0,958.8
1233.8,958.0
1234.0,957.8
1234.8,957.0
1235.0,956.8
1235.8,956.0
1236.0,955.8
1236.8,955.0
1237.0,954.8
1237.8,954.0
1238.0,953.8
1238.8,953.0
1239.0,952.8
1239.8,952.0
1240.0,951.8
1240.8,951.0
1240.8,950.0
1240.8,949.0
1241.0,948.8
1242.0,948.8
1242.8,948.0
1242.8,947.0
1242.8,946.0
1242.8,945.0
1242.0,944.2
1241.8,944.0
1241.0,943.2
1240.8,943.0
1241.0,942.8
1242.0,942.8
1243.0,942.8
1244.0,942.8
1245.0,942.8
1246.0,942.8
1246.8,942.0
1246.8,941.0
1247.0,940.8
1248.0,940.8
1249.0,940.8
1249.8,940.0
1250.0,939.8
1250.8,939.0
1251.0,938.8
1251.8,938.0
1252.0,937.8
1252.8,937.0
1253.0,936.8
1253.8,936.0
1254.0,935.8
1254.8,935.0
1255.0,934.8
1255.8,934.0
1256.0,933.8
1256.8,933.0
1257.0,932.8
1257.8,932.0
1258.0,931.8
1258.8,931.0
1259.0,930.8
1259.8,930.0
1260.0,929.8
1261.0,929.8
1261.8,929.0
1261.8,928.0
1262.0,927.8
1262.8,927.0
1263.0,926.8
1263.8,926.0
1264.0,925.8
1264.8,925.0
1265.0,924.8
1265.8,924.0
1266.0,923.8
1266.8,923.0
1267.0,922.8
1267.8,922.0
1267.8,921.0
1267.8,920.0
1268.0,919.8
1269.0,919.8
1269.8,919.0
1269.8,918.0
1270.0,917.8
1271.0,917.8
1271.8,917.0
1271.8,916.0
1272.0,915.8
1273.0,915.8
1273.8,915.0
1273.8,914.0
1273.8,913.0
1274.0,912.8
1274.8,912.0
1275.0,911.8
1275.8,911.0
1276.0,910.8
1277.0,910.8
1278.0,910.8
1279.0,910.8
1280.0,910.8
1281.0,910.8
1282.0,910.8
1283.0,910.8
1283.2,911.0
1284.0,911.8
1284.2,912.0
1285.0,912.8
1285.2,913.0
1286.0,913.8
1287.0,913.8
1287.2,914.0
1288.0,914.8
1289.0,914.8
1289.2,915.0
1290.0,915.8
1291.0,915.8
1291.2,916.0
1292.0,916.8
1293.0,916.8
1293.2,917.0
1294.0,917.8
1295.0,917.8
1295.2,918.0
1296.0,918.8
1296.2,919.0
1297.0,919.8
1297.2,920.0
1298.0,920.8
1298.2,921.0
1299.0,921.8
1299.2,922.0
1299.2,923.0
1300.0,923.8
1301.0,923.8
1301.2,924.0
1301.2,925.0
1302.0,925.8
1303.0,925.8
1303.2,926.0
1303.2,927.0
1304.0,927.8
1305.0,927.8
1305.2,928.0
1305.2,929.0
1306.0,929.8
1306.2,930.0
1307.0,930.8
1307.2,931.0
1308.0,931.8
1308.2,932.0
1309.0,932.8
1309.2,933.0
1310.0,933.8
1310.2,934.0
1311.0,934.8
1312.0,934.8
1312.2,935.0
1312.2,936.0
1313.0,936.8
1314.0,936.8
1315.0,936.8
1316.0,936.8
1317.0,936.8
1318.0,936.8
1319.0,936.8
1320.0,936.8
1320.8,936.0
1320.8,935.0
1320.8,934.0
1320.8,933.0
1320.8,932.0
1321.0,931.8
1322.0,931.8
1323.0,931.8
1324.0,931.8
1325.0,931.8
1326.0,931.8
1327.0,931.8
1328.0,931.8
1329.0,931.8
1330.0,931.8
1331.0,931.8
1332.0,931.8
1333.0,931.8
1333.8,931.0
1334.0,930.8
1334.8,930.0
1334.8,929.0
1334.8,928.0
1334.8,927.0
1334.8,926.0
1334.8,925.0
1334.8,924.0
1334.0,923.2
1333.8,923.0
1334.0,922.8
1334.8,922.0
1335.0,921.8
1336.0,921.8
1337.0,921.8
1338.0,921.8
1339.0,921.8
1340.0,921.8
1341.0,921.8
1341.8,921.0
1341.8,920.0
1342.0,919.8
1343.0,919.8
1343.8,919.0
1343.8,918.0
1343.8,917.0
1343.8,916.0
1343.8,915.0
1343.8,914.0
1343.8,913.0
1343.0,912.2
1342.8,912.0
1342.0,911.2
1341.8,911.0
1342.0,910.8
1342.8,910.0
1343.0,909.8
1343.8,909.0
1343.8,908.0
1343.8,907.0
1344.0,906.8
1344.8,906.0
1345.0,905.8
1345.8,905.0
1345.8,904.0
1345.8,903.0
1345.0,902.2
1344.0,902.2
1343.8,902.0
1343.8,901.0
1343.8,900.0
1343.8,899.0
1343.8,898.0
1343.8,897.0
1343.8,896.0
1343.8,895.0
1343.8,894.0
1343.8,893.0
1343.0,892.2
1342.0,892.2
1341.0,892.2
1340.0,892.2
1339.8,892.0
1340.0,891.8
1341.0,891.8
1342.0,891.8
1342.8,891.0
1343.0,890.8
1343.8,890.0
1344.0,889.8
1344.8,889.0
1345.0,888.8
1345.8,888.0
1346.0,887.8
1346.8,887.0
1347.0,886.8
1347.8,886.0
1347.8,885.0
1347.8,884.0
1347.8,883.0
1347.8,882.0
1347.8,881.0
1347.8,880.0
1347.0,879.2
1346.0,879.2
1345.8,879.0
1345.8,878.0
1346.0,877.8
1347.0,877.8
1347.8,877.0
1347.8,876.0
1348.0,875.8
1349.0,875.8
1349.8,875.0
1349.8,874.0
1350.0,873.8
1351.0,873.8
1351.8,873.0
1352.0,872.8
1352.8,872.0
1353.0,871.8
1353.8,871.0
1353.8,870.0
1353.8,869.0
1353.0,868.2
1352.8,868.0
1353.0,867.8
1353.8,867.0
1353.8,866.0
1353.0,865.2
1352.8,865.0
1352.0,864.2
1351.8,864.0
1351.0,863.2
1350.0,863.2
1349.0,863.2
1348.0,863.2
1347.8,863.0
1347.0,862.2
1346.8,862.0
1346.0,861.2
1345.8,861.0
1346.0,860.8
1347.0,860.8
1347.8,860.0
1347.8,859.0
1348.0,858.8
1349.0,858.8
1349.8,858.0
1349.8,857.0
1349.8,856.0
1349.8,855.0
1349.8,854.0
1349.8,853.0
1349.8,852.0
1349.8,851.0
1349.0,850.2
1348.0,850.2
1347.0,850.2
1346.0,850.2
1345.0,850.2
1344.0,850.2
1343.0,850.2
1342.0,850.2
1341.0,850.2
1340.0,850.2
1339.0,850.2
1338.0,850.2
1337.0,850.2
1336.8,850.0
1336.8,849.0
1336.8,848.0
1336.8,847.0
1336.8,846.0
1336.0,845.2
1335.8,845.0
1335.0,844.2
1334.0,844.2
1333.0,844.2
1332.0,844.2
1331.0,844.2
1330.0,844.2
1329.0,844.2
1328.0,844.2
1327.0,844.2
1326.8,844.0
1326.0,843.2
1325.8,843.0
1326.0,842.8
1326.8,842.0
1326.8,841.0
1326.8,840.0
1327.0,839.8
1328.0,839.8
1328.8,839.0
1328.8,838.0
1329.0,837.8
1329.8,837.0
1330.0,836.8
1330.8,836.0
1330.8,835.0
1330.8,834.0
1330.8,833.0
1330.8,832.0
1330.8,831.0
1330.8,830.0
1330.8,829.0
1330.8,828.0
1330.8,827.0
1330.0,826.2
1329.8,826.0
1329.0,825.2
1328.0,825.2
1327.0,825.2
1326.0,825.2
1325.0,825.2
1324.8,825.0
1324.8,824.0
1324.8,823.0
1324.8,822.0
1324.8,821.0
1325.0,820.8
1326.0,820.8
1326.8,820.0
1326.8,819.0
1326.8,818.0
1326.8,817.0
1326.8,816.0
1326.8,815.0
1326.8,814.0
1326.8,813.0
1326.0,812.2
1325.8,812.0
1325.0,811.2
1324.8,811.0
1324.0,810.2
