x,y
176.8,551.0
177.0,550.8
177.8,550.0
178.0,549.8
178.8,549.0
179.0,548.8
179.8,548.0
179.8,547.0
179.8,546.0
179.8,545.0
179.8,544.0
179.8,543.0
180.0,542.8
180.8,542.0
180.8,541.0
180.8,540.0
180.8,539.0
180.8,538.0
180.8,537.0
180.8,536.0
180.8,535.0
180.8,534.0
180.8,533.0
180.8,532.0
180.8,531.0
181.0,530.8
181.8,530.0
181.8,529.0
181.8,528.0
182.0,527.8
182.8,527.0
183.0,526.8
183.8,526.0
184.0,525.8
184.8,525.0
185.0,524.8
185.8,524.0
185.8,523.0
185.8,522.0
185.8,521.0
185.8,520.0
185.8,519.0
185.8,518.0
185.8,517.0
185.8,516.0
185.8,515.0
185.8,514.0
185.8,513.0
185.8,512.0
185.8,511.0
185.8,510.0
185.0,509.2
184.8,509.0
184.8,508.0
184.0,507.2
183.0,507.2
182.8,507.0
182.8,506.0
182.8,505.0
182.8,504.0
182.8,503.0
182.0,502.2
181.8,502.0
181.8,501.0
181.8,500.0
181.0,499.2
180.8,499.0
180.8,498.0
180.8,497.0
180.0,496.2
179.8,496.0
179.8,495.0
179.0,494.2
178.8,494.0
178.8,493.0
178.0,492.2
177.8,492.0
177.8,491.0
177.8,490.0
177.8,489.0
177.0,488.2
176.8,488.0
176.8,487.0
176.8,486.0
176.0,485.2
175.8,485.0
175.8,484.0
175.0,483.2
174.8,483.0
174.8,482.0
174.0,481.2
173.8,481.0
173.8,480.0
173.0,479.2
172.8,479.0
172.0,478.2
171.8,478.0
171.8,477.0
171.0,476.2
170.8,476.0
170.8,475.0
170.0,474.2
169.8,474.0
169.8,473.0
169.0,472.2
168.8,472.0
168.8,471.0
168.0,470.2
167.8,470.0
167.8,469.0
167.8,468.0
167.8,467.0
167.0,466.2
166.8,466.0
166.8,465.0
166.8,464.0
166.0,463.2
165.0,463.2
164.8,463.0
164.8,462.0
164.8,461.0
164.8,460.0
164.8,459.0
164.0,458.2
163.8,458.0
163.8,457.0
163.8,456.0
163.8,455.0
163.0,454.2
162.8,454.0
162.8,453.0
162.8,452.0
162.0,451.2
161.0,451.2
160.8,451.0
160.0,450.2
159.8,450.0
159.8,449.0
159.8,448.0
159.8,447.0
159.8,446.0
159.8,445.0
159.0,444.2
158.8,444.0
158.8,443.0
158.0,442.2
157.8,442.0
157.8,441.0
157.0,440.2
156.8,440.0
156.8,439.0
156.8,438.0
156.8,437.0
156.0,436.2
155.8,436.0
155.8,435.0
155.8,434.0
155.8,433.0
155.8,432.0
155.8,431.0
155.0,430.2
154.8,430.0
154.8,429.0
154.8,428.0
154.8,427.0
154.8,426.0
154.0,425.2
153.8,425.0
153.0,424.2
152.8,424.0
152.0,423.2
151.8,423.0
151.8,422.0
151.8,421.0
151.8,420.0
151.0,419.2
150.8,419.0
150.8,418.0
150.8,417.0
150.0,416.2
149.8,416.0
149.8,415.0
149.8,414.0
149.0,413.2
148.8,413.0
148.0,412.2
147.8,412.0
147.0,411.2
146.8,411.0
146.0,410.2
145.8,410.0
145.8,409.0
145.0,408.2
144.8,408.0
144.8,407.0
144.8,406.0
144.8,405.0
144.0,404.2
143.8,404.0
143.8,403.0
143.0,402.2
142.8,402.0
142.8,401.0
142.8,400.0
142.8,399.0
142.8,398.0
142.0,397.2
141.8,397.0
141.0,396.2
140.0,396.2
139.8,396.0
139.0,395.2
138.0,395.2
137.8,395.0
137.0,394.2
136.8,394.0
136.0,393.2
135.0,393.2
134.0,393.2
133.0,393.2
132.0,393.2
131.0,393.2
130.2,394.0
130.0,394.2
129.0,394.2
128.2,395.0
128.0,395.2
127.2,396.0
127.2,397.0
127.0,397.2
126.2,398.0
126.0,398.2
125.2,399.0
125.2,400.0
125.2,401.0
125.2,402.0
125.2,403.0
125.2,404.0
125.2,405.0
125.2,406.0
125.2,407.0
125.2,408.0
125.2,409.0
125.2,410.0
125.2,411.0
126.0,411.8
126.2,412.0
126.2,413.0
127.0,413.8
127.2,414.0
127.2,415.0
127.2,416.0
127.2,417.0
127.2,418.0
127.2,419.0
127.2,420.0
127.2,421.0
127.2,422.0
127.2,423.0
127.2,424.0
127.0,424.2
126.2,425.0
126.0,425.2
125.0,425.2
124.8,425.0
124.0,424.2
123.8,424.0
123.0,423.2
122.8,423.0
122.0,422.2
121.8,422.0
121.0,421.2
120.8,421.0
120.0,420.2
119.8,420.0
119.0,419.2
118.8,419.0
118.0,418.2
117.8,418.0
117.0,417.2
116.8,417.0
116.8,416.0
116.8,415.0
116.0,414.2
115.8,414.0
115.0,413.2
114.8,413.0
114.0,412.2
113.8,412.0
113.0,411.2
112.8,411.0
112.8,410.0
112.0,409.2
111.8,409.0
111.8,408.0
111.8,407.0
111.0,406.2
110.8,406.0
110.8,405.0
110.0,404.2
109.8,404.0
109.8,403.0
109.8,402.0
109.0,401.2
108.8,401.0
108.8,400.0
108.8,399.0
108.8,398.0
108.8,397.0
108.0,396.2
107.8,396.0
107.8,395.0
107.8,394.0
107.0,393.2
106.8,393.0
106.0,392.2
105.8,392.0
105.8,391.0
105.0,390.2
104.8,390.0
104.0,389.2
103.8,389.0
103.8,388.0
103.8,387.0
103.8,386.0
103.0,385.2
102.8,385.0
102.8,384.0
102.8,383.0
102.8,382.0
102.0,381.2
101.8,381.0
101.8,380.0
101.8,379.0
101.8,378.0
101.0,377.2
100.8,377.0
100.0,376.2
99.8,376.0
99.0,375.2
98.8,375.0
98.8,374.0
98.8,373.0
98.8,372.0
98.8,371.0
98.8,370.0
98.8,369.0
98.8,368.0
98.0,367.2
97.8,367.0
97.8,366.0
97.8,365.0
97.8,364.0
97.0,363.2
96.8,363.0
96.8,362.0
96.8,361.0
96.0,360.2
95.8,360.0
95.8,359.0
95.8,358.0
95.0,357.2
94.8,357.0
94.8,356.0
94.8,355.0
94.0,354.2
93.8,354.0
93.0,353.2
92.8,353.0
92.0,352.2
91.8,352.0
91.0,351.2
90.0,351.2
89.0,351.2
88.0,351.2
87.2,352.0
87.0,352.2
86.2,353.0
86.2,354.0
86.2,355.0
86.0,355.2
85.2,356.0
85.2,357.0
85.0,357.2
84.2,358.0
84.0,358.2
83.2,359.0
83.0,359.2
82.2,360.0
82.2,361.0
82.2,362.0
82.2,363.0
82.2,364.0
82.0,364.2
81.2,365.0
81.2,366.0
81.2,367.0
81.2,368.0
81.2,369.0
81.2,370.0
81.2,371.0
81.2,372.0
81.2,373.0
81.2,374.0
81.2,375.0
81.2,376.0
81.2,377.0
81.2,378.0
81.2,379.0
81.2,380.0
81.2,381.0
81.2,382.0
81.2,383.0
81.2,384.0
81.2,385.0
81.2,386.0
81.2,387.0
81.2,388.0
81.2,389.0
81.2,390.0
81.2,391.0
81.0,391.2
80.0,391.2
79.8,391.0
79.0,390.2
78.0,390.2
77.8,390.0
77.0,389.2
76.8,389.0
76.8,388.0
76.8,387.0
76.0,386.2
75.8,386.0
75.0,385.2
74.8,385.0
74.8,384.0
74.8,383.0
74.0,382.2
73.8,382.0
73.8,381.0
73.8,380.0
73.0,379.2
72.8,379.0
72.8,378.0
72.0,377.2
71.8,377.0
71.8,376.0
71.8,375.0
71.0,374.2
70.8,374.0
70.8,373.0
70.0,372.2
69.8,372.0
69.8,371.0
69.0,370.2
68.8,370.0
68.8,369.0
68.0,368.2
67.8,368.0
67.8,367.0
67.0,366.2
66.8,366.0
66.8,365.0
66.8,364.0
