x,y
81.8,393.0
82.0,392.8
83.0,392.8
84.0,392.8
84.8,392.0
85.0,391.8
85.8,391.0
86.0,390.8
86.8,390.0
86.8,389.0
87.0,388.8
87.8,388.0
88.0,387.8
88.8,387.0
89.0,386.8
89.8,386.0
89.8,385.0
90.0,384.8
90.8,384.0
91.0,383.8
92.0,383.8
92.8,383.0
93.0,382.8
93.8,382.0
94.0,381.8
95.0,381.8
95.8,381.0
95.8,380.0
95.8,379.0
96.0,378.8
96.8,378.0
96.8,377.0
97.0,376.8
97.8,376.0
97.8,375.0
97.8,374.0
97.8,373.0
97.8,372.0
97.8,371.0
97.8,370.0
97.8,369.0
97.8,368.0
97.8,367.0
97.8,366.0
97.8,365.0
97.8,364.0
97.8,363.0
97.8,362.0
97.8,361.0
97.8,360.0
97.8,359.0
97.8,358.0
97.8,357.0
97.8,356.0
97.0,355.2
96.8,355.0
96.8,354.0
96.0,353.2
95.8,353.0
95.8,352.0
95.0,351.2
94.8,351.0
94.0,350.2
93.8,350.0
93.8,349.0
93.8,348.0
93.8,347.0
93.8,346.0
93.0,345.2
92.8,345.0
92.8,344.0
92.0,343.2
91.8,343.0
91.8,342.0
91.8,341.0
91.0,340.2
90.8,340.0
90.8,339.0
90.8,338.0
90.0,337.2
89.8,337.0
89.0,336.2
88.8,336.0
88.8,335.0
88.8,334.0
88.8,333.0
88.0,332.2
87.8,332.0
87.0,331.2
86.8,331.0
86.8,330.0
86.8,329.0
86.0,328.2
85.8,328.0
85.8,327.0
85.8,326.0
85.8,325.0
85.0,324.2
84.8,324.0
84.0,323.2
83.8,323.0
83.8,322.0
83.8,321.0
83.8,320.0
83.8,319.0
83.0,318.2
82.8,318.0
82.8,317.0
82.8,316.0
82.8,315.0
82.8,314.0
82.8,313.0
83.0,312.8
83.8,312.0
83.8,311.0
83.8,310.0
83.8,309.0
83.8,308.0
83.8,307.0
84.0,306.8
84.8,306.0
85.0,305.8
85.8,305.0
85.8,304.0
85.0,303.2
84.8,303.0
84.0,302.2
83.8,302.0
83.0,301.2
82.0,301.2
81.0,301.2
80.0,301.2
79.0,301.2
78.8,301.0
78.8,300.0
78.8,299.0
78.0,298.2
77.8,298.0
77.0,297.2
76.0,297.2
75.0,297.2
74.2,298.0
74.0,298.2
73.0,298.2
72.0,298.2
71.2,299.0
71.2,300.0
71.2,301.0
71.0,301.2
70.2,302.0
70.0,302.2
69.8,302.0
69.0,301.2
68.8,301.0
68.0,300.2
67.8,300.0
67.0,299.2
66.0,299.2
65.0,299.2
64.8,299.0
64.0,298.2
63.0,298.2
62.0,298.2
61.2,299.0
61.2,300.0
61.2,301.0
61.2,302.0
62.0,302.8
62.2,303.0
62.2,304.0
62.0,304.2
61.8,304.0
61.0,303.2
60.0,303.2
59.0,303.2
58.0,303.2
57.0,303.2
56.0,303.2
55.0,303.2
54.2,304.0
54.2,305.0
54.2,306.0
54.2,307.0
54.2,308.0
54.2,309.0
55.0,309.8
56.0,309.8
56.2,310.0
56.2,311.0
56.2,312.0
57.0,312.8
57.2,313.0
57.2,314.0
57.2,315.0
57.2,316.0
57.2,317.0
57.2,318.0
57.2,319.0
57.2,320.0
57.2,321.0
57.2,322.0
57.2,323.0
57.0,323.2
56.2,324.0
56.2,325.0
56.2,326.0
56.2,327.0
56.2,328.0
56.2,329.0
56.0,329.2
55.2,330.0
55.2,331.0
55.0,331.2
54.2,332.0
54.2,333.0
54.2,334.0
54.2,335.0
54.0,335.2
53.2,336.0
53.2,337.0
53.2,338.0
53.2,339.0
53.0,339.2
52.2,340.0
52.0,340.2
51.2,341.0
51.2,342.0
51.2,343.0
51.2,344.0
51.2,345.0
51.2,346.0
51.2,347.0
51.2,348.0
51.0,348.2
50.2,349.0
50.0,349.2
49.2,350.0
49.2,351.0
49.2,352.0
49.2,353.0
49.2,354.0
49.2,355.0
49.2,356.0
49.2,357.0
49.2,358.0
49.2,359.0
49.2,360.0
49.2,361.0
49.2,362.0
49.2,363.0
49.2,364.0
49.2,365.0
49.2,366.0
49.2,367.0
49.2,368.0
49.2,369.0
49.2,370.0
49.2,371.0
49.2,372.0
49.2,373.0
49.2,374.0
50.0,374.8
50.2,375.0
51.0,375.8
51.2,376.0
51.2,377.0
51.2,378.0
51.2,379.0
52.0,379.8
52.2,380.0
53.0,380.8
53.2,381.0
54.0,381.8
54.2,382.0
55.0,382.8
55.2,383.0
56.0,383.8
56.2,384.0
57.0,384.8
57.2,385.0
58.0,385.8
58.2,386.0
59.0,386.8
60.0,386.8
61.0,386.8
61.2,387.0
62.0,387.8
62.2,388.0
63.0,388.8
63.2,389.0
63.2,390.0
64.0,390.8
64.2,391.0
65.0,391.8
65.2,392.0
66.0,392.8
67.0,392.8
67.2,393.0
68.0,393.8
69.0,393.8
70.0,393.8
71.0,393.8
72.0,393.8
73.0,393.8
74.0,393.8
75.0,393.8
76.0,393.8
76.8,393.0
77.0,392.8
77.8,392.0
78.0,391.8
78.2,392.0
78.2,393.0
79.0,393.8
80.0,393.8
81.0,393.8
81.8,393.0
