x,y
228.8,466.0
228.8,465.0
229.0,464.8
229.8,464.0
229.8,463.0
230.0,462.8
230.8,462.0
230.8,461.0
230.8,460.0
230.0,459.2
229.8,459.0
229.8,458.0
229.8,457.0
229.8,456.0
229.8,455.0
229.8,454.0
229.0,453.2
228.8,453.0
228.8,452.0
228.8,451.0
228.8,450.0
228.8,449.0
228.0,448.2
227.8,448.0
227.8,447.0
227.8,446.0
227.8,445.0
227.8,444.0
227.8,443.0
227.0,442.2
226.8,442.0
226.8,441.0
226.8,440.0
226.0,439.2
225.8,439.0
225.8,438.0
225.8,437.0
225.0,436.2
224.8,436.0
224.8,435.0
224.8,434.0
224.8,433.0
224.0,432.2
223.8,432.0
223.8,431.0
223.8,430.0
223.0,429.2
222.8,429.0
222.8,428.0
222.0,427.2
221.8,427.0
221.8,426.0
221.0,425.2
220.8,425.0
220.0,424.2
219.8,424.0
219.0,423.2
218.8,423.0
218.8,422.0
218.0,421.2
217.8,421.0
217.0,420.2
216.8,420.0
216.0,419.2
215.0,419.2
214.0,419.2
213.8,419.0
213.8,418.0
213.0,417.2
212.8,417.0
212.0,416.2
211.8,416.0
211.0,415.2
210.0,415.2
209.8,415.0
209.0,414.2
208.0,414.2
207.0,414.2
206.0,414.2
205.8,414.0
205.8,413.0
205.0,412.2
204.8,412.0
204.8,411.0
204.8,410.0
204.0,409.2
203.8,409.0
203.0,408.2
202.8,408.0
202.0,407.2
201.8,407.0
201.0,406.2
200.8,406.0
200.0,405.2
199.0,405.2
198.8,405.0
198.0,404.2
197.8,404.0
197.0,403.2
196.8,403.0
196.0,402.2
195.8,402.0
195.0,401.2
194.8,401.0
194.0,400.2
193.8,400.0
193.0,399.2
192.8,399.0
192.0,398.2
191.8,398.0
191.0,397.2
190.8,397.0
190.0,396.2
189.0,396.2
188.8,396.0
188.0,395.2
187.8,395.0
187.0,394.2
186.0,394.2
185.8,394.0
185.8,393.0
185.0,392.2
184.8,392.0
184.8,391.0
184.0,390.2
183.8,390.0
183.0,389.2
182.8,389.0
182.8,388.0
182.0,387.2
181.8,387.0
181.8,386.0
181.8,385.0
181.8,384.0
181.0,383.2
180.0,383.2
179.0,383.2
178.0,383.2
177.0,383.2
176.0,383.2
175.8,383.0
175.0,382.2
174.0,382.2
173.0,382.2
172.0,382.2
171.2,383.0
171.2,384.0
171.2,385.0
171.2,386.0
171.2,387.0
172.0,387.8
172.2,388.0
172.2,389.0
172.2,390.0
173.0,390.8
173.2,391.0
173.2,392.0
173.2,393.0
174.0,393.8
174.2,394.0
174.2,395.0
175.0,395.8
175.2,396.0
175.2,397.0
176.0,397.8
176.2,398.0
176.2,399.0
177.0,399.8
177.2,400.0
178.0,400.8
178.2,401.0
179.0,401.8
179.2,402.0
179.2,403.0
180.0,403.8
180.2,404.0
181.0,404.8
181.2,405.0
181.2,406.0
182.0,406.8
182.2,407.0
183.0,407.8
183.2,408.0
184.0,408.8
185.0,408.8
185.2,409.0
186.0,409.8
186.2,410.0
187.0,410.8
187.2,411.0
188.0,411.8
188.2,412.0
188.2,413.0
189.0,413.8
189.2,414.0
190.0,414.8
190.2,415.0
191.0,415.8
191.2,416.0
192.0,416.8
192.2,417.0
193.0,417.8
193.2,418.0
193.2,419.0
194.0,419.8
194.2,420.0
195.0,420.8
195.2,421.0
196.0,421.8
196.2,422.0
197.0,422.8
197.2,423.0
198.0,423.8
199.0,423.8
199.2,424.0
200.0,424.8
200.2,425.0
200.2,426.0
201.0,426.8
201.2,427.0
202.0,427.8
202.2,428.0
203.0,428.8
203.2,429.0
203.2,430.0
204.0,430.8
204.2,431.0
205.0,431.8
205.2,432.0
206.0,432.8
206.2,433.0
207.0,433.8
207.2,434.0
208.0,434.8
208.2,435.0
209.0,435.8
209.2,436.0
210.0,436.8
210.2,437.0
211.0,437.8
211.2,438.0
212.0,438.8
212.2,439.0
213.0,439.8
213.2,440.0
214.0,440.8
214.2,441.0
215.0,441.8
215.2,442.0
216.0,442.8
216.2,443.0
216.2,444.0
217.0,444.8
217.2,445.0
217.2,446.0
217.2,447.0
218.0,447.8
218.2,448.0
218.2,449.0
219.0,449.8
219.2,450.0
219.2,451.0
219.2,452.0
220.0,452.8
220.2,453.0
220.2,454.0
221.0,454.8
221.2,455.0
221.2,456.0
222.0,456.8
222.2,457.0
222.2,458.0
223.0,458.8
223.2,459.0
223.2,460.0
223.2,461.0
223.2,462.0
224.0,462.8
224.2,463.0
224.2,464.0
224.2,465.0
224.2,466.0
225.0,466.8
226.0,466.8
227.0,466.8
228.0,466.8
228.8,466.0
