x,y
252.8,320.0
252.8,319.0
253.0,318.8
254.0,318.8
254.8,318.0
254.8,317.0
255.0,316.8
256.0,316.8
256.8,316.0
256.8,315.0
257.0,314.8
258.0,314.8
258.8,314.0
258.8,313.0
259.0,312.8
260.0,312.8
260.8,312.0
260.8,311.0
260.8,310.0
260.8,309.0
261.0,308.8
261.8,308.0
261.8,307.0
261.8,306.0
261.8,305.0
262.0,304.8
263.0,304.8
263.8,304.0
263.8,303.0
264.0,302.8
265.0,302.8
265.8,302.0
265.8,301.0
266.0,300.8
267.0,300.8
267.8,300.0
267.8,299.0
268.0,298.8
269.0,298.8
269.8,298.0
269.8,297.0
270.0,296.8
270.8,296.0
270.0,295.2
269.8,295.0
270.0,294.8
270.8,294.0
270.0,293.2
269.8,293.0
269.8,292.0
270.0,291.8
270.8,291.0
271.0,290.8
271.8,290.0
271.8,289.0
271.8,288.0
271.8,287.0
271.8,286.0
271.8,285.0
272.0,284.8
273.0,284.8
273.8,284.0
273.8,283.0
273.0,282.2
272.8,282.0
272.8,281.0
272.8,280.0
272.8,279.0
272.8,278.0
272.8,277.0
272.8,276.0
272.8,275.0
272.8,274.0
272.8,273.0
272.8,272.0
272.8,271.0
272.8,270.0
272.0,269.2
271.8,269.0
271.8,268.0
271.8,267.0
271.0,266.2
270.8,266.0
270.8,265.0
270.0,264.2
269.0,264.2
268.8,264.0
268.8,263.0
268.0,262.2
267.0,262.2
266.8,262.0
266.8,261.0
266.0,260.2
265.0,260.2
264.8,260.0
264.8,259.0
264.8,258.0
264.8,257.0
264.0,256.2
263.0,256.2
262.8,256.0
262.8,255.0
262.8,254.0
262.8,253.0
262.0,252.2
261.0,252.2
260.8,252.0
260.8,251.0
260.0,250.2
259.0,250.2
258.0,250.2
257.0,250.2
256.8,250.0
256.8,249.0
256.0,248.2
255.0,248.2
254.8,248.0
254.8,247.0
254.0,246.2
253.0,246.2
252.0,246.2
251.0,246.2
250.8,246.0
250.8,245.0
250.0,244.2
249.0,244.2
248.8,244.0
248.8,243.0
248.0,242.2
247.0,242.2
246.0,242.2
245.0,242.2
244.0,242.2
243.0,242.2
242.8,242.0
242.8,241.0
242.0,240.2
241.0,240.2
240.0,240.2
239.0,240.2
238.0,240.2
237.0,240.2
236.0,240.2
235.0,240.2
234.0,240.2
233.0,240.2
232.0,240.2
231.0,240.2
230.0,240.2
229.0,240.2
228.8,240.0
228.8,239.0
228.0,238.2
227.0,238.2
226.0,238.2
225.0,238.2
224.2,239.0
224.2,240.0
224.0,240.2
223.0,240.2
222.0,240.2
221.0,240.2
220.0,240.2
219.0,240.2
218.0,240.2
217.0,240.2
216.0,240.2
215.0,240.2
214.0,240.2
213.0,240.2
212.0,240.2
211.0,240.2
210.0,240.2
209.0,240.2
208.0,240.2
207.0,240.2
206.0,240.2
205.0,240.2
204.2,241.0
204.2,242.0
204.0,242.2
203.0,242.2
202.0,242.2
201.0,242.2
200.2,243.0
200.2,244.0
200.2,245.0
200.2,246.0
200.0,246.2
199.0,246.2
198.2,247.0
198.2,248.0
198.0,248.2
197.0,248.2
196.2,249.0
196.2,250.0
196.0,250.2
195.0,250.2
194.2,251.0
194.2,252.0
194.2,253.0
194.2,254.0
194.2,255.0
194.2,256.0
194.2,257.0
194.2,258.0
194.2,259.0
194.2,260.0
195.0,260.8
196.0,260.8
197.0,260.8
198.0,260.8
198.2,261.0
198.2,262.0
199.0,262.8
200.0,262.8
201.0,262.8
202.0,262.8
202.2,263.0
202.2,264.0
203.0,264.8
204.0,264.8
204.2,265.0
204.2,266.0
205.0,266.8
206.0,266.8
206.2,267.0
206.2,268.0
207.0,268.8
208.0,268.8
208.2,269.0
208.2,270.0
209.0,270.8
210.0,270.8
210.2,271.0
210.2,272.0
211.0,272.8
212.0,272.8
212.2,273.0
212.2,274.0
212.2,275.0
212.2,276.0
212.0,276.2
211.0,276.2
210.2,277.0
210.2,278.0
210.0,278.2
209.0,278.2
208.2,279.0
208.2,280.0
208.0,280.2
207.0,280.2
206.2,281.0
206.2,282.0
206.0,282.2
205.0,282.2
204.2,283.0
204.2,284.0
204.2,285.0
204.2,286.0
204.0,286.2
203.0,286.2
202.2,287.0
202.2,288.0
202.2,289.0
202.2,290.0
202.0,290.2
201.0,290.2
200.2,291.0
200.2,292.0
200.0,292.2
199.0,292.2
198.0,292.2
197.0,292.2
196.2,293.0
196.2,294.0
196.2,295.0
196.2,296.0
196.0,296.2
195.2,297.0
195.2,298.0
195.2,299.0
195.2,300.0
195.0,300.2
194.2,301.0
194.2,302.0
194.2,303.0
194.2,304.0
194.0,304.2
193.2,305.0
193.0,305.2
192.2,306.0
193.0,306.8
194.0,306.8
195.0,306.8
196.0,306.8
197.0,306.8
198.0,306.8
198.2,307.0
198.2,308.0
199.0,308.8
200.0,308.8
201.0,308.8
202.0,308.8
202.8,308.0
202.8,307.0
203.0,306.8
204.0,306.8
205.0,306.8
206.0,306.8
206.8,306.0
206.8,305.0
207.0,304.8
208.0,304.8
208.8,304.0
208.8,303.0
209.0,302.8
210.0,302.8
211.0,302.8
212.0,302.8
213.0,302.8
214.0,302.8
215.0,302.8
216.0,302.8
217.0,302.8
218.0,302.8
219.0,302.8
220.0,302.8
221.0,302.8
222.0,302.8
222.8,302.0
222.8,301.0
223.0,300.8
224.0,300.8
225.0,300.8
225.8,300.0
226.0,299.8
226.2,300.0
227.0,300.8
228.0,300.8
229.0,300.8
230.0,300.8
230.2,301.0
230.2,302.0
231.0,302.8
232.0,302.8
232.2,303.0
232.2,304.0
233.0,304.8
234.0,304.8
234.2,305.0
234.2,306.0
234.2,307.0
234.2,308.0
235.0,308.8
236.0,308.8
236.2,309.0
236.2,310.0
237.0,310.8
238.0,310.8
238.2,311.0
238.2,312.0
238.2,313.0
238.2,314.0
239.0,314.8
240.0,314.8
240.2,315.0
240.2,316.0
240.2,317.0
240.2,318.0
240.2,319.0
240.2,320.0
241.0,320.8
242.0,320.8
243.0,320.8
244.0,320.8
245.0,320.8
246.0,320.8
247.0,320.8
248.0,320.8
249.0,320.8
250.0,320.8
251.0,320.8
252.0,320.8
252.8,320.0
