x,y
526.8,176.0
527.0,175.8
528.0,175.8
528.8,175.0
528.8,174.0
529.0,173.8
529.8,173.0
530.0,172.8
530.8,172.0
530.8,171.0
531.0,170.8
531.8,170.0
531.8,169.0
531.8,168.0
532.0,167.8
532.8,167.0
532.8,166.0
532.8,165.0
533.0,164.8
533.8,164.0
533.8,163.0
533.8,162.0
533.8,161.0
534.0,160.8
534.8,160.0
534.8,159.0
534.8,158.0
534.8,157.0
534.8,156.0
535.0,155.8
535.8,155.0
535.8,154.0
535.8,153.0
535.8,152.0
535.0,151.2
534.8,151.0
534.8,150.0
534.0,149.2
533.8,149.0
533.8,148.0
533.8,147.0
533.0,146.2
532.8,146.0
532.8,145.0
532.8,144.0
532.0,143.2
531.8,143.0
531.8,142.0
531.8,141.0
531.8,140.0
531.8,139.0
531.0,138.2
530.8,138.0
530.8,137.0
530.0,136.2
529.2,137.0
529.0,137.2
528.2,138.0
528.0,138.2
527.2,139.0
527.0,139.2
526.0,139.2
525.8,139.0
525.8,138.0
525.8,137.0
525.0,136.2
524.8,136.0
524.8,135.0
524.0,134.2
523.0,134.2
522.0,134.2
521.2,135.0
521.2,136.0
521.2,137.0
521.0,137.2
520.2,138.0
520.2,139.0
520.2,140.0
520.0,140.2
519.2,141.0
519.2,142.0
519.2,143.0
519.0,143.2
518.2,144.0
518.2,145.0
518.2,146.0
518.0,146.2
517.2,147.0
517.2,148.0
517.2,149.0
517.2,150.0
517.2,151.0
517.2,152.0
517.2,153.0
517.0,153.2
516.2,154.0
516.2,155.0
516.2,156.0
516.2,157.0
516.2,158.0
516.2,159.0
516.2,160.0
517.0,160.8
517.2,161.0
517.2,162.0
517.2,163.0
517.2,164.0
518.0,164.8
518.2,165.0
518.2,166.0
518.2,167.0
519.0,167.8
519.2,168.0
519.2,169.0
519.2,170.0
519.2,171.0
520.0,171.8
520.2,172.0
520.2,173.0
521.0,173.8
521.2,174.0
521.2,175.0
522.0,175.8
523.0,175.8
524.0,175.8
525.0,175.8
525.2,176.0
526.0,176.8
526.8,176.0
