x,y
352.8,525.0
352.8,524.0
352.8,523.0
352.8,522.0
352.8,521.0
352.8,520.0
352.8,519.0
352.0,518.2
351.8,518.0
351.8,517.0
351.0,516.2
350.8,516.0
350.8,515.0
350.0,514.2
349.8,514.0
349.8,513.0
349.0,512.2
348.8,512.0
348.8,511.0
348.8,510.0
348.0,509.2
347.8,509.0
347.8,508.0
347.8,507.0
347.0,506.2
346.8,506.0
346.8,505.0
346.8,504.0
346.8,503.0
346.0,502.2
345.8,502.0
345.8,501.0
345.8,500.0
345.8,499.0
345.8,498.0
345.8,497.0
345.0,496.2
344.8,496.0
344.8,495.0
344.8,494.0
344.0,493.2
343.8,493.0
343.0,492.2
342.8,492.0
342.8,491.0
342.8,490.0
342.0,489.2
341.8,489.0
341.8,488.0
341.0,487.2
340.8,487.0
340.8,486.0
340.0,485.2
339.8,485.0
339.8,484.0
339.8,483.0
339.0,482.2
338.8,482.0
338.8,481.0
338.8,480.0
338.0,479.2
337.8,479.0
337.0,478.2
336.8,478.0
336.0,477.2
335.0,477.2
334.8,477.0
334.0,476.2
333.8,476.0
333.0,475.2
332.8,475.0
332.0,474.2
331.8,474.0
331.0,473.2
330.0,473.2
329.0,473.2
328.8,473.0
328.0,472.2
327.0,472.2
326.0,472.2
325.8,472.0
325.0,471.2
324.0,471.2
323.2,472.0
324.0,472.8
324.2,473.0
325.0,473.8
326.0,473.8
326.2,474.0
326.2,475.0
326.2,476.0
326.2,477.0
326.2,478.0
326.2,479.0
326.2,480.0
326.2,481.0
326.2,482.0
326.2,483.0
326.2,484.0
326.2,485.0
327.0,485.8
327.2,486.0
328.0,486.8
328.2,487.0
328.2,488.0
329.0,488.8
329.2,489.0
329.2,490.0
330.0,490.8
330.2,491.0
330.2,492.0
331.0,492.8
331.2,493.0
331.2,494.0
332.0,494.8
332.2,495.0
333.0,495.8
333.2,496.0
333.2,497.0
334.0,497.8
334.2,498.0
334.2,499.0
335.0,499.8
335.2,500.0
335.2,501.0
336.0,501.8
336.2,502.0
337.0,502.8
337.2,503.0
337.2,504.0
337.2,505.0
338.0,505.8
338.2,506.0
338.2,507.0
339.0,507.8
339.2,508.0
339.2,509.0
340.0,509.8
340.2,510.0
340.2,511.0
341.0,511.8
341.2,512.0
342.0,512.8
342.2,513.0
342.2,514.0
343.0,514.8
343.2,515.0
343.2,516.0
344.0,516.8
344.2,517.0
345.0,517.8
345.2,518.0
345.2,519.0
346.0,519.8
346.2,520.0
346.2,521.0
346.2,522.0
347.0,522.8
347.2,523.0
347.2,524.0
348.0,524.8
349.0,524.8
349.2,525.0
350.0,525.8
351.0,525.8
352.0,525.8
352.8,525.0
