x,y
158.8,290.0
159.0,289.8
160.0,289.8
161.0,289.8
162.0,289.8
163.0,289.8
164.0,289.8
165.0,289.8
165.8,289.0
166.0,288.8
167.0,288.8
168.0,288.8
169.0,288.8
170.0,288.8
171.0,288.8
171.8,288.0
172.0,287.8
173.0,287.8
174.0,287.8
175.0,287.8
176.0,287.8
177.0,287.8
178.0,287.8
179.0,287.8
179.8,287.0
180.0,286.8
181.0,286.8
181.2,287.0
182.0,287.8
182.8,287.0
183.0,286.8
183.8,286.0
184.0,285.8
185.0,285.8
186.0,285.8
187.0,285.8
187.2,286.0
188.0,286.8
188.8,286.0
188.8,285.0
189.0,284.8
190.0,284.8
191.0,284.8
191.8,284.0
192.0,283.8
193.0,283.8
194.0,283.8
195.0,283.8
196.0,283.8
196.8,283.0
197.0,282.8
198.0,282.8
198.2,283.0
199.0,283.8
199.8,283.0
199.8,282.0
200.0,281.8
201.0,281.8
202.0,281.8
203.0,281.8
204.0,281.8
204.8,281.0
205.0,280.8
206.0,280.8
207.0,280.8
208.0,280.8
208.8,280.0
209.0,279.8
210.0,279.8
211.0,279.8
212.0,279.8
213.0,279.8
214.0,279.8
215.0,279.8
215.8,279.0
215.0,278.2
214.8,278.0
215.0,277.8
215.8,277.0
215.8,276.0
215.8,275.0
215.8,274.0
215.8,273.0
215.0,272.2
214.2,273.0
214.0,273.2
213.8,273.0
213.0,272.2
212.8,272.0
212.8,271.0
213.0,270.8
213.8,270.0
214.0,269.8
214.2,270.0
215.0,270.8
215.8,270.0
216.0,269.8
216.8,269.0
217.0,268.8
217.8,268.0
217.8,267.0
217.8,266.0
217.8,265.0
217.0,264.2
216.0,264.2
215.8,264.0
215.0,263.2
214.0,263.2
213.0,263.2
212.0,263.2
211.0,263.2
210.0,263.2
209.8,263.0
209.0,262.2
208.0,262.2
207.8,262.0
207.8,261.0
207.0,260.2
206.8,260.0
206.0,259.2
205.0,259.2
204.0,259.2
203.0,259.2
202.2,260.0
202.0,260.2
201.0,260.2
200.0,260.2
199.0,260.2
198.8,260.0
198.0,259.2
197.0,259.2
196.8,259.0
196.8,258.0
197.0,257.8
198.0,257.8
199.0,257.8
200.0,257.8
201.0,257.8
202.0,257.8
203.0,257.8
203.2,258.0
204.0,258.8
204.8,258.0
205.0,257.8
206.0,257.8
207.0,257.8
207.2,258.0
207.2,259.0
208.0,259.8
208.8,259.0
209.0,258.8
210.0,258.8
210.2,259.0
211.0,259.8
212.0,259.8
212.8,259.0
213.0,258.8
214.0,258.8
214.8,258.0
215.0,257.8
215.8,257.0
215.8,256.0
215.8,255.0
215.8,254.0
215.0,253.2
214.8,253.0
214.0,252.2
213.8,252.0
213.0,251.2
212.2,252.0
212.0,252.2
211.8,252.0
211.0,251.2
210.0,251.2
209.0,251.2
208.0,251.2
207.0,251.2
206.0,251.2
205.0,251.2
204.0,251.2
203.8,251.0
204.0,250.8
204.8,250.0
204.0,249.2
203.2,250.0
203.0,250.2
202.8,250.0
202.0,249.2
201.0,249.2
200.0,249.2
199.0,249.2
198.0,249.2
197.8,249.0
197.0,248.2
196.0,248.2
195.0,248.2
194.0,248.2
193.8,248.0
193.0,247.2
192.0,247.2
191.0,247.2
190.0,247.2
189.0,247.2
188.0,247.2
187.8,247.0
187.0,246.2
186.0,246.2
185.8,246.0
185.0,245.2
184.0,245.2
183.8,245.0
183.8,244.0
183.0,243.2
182.2,244.0
182.2,245.0
182.0,245.2
181.8,245.0
181.8,244.0
181.0,243.2
180.2,244.0
180.0,244.2
179.0,244.2
178.0,244.2
