x,y
534.8,229.0
535.0,228.8
536.0,228.8
537.0,228.8
538.0,228.8
539.0,228.8
540.0,228.8
541.0,228.8
542.0,228.8
542.8,228.0
543.0,227.8
543.8,227.0
544.0,226.8
545.0,226.8
545.8,226.0
546.0,225.8
546.8,225.0
547.0,224.8
547.8,224.0
548.0,223.8
548.8,223.0
549.0,222.8
549.8,222.0
549.0,221.2
548.0,221.2
547.0,221.2
546.0,221.2
545.8,221.0
545.0,220.2
544.0,220.2
543.0,220.2
542.8,220.0
542.0,219.2
541.0,219.2
540.8,219.0
540.0,218.2
539.0,218.2
538.0,218.2
537.0,218.2
536.0,218.2
535.0,218.2
534.0,218.2
533.0,218.2
532.0,218.2
531.0,218.2
530.0,218.2
529.0,218.2
528.0,218.2
527.2,219.0
527.0,219.2
526.0,219.2
525.0,219.2
524.0,219.2
523.0,219.2
522.2,220.0
522.0,220.2
521.0,220.2
520.0,220.2
519.2,221.0
519.0,221.2
518.2,222.0
519.0,222.8
519.2,223.0
520.0,223.8
520.2,224.0
521.0,224.8
521.2,225.0
522.0,225.8
522.2,226.0
523.0,226.8
524.0,226.8
524.2,227.0
525.0,227.8
526.0,227.8
527.0,227.8
527.2,228.0
528.0,228.8
529.0,228.8
530.0,228.8
531.0,228.8
531.2,229.0
532.0,229.8
533.0,229.8
534.0,229.8
534.8,229.0
