x,y
411.8,529.0
412.0,528.8
413.0,528.8
413.8,528.0
414.0,527.8
414.8,527.0
414.8,526.0
415.0,525.8
415.8,525.0
415.8,524.0
416.0,523.8
416.8,523.0
416.8,522.0
416.8,521.0
416.8,520.0
416.8,519.0
416.8,518.0
417.0,517.8
417.8,517.0
417.8,516.0
417.8,515.0
417.8,514.0
418.0,513.8
418.8,513.0
419.0,512.8
419.8,512.0
420.0,511.8
420.8,511.0
421.0,510.8
421.8,510.0
422.0,509.8
422.8,509.0
423.0,508.8
424.0,508.8
424.8,508.0
425.0,507.8
426.0,507.8
427.0,507.8
427.8,507.0
428.0,506.8
429.0,506.8
430.0,506.8
430.8,506.0
431.0,505.8
432.0,505.8
433.0,505.8
434.0,505.8
435.0,505.8
436.0,505.8
436.8,505.0
437.0,504.8
438.0,504.8
438.8,504.0
439.0,503.8
439.8,503.0
439.8,502.0
439.8,501.0
440.0,500.8
441.0,500.8
442.0,500.8
443.0,500.8
444.0,500.8
445.0,500.8
446.0,500.8
447.0,500.8
448.0,500.8
449.0,500.8
449.8,500.0
450.0,499.8
450.8,499.0
451.0,498.8
451.8,498.0
452.0,497.8
453.0,497.8
454.0,497.8
455.0,497.8
456.0,497.8
457.0,497.8
457.2,498.0
458.0,498.8
459.0,498.8
460.0,498.8
461.0,498.8
462.0,498.8
463.0,498.8
463.8,498.0
463.8,497.0
464.0,496.8
464.8,496.0
464.8,495.0
464.8,494.0
464.8,493.0
464.8,492.0
464.0,491.2
463.8,491.0
463.0,490.2
462.8,490.0
462.0,489.2
461.8,489.0
462.0,488.8
463.0,488.8
464.0,488.8
465.0,488.8
466.0,488.8
467.0,488.8
468.0,488.8
469.0,488.8
470.0,488.8
471.0,488.8
472.0,488.8
473.0,488.8
474.0,488.8
475.0,488.8
476.0,488.8
477.0,488.8
477.8,488.0
478.0,487.8
478.8,487.0
478.8,486.0
478.8,485.0
479.0,484.8
479.8,484.0
480.0,483.8
481.0,483.8
482.0,483.8
483.0,483.8
484.0,483.8
484.2,484.0
485.0,484.8
486.0,484.8
487.0,484.8
488.0,484.8
489.0,484.8
490.0,484.8
491.0,484.8
492.0,484.8
492.8,484.0
492.8,483.0
492.8,482.0
492.8,481.0
492.8,480.0
492.8,479.0
492.8,478.0
493.0,477.8
494.0,477.8
494.8,477.0
495.0,476.8
496.0,476.8
497.0,476.8
498.0,476.8
498.2,477.0
499.0,477.8
500.0,477.8
501.0,477.8
502.0,477.8
503.0,477.8
504.0,477.8
505.0,477.8
506.0,477.8
507.0,477.8
508.0,477.8
509.0,477.8
510.0,477.8
510.2,478.0
511.0,478.8
512.0,478.8
513.0,478.8
514.0,478.8
514.8,478.0
515.0,477.8
515.8,477.0
515.8,476.0
515.8,475.0
515.0,474.2
514.8,474.0
514.0,473.2
513.0,473.2
512.0,473.2
511.0,473.2
510.8,473.0
510.0,472.2
509.0,472.2
508.8,472.0
508.8,471.0
