x,y
646.8,365.0
646.8,364.0
646.8,363.0
647.0,362.8
647.8,362.0
648.0,361.8
649.0,361.8
650.0,361.8
651.0,361.8
652.0,361.8
652.8,361.0
653.0,360.8
653.8,360.0
653.8,359.0
653.8,358.0
653.8,357.0
653.8,356.0
654.0,355.8
655.0,355.8
656.0,355.8
657.0,355.8
658.0,355.8
658.8,355.0
658.8,354.0
659.0,353.8
659.8,353.0
659.0,352.2
658.8,352.0
659.0,351.8
660.0,351.8
660.8,351.0
661.0,350.8
662.0,350.8
662.8,350.0
663.0,349.8
664.0,349.8
664.8,349.0
664.8,348.0
664.8,347.0
664.8,346.0
664.0,345.2
663.8,345.0
663.0,344.2
662.8,344.0
662.8,343.0
663.0,342.8
663.8,342.0
663.8,341.0
663.8,340.0
663.8,339.0
663.0,338.2
662.8,338.0
662.0,337.2
661.8,337.0
661.8,336.0
662.0,335.8
662.8,335.0
663.0,334.8
663.8,334.0
663.8,333.0
663.8,332.0
663.0,331.2
662.8,331.0
662.0,330.2
661.8,330.0
661.8,329.0
661.8,328.0
661.8,327.0
662.0,326.8
662.8,326.0
662.8,325.0
662.8,324.0
662.0,323.2
661.0,323.2
660.0,323.2
659.0,323.2
658.0,323.2
657.0,323.2
656.0,323.2
655.8,323.0
655.0,322.2
654.8,322.0
654.8,321.0
654.8,320.0
654.0,319.2
653.8,319.0
653.0,318.2
652.0,318.2
651.0,318.2
650.0,318.2
649.2,319.0
649.2,320.0
649.2,321.0
649.0,321.2
648.2,322.0
648.2,323.0
648.2,324.0
648.2,325.0
648.0,325.2
647.2,326.0
647.0,326.2
646.2,327.0
646.0,327.2
645.8,327.0
645.8,326.0
645.0,325.2
644.8,325.0
644.8,324.0
644.8,323.0
644.8,322.0
644.8,321.0
644.8,320.0
644.8,319.0
644.0,318.2
643.8,318.0
643.8,317.0
643.0,316.2
642.8,316.0
642.8,315.0
642.0,314.2
641.8,314.0
641.0,313.2
640.8,313.0
640.8,312.0
640.0,311.2
639.8,311.0
639.8,310.0
639.8,309.0
639.0,308.2
638.8,308.0
638.8,307.0
639.0,306.8
639.8,306.0
639.8,305.0
639.0,304.2
638.8,304.0
638.0,303.2
637.8,303.0
637.0,302.2
636.8,302.0
636.0,301.2
635.8,301.0
635.0,300.2
634.8,300.0
634.0,299.2
633.8,299.0
633.0,298.2
632.8,298.0
632.0,297.2
631.8,297.0
631.0,296.2
630.8,296.0
630.0,295.2
629.8,295.0
629.0,294.2
628.8,294.0
628.0,293.2
627.0,293.2
626.2,294.0
626.0,294.2
625.0,294.2
624.0,294.2
623.2,295.0
623.2,296.0
623.2,297.0
623.0,297.2
622.2,298.0
622.2,299.0
622.2,300.0
622.0,300.2
621.2,301.0
621.2,302.0
621.2,303.0
621.2,304.0
621.2,305.0
621.2,306.0
621.2,307.0
621.0,307.2
620.2,308.0
620.2,309.0
620.2,310.0
620.2,311.0
621.0,311.8
621.2,312.0
621.0,312.2
620.2,313.0
620.2,314.0
620.2,315.0
620.2,316.0
620.2,317.0
620.2,318.0
620.2,319.0
620.0,319.2
619.2,320.0
619.2,321.0
619.2,322.0
619.2,323.0
619.2,324.0
619.2,325.0
619.2,326.0
619.2,327.0
619.2,328.0
620.0,328.8
620.2,329.0
620.0,329.2
619.0,329.2
618.8,329.0
618.0,328.2
617.8,328.0
617.0,327.2
616.8,327.0
616.8,326.0
616.0,325.2
615.8,325.0
615.8,324.0
615.8,323.0
615.0,322.2
614.8,322.0
614.8,321.0
614.0,320.2
613.8,320.0
613.0,319.2
612.0,319.2
611.0,319.2
610.2,320.0
610.2,321.0
610.0,321.2
609.2,322.0
609.2,323.0
609.2,324.0
609.0,324.2
608.2,325.0
608.2,326.0
608.2,327.0
608.2,328.0
608.2,329.0
608.0,329.2
607.0,329.2
606.0,329.2
605.0,329.2
604.0,329.2
603.2,330.0
603.0,330.2
602.2,331.0
602.0,331.2
601.2,332.0
601.2,333.0
602.0,333.8
602.2,334.0
603.0,334.8
603.2,335.0
604.0,335.8
605.0,335.8
605.2,336.0
605.2,337.0
605.0,337.2
604.2,338.0
604.2,339.0
604.2,340.0
605.0,340.8
605.2,341.0
605.2,342.0
606.0,342.8
606.2,343.0
607.0,343.8
608.0,343.8
609.0,343.8
610.0,343.8
610.2,344.0
610.2,345.0
610.0,345.2
609.2,346.0
609.2,347.0
609.2,348.0
609.2,349.0
610.0,349.8
610.2,350.0
611.0,350.8
612.0,350.8
612.2,351.0
613.0,351.8
613.2,352.0
613.2,353.0
613.2,354.0
614.0,354.8
614.2,355.0
615.0,355.8
616.0,355.8
617.0,355.8
618.0,355.8
618.2,356.0
619.0,356.8
619.2,357.0
619.2,358.0
620.0,358.8
620.2,359.0
621.0,359.8
622.0,359.8
622.8,359.0
623.0,358.8
623.8,358.0
624.0,357.8
624.8,357.0
625.0,356.8
625.8,356.0
626.0,355.8
627.0,355.8
627.2,356.0
627.2,357.0
627.0,357.2
626.2,358.0
626.2,359.0
626.2,360.0
626.2,361.0
626.2,362.0
627.0,362.8
627.2,363.0
628.0,363.8
629.0,363.8
630.0,363.8
631.0,363.8
631.8,363.0
632.0,362.8
632.2,363.0
633.0,363.8
633.2,364.0
634.0,364.8
634.2,365.0
635.0,365.8
636.0,365.8
637.0,365.8
638.0,365.8
638.8,365.0
639.0,364.8
639.8,364.0
639.8,363.0
640.0,362.8
640.2,363.0
640.2,364.0
641.0,364.8
641.2,365.0
642.0,365.8
643.0,365.8
644.0,365.8
645.0,365.8
646.0,365.8
646.8,365.0
