x,y
566.2,0.0
567.0,0.8
567.2,1.0
567.2,2.0
567.0,2.2
566.0,2.2
565.0,2.2
564.0,2.2
563.0,2.2
562.2,3.0
562.0,3.2
561.2,4.0
561.2,5.0
561.2,6.0
561.2,7.0
561.0,7.2
560.2,8.0
561.0,8.8
562.0,8.8
562.2,9.0
562.0,9.2
561.2,10.0
561.2,11.0
561.0,11.2
560.2,12.0
560.0,12.2
559.2,13.0
559.0,13.2
558.2,14.0
558.2,15.0
558.0,15.2
557.0,15.2
556.0,15.2
555.2,16.0
555.2,17.0
555.2,18.0
556.0,18.8
557.0,18.8
558.0,18.8
558.2,19.0
558.2,20.0
559.0,20.8
559.2,21.0
559.0,21.2
558.2,22.0
558.0,22.2
557.0,22.2
556.0,22.2
555.2,23.0
555.0,23.2
554.2,24.0
554.0,24.2
553.8,24.0
553.0,23.2
552.0,23.2
551.0,23.2
550.2,24.0
550.0,24.2
549.2,25.0
549.0,25.2
548.0,25.2
547.2,26.0
548.0,26.8
548.2,27.0
548.2,28.0
548.0,28.2
547.2,29.0
547.2,30.0
547.2,31.0
547.2,32.0
548.0,32.8
549.0,32.8
550.0,32.8
551.0,32.8
551.2,33.0
551.2,34.0
551.2,35.0
551.2,36.0
551.0,36.2
550.2,37.0
550.0,37.2
549.0,37.2
548.0,37.2
547.0,37.2
546.0,37.2
545.2,38.0
545.2,39.0
545.2,40.0
545.0,40.2
544.0,40.2
543.2,41.0
543.2,42.0
543.2,43.0
543.2,44.0
543.2,45.0
543.2,46.0
543.2,47.0
544.0,47.8
545.0,47.8
546.0,47.8
547.0,47.8
547.2,48.0
548.0,48.8
548.2,49.0
549.0,49.8
549.2,50.0
549.0,50.2
548.2,51.0
548.0,51.2
547.2,52.0
547.2,53.0
547.2,54.0
547.0,54.2
546.2,55.0
546.2,56.0
546.0,56.2
545.0,56.2
544.2,57.0
544.2,58.0
545.0,58.8
545.2,59.0
545.2,60.0
545.2,61.0
546.0,61.8
547.0,61.8
548.0,61.8
548.2,62.0
549.0,62.8
550.0,62.8
551.0,62.8
552.0,62.8
552.2,63.0
553.0,63.8
553.2,64.0
553.2,65.0
553.2,66.0
553.2,67.0
554.0,67.8
554.2,68.0
555.0,68.8
555.2,69.0
556.0,69.8
556.8,69.0
557.0,68.8
558.0,68.8
559.0,68.8
560.0,68.8
561.0,68.8
562.0,68.8
563.0,68.8
563.2,69.0
563.2,70.0
563.2,71.0
563.0,71.2
562.0,71.2
561.2,72.0
561.2,73.0
561.2,74.0
561.0,74.2
560.2,75.0
560.2,76.0
560.2,77.0
560.0,77.2
559.2,78.0
560.0,78.8
