x,y
25.2,0.0
25.2,1.0
25.0,1.2
24.2,2.0
24.2,3.0
24.0,3.2
23.2,4.0
23.2,5.0
23.0,5.2
22.2,6.0
22.2,7.0
22.0,7.2
21.2,8.0
21.2,9.0
21.0,9.2
20.2,10.0
20.2,11.0
20.0,11.2
19.2,12.0
19.2,13.0
19.0,13.2
18.2,14.0
18.2,15.0
18.0,15.2
17.2,16.0
17.2,17.0
17.0,17.2
16.2,18.0
16.2,19.0
16.0,19.2
15.2,20.0
15.2,21.0
15.0,21.2
14.2,22.0
14.2,23.0
14.2,24.0
14.0,24.2
13.2,25.0
13.2,26.0
13.0,26.2
12.2,27.0
12.2,28.0
12.0,28.2
11.2,29.0
11.2,30.0
11.0,30.2
10.2,31.0
10.2,32.0
10.2,33.0
10.2,34.0
10.2,35.0
10.2,36.0
10.2,37.0
11.0,37.8
11.2,38.0
12.0,38.8
13.0,38.8
14.0,38.8
15.0,38.8
15.2,39.0
15.2,40.0
15.0,40.2
14.2,41.0
14.2,42.0
14.2,43.0
15.0,43.8
15.2,44.0
15.0,44.2
14.2,45.0
14.2,46.0
14.2,47.0
15.0,47.8
15.2,48.0
16.0,48.8
17.0,48.8
17.2,49.0
18.0,49.8
18.2,50.0
18.2,51.0
19.0,51.8
19.2,52.0
19.0,52.2
18.2,53.0
18.2,54.0
19.0,54.8
19.2,55.0
20.0,55.8
20.2,56.0
21.0,56.8
21.2,57.0
22.0,57.8
23.0,57.8
24.0,57.8
25.0,57.8
26.0,57.8
27.0,57.8
28.0,57.8
28.8,57.0
29.0,56.8
29.8,56.0
30.0,55.8
30.8,55.0
31.0,54.8
31.2,55.0
32.0,55.8
32.8,55.0
32.8,54.0
32.8,53.0
33.0,52.8
33.8,52.0
33.8,51.0
34.0,50.8
34.8,50.0
34.8,49.0
35.0,48.8
35.8,48.0
35.8,47.0
35.8,46.0
35.8,45.0
36.0,44.8
36.8,44.0
36.8,43.0
36.8,42.0
36.8,41.0
36.8,40.0
36.8,39.0
36.8,38.0
36.8,37.0
37.0,36.8
37.8,36.0
37.8,35.0
37.8,34.0
37.8,33.0
38.0,32.8
39.0,32.8
39.8,32.0
39.8,31.0
39.8,30.0
39.8,29.0
39.8,28.0
39.8,27.0
39.8,26.0
40.0,25.8
40.8,25.0
41.0,24.8
42.0,24.8
43.0,24.8
43.8,24.0
43.8,23.0
44.0,22.8
44.2,23.0
45.0,23.8
45.8,23.0
45.0,22.2
44.8,22.0
45.0,21.8
45.8,21.0
46.0,20.8
46.8,20.0
47.0,19.8
48.0,19.8
48.8,19.0
48.8,18.0
49.0,17.8
50.0,17.8
50.8,17.0
51.0,16.8
52.0,16.8
53.0,16.8
53.8,16.0
54.0,15.8
55.0,15.8
56.0,15.8
56.8,15.0
57.0,14.8
58.0,14.8
58.8,14.0
59.0,13.8
60.0,13.8
61.0,13.8
61.8,13.0
62.0,12.8
62.8,12.0
63.0,11.8
63.2,12.0
64.0,12.8
64.8,12.0
65.0,11.8
66.0,11.8
66.8,11.0
67.0,10.8
68.0,10.8
69.0,10.8
70.0,10.8
71.0,10.8
72.0,10.8
72.8,10.0
73.0,9.8
74.0,9.8
75.0,9.8
76.0,9.8
77.0,9.8
78.0,9.8
78.8,9.0
79.0,8.8
80.0,8.8
80.8,8.0
81.0,7.8
81.8,7.0
81.8,6.0
81.8,5.0
81.8,4.0
81.8,3.0
82.0,2.8
82.8,2.0
83.0,1.8
84.0,1.8
85.0,1.8
85.8,1.0
86.0,0.8
86.2,1.0
87.0,1.8
88.0,1.8
89.0,1.8
90.0,1.8
91.0,1.8
92.0,1.8
93.0,1.8
94.0,1.8
95.0,1.8
95.8,1.0
96.0,0.8
97.0,0.8
98.0,0.8
99.0,0.8
100.0,0.8
101.0,0.8
102.0,0.8
102.8,0.0
