x,y
483.8,280.0
484.0,279.8
484.8,279.0
485.0,278.8
486.0,278.8
487.0,278.8
487.8,278.0
488.0,277.8
488.8,277.0
489.0,276.8
490.0,276.8
491.0,276.8
491.8,276.0
492.0,275.8
492.8,275.0
493.0,274.8
494.0,274.8
495.0,274.8
495.8,274.0
496.0,273.8
496.8,273.0
497.0,272.8
498.0,272.8
499.0,272.8
499.8,272.0
500.0,271.8
500.8,271.0
501.0,270.8
502.0,270.8
502.8,270.0
502.8,269.0
503.0,268.8
504.0,268.8
504.8,268.0
504.8,267.0
505.0,266.8
506.0,266.8
506.8,266.0
506.8,265.0
507.0,264.8
508.0,264.8
509.0,264.8
510.0,264.8
510.8,264.0
510.8,263.0
511.0,262.8
512.0,262.8
513.0,262.8
514.0,262.8
514.8,262.0
514.8,261.0
515.0,260.8
516.0,260.8
517.0,260.8
518.0,260.8
519.0,260.8
520.0,260.8
520.8,260.0
520.8,259.0
521.0,258.8
522.0,258.8
523.0,258.8
524.0,258.8
524.8,258.0
524.8,257.0
525.0,256.8
526.0,256.8
527.0,256.8
528.0,256.8
528.8,256.0
528.8,255.0
529.0,254.8
530.0,254.8
531.0,254.8
531.8,254.0
532.0,253.8
532.8,253.0
533.0,252.8
534.0,252.8
534.8,252.0
534.8,251.0
535.0,250.8
536.0,250.8
536.8,250.0
536.8,249.0
536.8,248.0
536.8,247.0
537.0,246.8
538.0,246.8
538.8,246.0
538.8,245.0
539.0,244.8
540.0,244.8
541.0,244.8
542.0,244.8
542.8,244.0
542.8,243.0
543.0,242.8
544.0,242.8
545.0,242.8
546.0,242.8
547.0,242.8
548.0,242.8
548.8,242.0
548.8,241.0
549.0,240.8
550.0,240.8
551.0,240.8
552.0,240.8
552.8,240.0
552.8,239.0
553.0,238.8
554.0,238.8
555.0,238.8
556.0,238.8
556.8,238.0
556.8,237.0
557.0,236.8
558.0,236.8
559.0,236.8
560.0,236.8
560.8,236.0
560.8,235.0
560.8,234.0
560.8,233.0
560.8,232.0
560.8,231.0
561.0,230.8
562.0,230.8
562.8,230.0
562.8,229.0
563.0,228.8
564.0,228.8
564.8,228.0
564.8,227.0
565.0,226.8
566.0,226.8
567.0,226.8
568.0,226.8
569.0,226.8
570.0,226.8
570.8,226.0
570.8,225.0
571.0,224.8
572.0,224.8
573.0,224.8
574.0,224.8
575.0,224.8
575.8,224.0
575.0,223.2
574.0,223.2
573.8,223.0
573.0,222.2
572.0,222.2
571.8,222.0
571.0,221.2
570.0,221.2
569.8,221.0
569.0,220.2
568.0,220.2
567.0,220.2
566.0,220.2
565.0,220.2
564.0,220.2
563.0,220.2
562.8,220.0
562.0,219.2
561.8,219.0
561.0,218.2
560.8,218.0
560.0,217.2
559.0,217.2
558.8,217.0
558.0,216.2
557.0,216.2
556.8,216.0
556.0,215.2
555.0,215.2
554.0,215.2
553.0,215.2
552.0,215.2
551.0,215.2
550.0,215.2
549.0,215.2
548.0,215.2
547.8,215.0
547.0,214.2
546.0,214.2
545.0,214.2
544.8,214.0
544.0,213.2
543.0,213.2
542.8,213.0
542.0,212.2
541.0,212.2
540.8,212.0
540.0,211.2
539.8,211.0
539.0,210.2
538.0,210.2
537.8,210.0
537.0,209.2
536.8,209.0
536.0,208.2
535.8,208.0
535.0,207.2
534.0,207.2
533.8,207.0
533.0,206.2
532.0,206.2
531.0,206.2
530.0,206.2
529.8,206.0
529.0,205.2
528.0,205.2
527.0,205.2
526.0,205.2
525.8,205.0
525.0,204.2
524.0,204.2
523.0,204.2
522.0,204.2
521.0,204.2
520.2,205.0
520.0,205.2
519.0,205.2
518.2,206.0
518.0,206.2
517.0,206.2
516.2,207.0
516.2,208.0
516.0,208.2
515.0,208.2
514.0,208.2
513.0,208.2
512.2,209.0
512.2,210.0
512.0,210.2
511.0,210.2
510.2,211.0
510.2,212.0
510.0,212.2
509.0,212.2
508.0,212.2
507.0,212.2
506.2,213.0
506.2,214.0
506.0,214.2
505.0,214.2
504.2,215.0
504.2,216.0
504.0,216.2
503.0,216.2
502.8,216.0
502.8,215.0
502.0,214.2
501.0,214.2
500.0,214.2
499.2,215.0
499.0,215.2
498.0,215.2
497.2,216.0
497.0,216.2
496.0,216.2
495.2,217.0
495.0,217.2
494.0,217.2
493.2,218.0
493.0,218.2
492.0,218.2
491.2,219.0
491.0,219.2
490.2,220.0
490.0,220.2
489.0,220.2
488.2,221.0
488.2,222.0
488.0,222.2
487.0,222.2
486.2,223.0
486.2,224.0
486.0,224.2
485.0,224.2
484.0,224.2
483.0,224.2
482.2,225.0
482.2,226.0
482.0,226.2
481.2,227.0
481.0,227.2
480.2,228.0
480.2,229.0
480.2,230.0
480.0,230.2
479.2,231.0
479.0,231.2
478.2,232.0
478.0,232.2
477.2,233.0
477.0,233.2
476.2,234.0
476.0,234.2
475.2,235.0
475.0,235.2
474.2,236.0
474.2,237.0
474.2,238.0
474.0,238.2
473.2,239.0
473.0,239.2
472.2,240.0
472.2,241.0
472.2,242.0
472.0,242.2
471.2,243.0
471.0,243.2
470.2,244.0
470.2,245.0
470.2,246.0
470.0,246.2
469.2,247.0
469.0,247.2
468.2,248.0
468.0,248.2
