x,y
454.8,676.0
454.8,675.0
455.0,674.8
456.0,674.8
457.0,674.8
457.8,674.0
458.0,673.8
458.8,673.0
459.0,672.8
459.8,672.0
460.0,671.8
460.8,671.0
461.0,670.8
461.8,670.0
462.0,669.8
462.8,669.0
463.0,668.8
464.0,668.8
465.0,668.8
466.0,668.8
467.0,668.8
467.8,668.0
468.0,667.8
468.8,667.0
469.0,666.8
469.8,666.0
470.0,665.8
470.8,665.0
471.0,664.8
471.8,664.0
472.0,663.8
472.8,663.0
473.0,662.8
473.8,662.0
474.0,661.8
474.8,661.0
474.8,660.0
474.8,659.0
475.0,658.8
475.8,658.0
476.0,657.8
477.0,657.8
477.2,658.0
478.0,658.8
479.0,658.8
480.0,658.8
480.2,659.0
481.0,659.8
481.2,660.0
482.0,660.8
483.0,660.8
484.0,660.8
484.2,661.0
485.0,661.8
485.2,662.0
486.0,662.8
486.2,663.0
487.0,663.8
487.2,664.0
488.0,664.8
488.2,665.0
489.0,665.8
489.2,666.0
490.0,666.8
491.0,666.8
492.0,666.8
493.0,666.8
494.0,666.8
495.0,666.8
496.0,666.8
497.0,666.8
497.8,666.0
498.0,665.8
498.8,665.0
499.0,664.8
499.8,664.0
500.0,663.8
500.8,663.0
500.8,662.0
500.8,661.0
500.8,660.0
500.8,659.0
501.0,658.8
501.8,658.0
502.0,657.8
502.8,657.0
502.8,656.0
502.8,655.0
502.8,654.0
502.8,653.0
502.8,652.0
502.8,651.0
502.8,650.0
502.8,649.0
502.0,648.2
501.8,648.0
501.0,647.2
500.0,647.2
499.0,647.2
498.0,647.2
497.0,647.2
496.0,647.2
495.0,647.2
494.0,647.2
493.0,647.2
492.0,647.2
491.0,647.2
490.0,647.2
489.0,647.2
488.0,647.2
487.0,647.2
486.0,647.2
485.0,647.2
484.8,647.0
485.0,646.8
486.0,646.8
487.0,646.8
488.0,646.8
489.0,646.8
490.0,646.8
491.0,646.8
492.0,646.8
493.0,646.8
494.0,646.8
495.0,646.8
496.0,646.8
497.0,646.8
498.0,646.8
499.0,646.8
500.0,646.8
501.0,646.8
502.0,646.8
502.8,646.0
502.8,645.0
502.8,644.0
502.0,643.2
501.8,643.0
501.0,642.2
500.8,642.0
500.8,641.0
500.8,640.0
500.8,639.0
500.8,638.0
500.8,637.0
500.8,636.0
500.8,635.0
500.8,634.0
500.0,633.2
499.8,633.0
499.0,632.2
498.8,632.0
498.0,631.2
497.8,631.0
497.0,630.2
496.8,630.0
496.0,629.2
495.8,629.0
495.0,628.2
494.0,628.2
493.0,628.2
492.2,629.0
492.0,629.2
491.0,629.2
490.8,629.0
490.8,628.0
490.8,627.0
490.8,626.0
490.8,625.0
490.8,624.0
490.0,623.2
489.8,623.0
489.0,622.2
488.8,622.0
488.0,621.2
487.8,621.0
487.0,620.2
486.8,620.0
486.0,619.2
485.8,619.0
485.0,618.2
484.0,618.2
483.0,618.2
482.0,618.2
481.0,618.2
480.0,618.2
479.0,618.2
478.0,618.2
477.0,618.2
476.0,618.2
475.0,618.2
474.0,618.2
473.0,618.2
472.0,618.2
471.0,618.2
470.0,618.2
469.0,618.2
468.0,618.2
467.0,618.2
466.0,618.2
465.2,619.0
465.0,619.2
464.0,619.2
463.8,619.0
463.0,618.2
462.0,618.2
461.2,619.0
461.0,619.2
460.2,620.0
460.0,620.2
459.2,621.0
459.0,621.2
458.2,622.0
458.0,622.2
457.2,623.0
457.0,623.2
456.2,624.0
456.0,624.2
455.2,625.0
455.0,625.2
454.2,626.0
454.2,627.0
455.0,627.8
455.2,628.0
455.2,629.0
455.0,629.2
454.2,630.0
454.2,631.0
455.0,631.8
455.2,632.0
456.0,632.8
456.2,633.0
456.2,634.0
456.2,635.0
457.0,635.8
457.2,636.0
458.0,636.8
458.2,637.0
459.0,637.8
459.2,638.0
460.0,638.8
460.2,639.0
460.2,640.0
460.0,640.2
459.2,641.0
459.0,641.2
458.2,642.0
458.0,642.2
457.2,643.0
457.0,643.2
456.2,644.0
456.0,644.2
455.2,645.0
455.0,645.2
454.2,646.0
454.0,646.2
453.2,647.0
453.0,647.2
452.2,648.0
452.0,648.2
451.2,649.0
451.0,649.2
450.2,650.0
450.2,651.0
450.2,652.0
450.0,652.2
449.2,653.0
449.0,653.2
448.2,654.0
448.0,654.2
447.0,654.2
446.0,654.2
445.2,655.0
445.0,655.2
444.2,656.0
444.0,656.2
443.2,657.0
443.0,657.2
442.2,658.0
442.0,658.2
441.2,659.0
441.0,659.2
440.2,660.0
440.2,661.0
440.2,662.0
440.2,663.0
440.2,664.0
440.2,665.0
440.2,666.0
440.2,667.0
440.2,668.0
440.2,669.0
440.2,670.0
440.2,671.0
440.2,672.0
440.2,673.0
440.2,674.0
440.2,675.0
440.2,676.0
441.0,676.8
442.0,676.8
443.0,676.8
444.0,676.8
445.0,676.8
446.0,676.8
447.0,676.8
448.0,676.8
449.0,676.8
450.0,676.8
451.0,676.8
452.0,676.8
453.0,676.8
454.0,676.8
454.8,676.0
