x,y
476.8,428.0
476.8,427.0
477.0,426.8
478.0,426.8
478.8,426.0
478.8,425.0
479.0,424.8
480.0,424.8
481.0,424.8
481.8,424.0
481.8,423.0
481.8,422.0
482.0,421.8
482.8,421.0
482.8,420.0
482.8,419.0
483.0,418.8
483.8,418.0
483.8,417.0
483.8,416.0
483.8,415.0
483.8,414.0
483.8,413.0
483.8,412.0
483.8,411.0
483.8,410.0
484.0,409.8
484.8,409.0
484.8,408.0
484.8,407.0
484.8,406.0
484.8,405.0
484.8,404.0
484.8,403.0
484.8,402.0
484.8,401.0
484.8,400.0
484.8,399.0
484.0,398.2
483.0,398.2
482.8,398.0
482.8,397.0
482.0,396.2
481.0,396.2
480.0,396.2
479.8,396.0
479.0,395.2
478.8,395.0
478.0,394.2
477.8,394.0
477.8,393.0
477.0,392.2
476.0,392.2
475.8,392.0
475.0,391.2
474.0,391.2
473.8,391.0
473.0,390.2
472.8,390.0
472.8,389.0
472.8,388.0
472.8,387.0
472.0,386.2
471.0,386.2
470.0,386.2
469.0,386.2
468.0,386.2
467.0,386.2
466.8,386.0
466.8,385.0
466.0,384.2
465.0,384.2
464.8,384.0
464.8,383.0
464.0,382.2
463.0,382.2
462.8,382.0
462.0,381.2
461.8,381.0
461.0,380.2
460.8,380.0
460.8,379.0
460.0,378.2
459.0,378.2
458.8,378.0
458.8,377.0
458.8,376.0
458.8,375.0
458.0,374.2
457.0,374.2
456.8,374.0
456.8,373.0
456.8,372.0
456.8,371.0
456.0,370.2
455.0,370.2
454.8,370.0
454.8,369.0
454.8,368.0
454.8,367.0
454.0,366.2
453.2,367.0
453.0,367.2
452.2,368.0
452.2,369.0
452.2,370.0
452.2,371.0
452.2,372.0
452.0,372.2
451.0,372.2
450.0,372.2
449.0,372.2
448.0,372.2
447.0,372.2
446.8,372.0
446.8,371.0
446.8,370.0
446.8,369.0
446.0,368.2
445.0,368.2
444.2,369.0
444.2,370.0
444.0,370.2
443.0,370.2
442.8,370.0
442.8,369.0
442.0,368.2
441.0,368.2
440.0,368.2
439.0,368.2
438.0,368.2
437.0,368.2
436.2,369.0
436.2,370.0
436.2,371.0
436.2,372.0
436.2,373.0
436.2,374.0
436.2,375.0
436.2,376.0
437.0,376.8
437.2,377.0
437.2,378.0
438.0,378.8
438.2,379.0
438.2,380.0
439.0,380.8
440.0,380.8
440.2,381.0
440.2,382.0
440.0,382.2
439.0,382.2
438.0,382.2
437.0,382.2
436.0,382.2
435.0,382.2
434.2,383.0
434.2,384.0
434.2,385.0
434.2,386.0
434.2,387.0
434.2,388.0
435.0,388.8
436.0,388.8
436.2,389.0
436.2,390.0
437.0,390.8
438.0,390.8
438.2,391.0
438.2,392.0
439.0,392.8
440.0,392.8
440.2,393.0
441.0,393.8
441.2,394.0
442.0,394.8
442.2,395.0
442.2,396.0
443.0,396.8
444.0,396.8
444.2,397.0
444.2,398.0
444.2,399.0
444.2,400.0
445.0,400.8
446.0,400.8
446.2,401.0
446.2,402.0
446.2,403.0
446.2,404.0
446.2,405.0
446.2,406.0
447.0,406.8
448.0,406.8
448.2,407.0
448.2,408.0
448.2,409.0
448.2,410.0
448.2,411.0
449.0,411.8
449.2,412.0
450.0,412.8
450.2,413.0
450.2,414.0
450.2,415.0
450.2,416.0
451.0,416.8
452.0,416.8
452.2,417.0
452.2,418.0
452.2,419.0
453.0,419.8
453.2,420.0
454.0,420.8
455.0,420.8
455.2,421.0
456.0,421.8
456.2,422.0
456.2,423.0
457.0,423.8
458.0,423.8
459.0,423.8
459.2,424.0
459.2,425.0
460.0,425.8
460.2,426.0
461.0,426.8
462.0,426.8
462.2,427.0
463.0,427.8
463.2,428.0
464.0,428.8
465.0,428.8
466.0,428.8
467.0,428.8
468.0,428.8
469.0,428.8
470.0,428.8
471.0,428.8
472.0,428.8
473.0,428.8
474.0,428.8
474.8,428.0
475.0,427.8
475.2,428.0
476.0,428.8
476.8,428.0
