x,y
430.8,602.0
431.0,601.8
431.8,601.0
432.0,600.8
433.0,600.8
434.0,600.8
435.0,600.8
436.0,600.8
437.0,600.8
438.0,600.8
439.0,600.8
439.8,600.0
440.0,599.8
440.8,599.0
441.0,598.8
442.0,598.8
443.0,598.8
444.0,598.8
445.0,598.8
445.8,598.0
446.0,597.8
447.0,597.8
448.0,597.8
449.0,597.8
449.8,597.0
450.0,596.8
450.8,596.0
451.0,595.8
452.0,595.8
453.0,595.8
453.8,595.0
454.0,594.8
455.0,594.8
455.8,594.0
456.0,593.8
457.0,593.8
458.0,593.8
459.0,593.8
460.0,593.8
461.0,593.8
462.0,593.8
463.0,593.8
464.0,593.8
465.0,593.8
466.0,593.8
467.0,593.8
468.0,593.8
469.0,593.8
470.0,593.8
471.0,593.8
471.8,593.0
472.0,592.8
472.8,592.0
472.8,591.0
472.0,590.2
471.8,590.0
471.0,589.2
470.8,589.0
470.8,588.0
470.0,587.2
469.8,587.0
469.0,586.2
468.0,586.2
467.8,586.0
467.0,585.2
466.8,585.0
466.0,584.2
465.8,584.0
465.0,583.2
464.8,583.0
464.8,582.0
464.0,581.2
463.8,581.0
463.0,580.2
462.8,580.0
462.0,579.2
461.8,579.0
461.8,578.0
461.8,577.0
461.0,576.2
460.8,576.0
460.8,575.0
460.0,574.2
459.8,574.0
459.8,573.0
459.0,572.2
458.8,572.0
458.0,571.2
457.8,571.0
457.0,570.2
456.8,570.0
456.0,569.2
455.8,569.0
455.8,568.0
455.0,567.2
454.8,567.0
454.0,566.2
453.8,566.0
453.0,565.2
452.8,565.0
452.0,564.2
451.8,564.0
451.0,563.2
450.8,563.0
450.0,562.2
449.0,562.2
448.8,562.0
448.0,561.2
447.8,561.0
447.0,560.2
446.8,560.0
446.0,559.2
445.0,559.2
444.8,559.0
444.0,558.2
443.0,558.2
442.8,558.0
442.0,557.2
441.0,557.2
440.8,557.0
440.0,556.2
439.0,556.2
438.8,556.0
438.0,555.2
437.8,555.0
437.0,554.2
436.0,554.2
435.8,554.0
435.0,553.2
434.0,553.2
433.0,553.2
432.0,553.2
431.8,553.0
431.0,552.2
430.0,552.2
429.0,552.2
428.0,552.2
427.8,552.0
427.0,551.2
426.0,551.2
425.0,551.2
424.0,551.2
423.0,551.2
422.0,551.2
421.0,551.2
420.0,551.2
419.0,551.2
418.0,551.2
417.0,551.2
416.0,551.2
415.0,551.2
414.0,551.2
413.0,551.2
412.0,551.2
411.0,551.2
410.0,551.2
409.0,551.2
408.0,551.2
407.0,551.2
406.0,551.2
405.2,552.0
405.0,552.2
404.0,552.2
403.0,552.2
402.0,552.2
401.0,552.2
400.0,552.2
399.0,552.2
398.2,553.0
398.0,553.2
397.0,553.2
396.0,553.2
395.2,554.0
395.0,554.2
394.0,554.2
393.0,554.2
392.0,554.2
391.2,555.0
391.0,555.2
390.0,555.2
389.0,555.2
388.0,555.2
387.0,555.2
386.0,555.2
385.0,555.2
384.2,556.0
384.0,556.2
383.0,556.2
382.2,557.0
382.0,557.2
381.0,557.2
380.0,557.2
379.2,558.0
379.0,558.2
378.0,558.2
377.0,558.2
376.0,558.2
375.0,558.2
374.0,558.2
373.0,558.2
372.0,558.2
371.0,558.2
370.0,558.2
369.0,558.2
368.0,558.2
367.8,558.0
367.0,557.2
366.0,557.2
365.0,557.2
364.0,557.2
363.8,557.0
363.0,556.2
362.0,556.2
361.0,556.2
360.2,557.0
360.2,558.0
361.0,558.8
361.2,559.0
362.0,559.8
362.2,560.0
362.2,561.0
363.0,561.8
364.0,561.8
365.0,561.8
365.2,562.0
366.0,562.8
366.2,563.0
367.0,563.8
368.0,563.8
369.0,563.8
369.2,564.0
370.0,564.8
371.0,564.8
372.0,564.8
373.0,564.8
374.0,564.8
375.0,564.8
375.2,565.0
375.0,565.2
374.0,565.2
373.0,565.2
372.0,565.2
371.0,565.2
370.2,566.0
370.0,566.2
369.0,566.2
368.8,566.0
368.8,565.0
368.0,564.2
367.0,564.2
366.0,564.2
365.0,564.2
364.2,565.0
364.2,566.0
364.2,567.0
364.0,567.2
363.0,567.2
362.0,567.2
361.0,567.2
360.0,567.2
359.0,567.2
358.2,568.0
358.0,568.2
357.0,568.2
356.8,568.0
356.0,567.2
355.0,567.2
354.0,567.2
353.2,568.0
353.2,569.0
353.0,569.2
352.0,569.2
351.0,569.2
350.0,569.2
349.2,570.0
349.0,570.2
348.0,570.2
347.0,570.2
346.0,570.2
345.2,571.0
345.0,571.2
344.0,571.2
343.0,571.2
342.0,571.2
341.0,571.2
340.2,572.0
340.0,572.2
339.0,572.2
338.0,572.2
337.2,573.0
337.0,573.2
336.2,574.0
336.0,574.2
335.0,574.2
334.0,574.2
333.0,574.2
332.2,575.0
332.0,575.2
331.2,576.0
331.0,576.2
330.0,576.2
329.2,577.0
329.2,578.0
329.2,579.0
329.2,580.0
329.2,581.0
330.0,581.8
331.0,581.8
332.0,581.8
333.0,581.8
334.0,581.8
334.8,581.0
335.0,580.8
336.0,580.8
337.0,580.8
337.8,580.0
338.0,579.8
339.0,579.8
339.8,579.0
340.0,578.8
341.0,578.8
341.8,578.0
342.0,577.8
343.0,577.8
344.0,577.8
345.0,577.8
346.0,577.8
347.0,577.8
348.0,577.8
349.0,577.8
350.0,577.8
350.8,577.0
351.0,576.8
352.0,576.8
353.0,576.8
354.0,576.8
355.0,576.8
356.0,576.8
357.0,576.8
358.0,576.8
359.0,576.8
360.0,576.8
361.0,576.8
362.0,576.8
363.0,576.8
364.0,576.8
365.0,576.8
366.0,576.8
367.0,576.8
368.0,576.8
369.0,576.8
370.0,576.8
371.0,576.8
372.0,576.8
373.0,576.8
374.0,576.8
375.0,576.8
376.0,576.8
377.0,576.8
378.0,576.8
378.2,577.0
379.0,577.8
380.0,577.8
381.0,577.8
382.0,577.8
383.0,577.8
384.0,577.8
385.0,577.8
386.0,577.8
387.0,577.8
388.0,577.8
388.2,578.0
388.0,578.2
387.0,578.2
386.0,578.2
385.0,578.2
384.0,578.2
383.0,578.2
382.0,578.2
381.0,578.2
380.0,578.2
379.0,578.2
378.0,578.2
377.0,578.2
376.0,578.2
375.0,578.2
374.0,578.2
373.0,578.2
372.0,578.2
371.0,578.2
370.0,578.2
369.0,578.2
368.0,578.2
367.2,579.0
367.0,579.2
366.0,579.2
365.0,579.2
364.0,579.2
363.2,580.0
363.0,580.2
362.0,580.2
361.0,580.2
360.0,580.2
359.2,581.0
359.0,581.2
358.2,582.0
358.0,582.2
357.0,582.2
356.2,583.0
356.0,583.2
355.0,583.2
354.0,583.2
353.0,583.2
352.0,583.2
351.2,584.0
351.0,584.2
350.0,584.2
349.0,584.2
348.2,585.0
348.0,585.2
347.2,586.0
347.0,586.2
346.2,587.0
346.0,587.2
345.0,587.2
344.2,588.0
344.2,589.0
344.2,590.0
344.2,591.0
344.2,592.0
344.2,593.0
345.0,593.8
346.0,593.8
347.0,593.8
347.8,593.0
347.8,592.0
348.0,591.8
348.8,591.0
349.0,590.8
350.0,590.8
350.8,590.0
351.0,589.8
351.8,589.0
352.0,588.8
353.0,588.8
353.8,588.0
354.0,587.8
354.8,587.0
355.0,586.8
356.0,586.8
357.0,586.8
358.0,586.8
358.8,586.0
359.0,585.8
360.0,585.8
361.0,585.8
362.0,585.8
363.0,585.8
364.0,585.8
365.0,585.8
365.2,586.0
366.0,586.8
367.0,586.8
368.0,586.8
369.0,586.8
370.0,586.8
371.0,586.8
372.0,586.8
373.0,586.8
374.0,586.8
375.0,586.8
376.0,586.8
377.0,586.8
378.0,586.8
378.2,587.0
379.0,587.8
379.2,588.0
380.0,588.8
381.0,588.8
382.0,588.8
383.0,588.8
383.2,589.0
384.0,589.8
385.0,589.8
386.0,589.8
387.0,589.8
387.2,590.0
388.0,590.8
389.0,590.8
389.2,591.0
390.0,591.8
391.0,591.8
392.0,591.8
392.2,592.0
393.0,592.8
393.2,593.0
394.0,593.8
394.2,594.0
395.0,594.8
395.2,595.0
395.2,596.0
395.2,597.0
396.0,597.8
397.0,597.8
398.0,597.8
399.0,597.8
400.0,597.8
401.0,597.8
402.0,597.8
402.2,598.0
403.0,598.8
404.0,598.8
405.0,598.8
406.0,598.8
406.2,599.0
407.0,599.8
408.0,599.8
409.0,599.8
410.0,599.8
411.0,599.8
412.0,599.8
412.2,600.0
413.0,600.8
414.0,600.8
415.0,600.8
416.0,600.8
417.0,600.8
417.2,601.0
418.0,601.8
419.0,601.8
420.0,601.8
421.0,601.8
422.0,601.8
423.0,601.8
424.0,601.8
425.0,601.8
426.0,601.8
427.0,601.8
428.0,601.8
429.0,601.8
429.2,602.0
430.0,602.8
430.8,602.0
