x,y
682.8,486.0
683.0,485.8
683.8,485.0
684.0,484.8
684.8,484.0
685.0,483.8
685.8,483.0
685.8,482.0
686.0,481.8
686.8,481.0
687.0,480.8
687.8,480.0
688.0,479.8
688.8,479.0
689.0,478.8
690.0,478.8
690.8,478.0
691.0,477.8
691.8,477.0
692.0,476.8
693.0,476.8
693.8,476.0
694.0,475.8
694.8,475.0
695.0,474.8
696.0,474.8
696.8,474.0
696.0,473.2
695.0,473.2
694.8,473.0
694.8,472.0
694.8,471.0
694.8,470.0
694.8,469.0
694.8,468.0
694.8,467.0
695.0,466.8
695.8,466.0
696.0,465.8
696.8,465.0
697.0,464.8
697.8,464.0
697.8,463.0
697.8,462.0
697.8,461.0
697.8,460.0
697.8,459.0
697.8,458.0
697.8,457.0
697.8,456.0
697.8,455.0
697.8,454.0
698.0,453.8
698.8,453.0
698.8,452.0
699.0,451.8
699.8,451.0
699.8,450.0
699.8,449.0
699.8,448.0
699.8,447.0
699.8,446.0
699.8,445.0
699.8,444.0
699.8,443.0
699.8,442.0
699.8,441.0
699.8,440.0
699.8,439.0
699.8,438.0
699.8,437.0
699.8,436.0
699.8,435.0
699.8,434.0
699.8,433.0
699.8,432.0
699.8,431.0
699.8,430.0
699.8,429.0
699.8,428.0
699.8,427.0
699.8,426.0
699.8,425.0
699.8,424.0
699.8,423.0
699.8,422.0
699.8,421.0
699.8,420.0
699.8,419.0
699.8,418.0
699.8,417.0
699.8,416.0
699.8,415.0
699.8,414.0
699.8,413.0
699.8,412.0
699.8,411.0
699.8,410.0
699.8,409.0
699.8,408.0
699.8,407.0
699.8,406.0
699.8,405.0
699.0,404.2
698.8,404.0
698.8,403.0
698.8,402.0
698.0,401.2
697.8,401.0
697.8,400.0
697.8,399.0
697.8,398.0
697.8,397.0
697.8,396.0
697.8,395.0
697.8,394.0
697.0,393.2
696.8,393.0
696.8,392.0
696.8,391.0
696.0,390.2
695.8,390.0
695.8,389.0
695.0,388.2
694.8,388.0
694.8,387.0
694.8,386.0
694.8,385.0
694.8,384.0
694.0,383.2
693.8,383.0
693.8,382.0
693.8,381.0
693.8,380.0
693.0,379.2
692.8,379.0
692.8,378.0
692.8,377.0
692.8,376.0
692.0,375.2
691.8,375.0
691.8,374.0
691.8,373.0
691.0,372.2
690.8,372.0
690.8,371.0
690.0,370.2
689.8,370.0
689.0,369.2
688.8,369.0
688.8,368.0
688.8,367.0
688.8,366.0
688.0,365.2
687.8,365.0
687.8,364.0
687.0,363.2
686.8,363.0
686.8,362.0
686.0,361.2
685.8,361.0
685.8,360.0
685.8,359.0
685.8,358.0
685.0,357.2
684.8,357.0
684.8,356.0
684.0,355.2
683.8,355.0
683.8,354.0
683.8,353.0
683.0,352.2
682.8,352.0
682.8,351.0
682.8,350.0
682.0,349.2
681.8,349.0
681.8,348.0
681.8,347.0
681.0,346.2
680.8,346.0
680.8,345.0
680.8,344.0
680.0,343.2
679.8,343.0
679.8,342.0
679.8,341.0
679.0,340.2
678.8,340.0
678.8,339.0
678.8,338.0
678.8,337.0
678.0,336.2
677.8,336.0
677.8,335.0
677.8,334.0
677.8,333.0
677.0,332.2
676.8,332.0
676.8,331.0
676.8,330.0
676.0,329.2
675.8,329.0
675.8,328.0
675.8,327.0
675.0,326.2
674.8,326.0
674.8,325.0
674.8,324.0
674.8,323.0
674.8,322.0
674.8,321.0
674.0,320.2
673.8,320.0
673.8,319.0
673.8,318.0
673.0,317.2
672.8,317.0
672.8,316.0
672.8,315.0
672.8,314.0
672.8,313.0
672.8,312.0
672.8,311.0
672.8,310.0
672.0,309.2
671.8,309.0
671.0,308.2
670.8,308.0
670.8,307.0
670.8,306.0
670.0,305.2
669.8,305.0
669.8,304.0
669.8,303.0
669.8,302.0
669.8,301.0
669.8,300.0
669.8,299.0
669.8,298.0
669.0,297.2
668.8,297.0
668.8,296.0
668.8,295.0
668.8,294.0
668.0,293.2
667.8,293.0
667.8,292.0
667.8,291.0
667.8,290.0
667.8,289.0
667.8,288.0
667.8,287.0
667.8,286.0
667.8,285.0
667.8,284.0
667.8,283.0
667.0,282.2
666.8,282.0
666.8,281.0
666.8,280.0
666.8,279.0
666.0,278.2
665.8,278.0
665.8,277.0
665.8,276.0
665.8,275.0
665.0,274.2
664.8,274.0
664.8,273.0
664.8,272.0
664.0,271.2
663.8,271.0
663.8,270.0
663.0,269.2
662.8,269.0
662.0,268.2
661.8,268.0
661.0,267.2
660.8,267.0
660.0,266.2
659.8,266.0
659.0,265.2
658.8,265.0
658.0,264.2
657.8,264.0
657.0,263.2
656.8,263.0
656.0,262.2
655.0,262.2
654.8,262.0
654.0,261.2
653.0,261.2
652.8,261.0
652.0,260.2
651.8,260.0
651.0,259.2
650.0,259.2
649.2,260.0
649.0,260.2
648.2,261.0
649.0,261.8
649.2,262.0
649.2,263.0
650.0,263.8
650.2,264.0
650.2,265.0
651.0,265.8
651.2,266.0
652.0,266.8
652.2,267.0
652.2,268.0
653.0,268.8
653.2,269.0
654.0,269.8
654.2,270.0
655.0,270.8
655.2,271.0
655.2,272.0
656.0,272.8
656.2,273.0
656.2,274.0
657.0,274.8
657.2,275.0
657.2,276.0
658.0,276.8
658.2,277.0
659.0,277.8
659.2,278.0
659.2,279.0
659.2,280.0
659.2,281.0
659.2,282.0
660.0,282.8
660.2,283.0
660.2,284.0
660.2,285.0
660.2,286.0
660.2,287.0
660.2,288.0
660.2,289.0
661.0,289.8
661.2,290.0
661.2,291.0
661.2,292.0
661.2,293.0
661.2,294.0
661.2,295.0
661.2,296.0
661.2,297.0
661.2,298.0
662.0,298.8
662.2,299.0
662.2,300.0
662.2,301.0
662.2,302.0
662.2,303.0
662.0,303.2
661.2,304.0
661.2,305.0
661.2,306.0
661.2,307.0
661.2,308.0
661.2,309.0
661.2,310.0
661.2,311.0
661.2,312.0
661.2,313.0
661.2,314.0
661.2,315.0
661.2,316.0
661.2,317.0
661.2,318.0
662.0,318.8
662.2,319.0
662.2,320.0
662.2,321.0
662.2,322.0
663.0,322.8
663.2,323.0
663.2,324.0
663.2,325.0
664.0,325.8
664.2,326.0
664.2,327.0
664.2,328.0
664.2,329.0
665.0,329.8
665.2,330.0
665.2,331.0
