x,y
999.0,424.2
998.8,424.0
998.0,423.2
997.0,423.2
996.2,424.0
996.0,424.2
995.0,424.2
994.0,424.2
993.0,424.2
992.8,424.0
992.0,423.2
991.0,423.2
990.2,424.0
990.0,424.2
989.8,424.0
989.0,423.2
988.0,423.2
987.2,424.0
988.0,424.8
988.2,425.0
988.2,426.0
988.2,427.0
988.2,428.0
988.0,428.2
987.2,429.0
987.2,430.0
988.0,430.8
989.0,430.8
990.0,430.8
991.0,430.8
991.2,431.0
991.2,432.0
991.2,433.0
991.2,434.0
992.0,434.8
993.0,434.8
994.0,434.8
994.2,435.0
995.0,435.8
995.2,436.0
996.0,436.8
997.0,436.8
997.2,437.0
997.0,437.2
996.0,437.2
995.0,437.2
994.8,437.0
994.0,436.2
993.0,436.2
992.8,436.0
992.0,435.2
991.2,436.0
991.2,437.0
992.0,437.8
993.0,437.8
994.0,437.8
994.2,438.0
995.0,438.8
996.0,438.8
997.0,438.8
998.0,438.8
998.2,439.0
999.0,439.8
