x,y
323.8,882.0
323.8,881.0
323.8,880.0
324.0,879.8
325.0,879.8
325.2,880.0
325.2,881.0
326.0,881.8
326.8,881.0
326.8,880.0
326.0,879.2
325.8,879.0
325.8,878.0
325.8,877.0
325.8,876.0
325.0,875.2
324.2,876.0
324.0,876.2
323.8,876.0
323.8,875.0
323.8,874.0
323.0,873.2
322.8,873.0
323.0,872.8
324.0,872.8
324.8,872.0
324.0,871.2
323.0,871.2
322.0,871.2
321.2,872.0
321.0,872.2
320.8,872.0
320.0,871.2
319.8,871.0
319.8,870.0
319.8,869.0
319.0,868.2
318.2,869.0
318.2,870.0
318.2,871.0
318.0,871.2
317.0,871.2
316.8,871.0
316.0,870.2
315.0,870.2
314.0,870.2
313.8,870.0
313.0,869.2
312.8,869.0
312.0,868.2
311.8,868.0
311.0,867.2
310.8,867.0
311.0,866.8
311.8,866.0
312.0,865.8
313.0,865.8
314.0,865.8
314.8,865.0
314.0,864.2
313.0,864.2
312.0,864.2
311.8,864.0
311.8,863.0
311.0,862.2
310.0,862.2
309.8,862.0
309.8,861.0
309.8,860.0
309.0,859.2
308.0,859.2
307.0,859.2
306.8,859.0
306.8,858.0
307.0,857.8
308.0,857.8
308.2,858.0
309.0,858.8
310.0,858.8
310.2,859.0
310.2,860.0
311.0,860.8
311.8,860.0
311.8,859.0
311.0,858.2
310.8,858.0
310.8,857.0
310.0,856.2
309.0,856.2
308.0,856.2
307.8,856.0
307.0,855.2
306.2,856.0
306.2,857.0
306.0,857.2
305.0,857.2
304.0,857.2
303.8,857.0
304.0,856.8
304.8,856.0
304.0,855.2
303.8,855.0
303.8,854.0
303.0,853.2
302.2,854.0
302.2,855.0
302.0,855.2
301.2,856.0
301.0,856.2
300.8,856.0
300.0,855.2
299.8,855.0
299.8,854.0
299.8,853.0
299.8,852.0
299.8,851.0
299.8,850.0
299.8,849.0
299.8,848.0
299.0,847.2
298.0,847.2
297.0,847.2
296.0,847.2
295.8,847.0
295.0,846.2
294.8,846.0
294.0,845.2
293.0,845.2
292.2,846.0
292.0,846.2
291.2,847.0
291.0,847.2
290.2,848.0
290.0,848.2
289.8,848.0
289.8,847.0
289.8,846.0
289.8,845.0
289.0,844.2
288.0,844.2
287.0,844.2
286.8,844.0
286.8,843.0
287.0,842.8
287.8,842.0
287.8,841.0
287.8,840.0
287.0,839.2
286.0,839.2
285.0,839.2
284.0,839.2
283.0,839.2
282.8,839.0
282.8,838.0
282.8,837.0
282.0,836.2
281.2,837.0
281.2,838.0
281.0,838.2
280.2,839.0
280.0,839.2
279.8,839.0
279.0,838.2
278.2,839.0
278.0,839.2
277.8,839.0
277.0,838.2
276.0,838.2
275.0,838.2
274.8,838.0
274.0,837.2
273.8,837.0
273.8,836.0
273.8,835.0
273.8,834.0
273.8,833.0
273.8,832.0
273.0,831.2
272.0,831.2
271.2,832.0
271.2,833.0
271.0,833.2
270.2,834.0
270.2,835.0
270.0,835.2
269.0,835.2
268.8,835.0
268.0,834.2
267.0,834.2
266.0,834.2
265.0,834.2
264.8,834.0
264.8,833.0
264.0,832.2
263.2,833.0
263.2,834.0
264.0,834.8
264.2,835.0
264.2,836.0
264.2,837.0
264.0,837.2
263.2,838.0
263.0,838.2
262.0,838.2
261.0,838.2
260.0,838.2
259.0,838.2
258.0,838.2
257.0,838.2
256.0,838.2
255.8,838.0
255.0,837.2
254.2,838.0
254.2,839.0
254.2,840.0
254.2,841.0
254.2,842.0
254.0,842.2
253.2,843.0
253.2,844.0
253.2,845.0
253.2,846.0
253.0,846.2
252.0,846.2
251.8,846.0
251.8,845.0
251.8,844.0
251.8,843.0
251.0,842.2
250.2,843.0
250.0,843.2
249.8,843.0
249.8,842.0
249.8,841.0
250.0,840.8
250.8,840.0
250.0,839.2
249.2,840.0
249.0,840.2
248.0,840.2
247.8,840.0
247.0,839.2
246.0,839.2
245.8,839.0
245.8,838.0
245.8,837.0
245.0,836.2
