x,y
282.8,535.0
282.0,534.2
281.0,534.2
280.8,534.0
281.0,533.8
282.0,533.8
282.8,533.0
283.0,532.8
284.0,532.8
284.2,533.0
285.0,533.8
285.8,533.0
285.0,532.2
284.8,532.0
284.0,531.2
283.0,531.2
282.0,531.2
281.0,531.2
280.0,531.2
279.8,531.0
280.0,530.8
281.0,530.8
282.0,530.8
283.0,530.8
284.0,530.8
285.0,530.8
285.8,530.0
286.0,529.8
287.0,529.8
288.0,529.8
288.8,529.0
289.0,528.8
289.8,528.0
290.0,527.8
290.8,527.0
291.0,526.8
292.0,526.8
293.0,526.8
294.0,526.8
294.2,527.0
295.0,527.8
296.0,527.8
296.8,527.0
296.8,526.0
297.0,525.8
297.8,525.0
297.0,524.2
296.8,524.0
297.0,523.8
298.0,523.8
298.2,524.0
299.0,524.8
300.0,524.8
300.8,524.0
301.0,523.8
301.2,524.0
302.0,524.8
302.8,524.0
302.0,523.2
301.8,523.0
302.0,522.8
303.0,522.8
303.8,522.0
303.0,521.2
302.0,521.2
301.8,521.0
302.0,520.8
302.8,520.0
303.0,519.8
304.0,519.8
304.8,519.0
305.0,518.8
305.2,519.0
306.0,519.8
306.8,519.0
306.0,518.2
305.8,518.0
306.0,517.8
307.0,517.8
307.8,517.0
307.8,516.0
308.0,515.8
308.2,516.0
309.0,516.8
309.8,516.0
310.0,515.8
311.0,515.8
311.8,515.0
311.0,514.2
310.8,514.0
311.0,513.8
312.0,513.8
312.8,513.0
313.0,512.8
313.8,512.0
313.8,511.0
314.0,510.8
314.8,510.0
314.8,509.0
315.0,508.8
315.8,508.0
316.0,507.8
316.2,508.0
316.2,509.0
316.2,510.0
316.2,511.0
316.0,511.2
315.2,512.0
315.2,513.0
315.0,513.2
314.2,514.0
314.0,514.2
313.0,514.2
312.2,515.0
313.0,515.8
314.0,515.8
314.8,515.0
315.0,514.8
315.8,514.0
316.0,513.8
316.8,513.0
316.8,512.0
317.0,511.8
317.8,511.0
317.8,510.0
317.8,509.0
317.8,508.0
317.8,507.0
317.0,506.2
316.8,506.0
317.0,505.8
318.0,505.8
318.8,505.0
318.8,504.0
318.8,503.0
319.0,502.8
319.8,502.0
319.8,501.0
320.0,500.8
320.8,500.0
321.0,499.8
321.8,499.0
321.8,498.0
322.0,497.8
322.8,497.0
322.8,496.0
323.0,495.8
323.8,495.0
323.8,494.0
324.0,493.8
324.8,493.0
324.8,492.0
325.0,491.8
325.8,491.0
325.8,490.0
326.0,489.8
326.8,489.0
327.0,488.8
327.8,488.0
327.8,487.0
328.0,486.8
329.0,486.8
329.2,487.0
330.0,487.8
331.0,487.8
331.8,487.0
331.8,486.0
332.0,485.8
332.8,485.0
332.8,484.0
332.0,483.2
331.2,484.0
331.0,484.2
330.2,485.0
330.2,486.0
330.0,486.2
329.8,486.0
329.8,485.0
329.8,484.0
330.0,483.8
330.8,483.0
330.8,482.0
330.8,481.0
331.0,480.8
331.8,480.0
332.0,479.8
332.8,479.0
332.0,478.2
331.8,478.0
332.0,477.8
332.8,477.0
332.8,476.0
333.0,475.8
333.8,475.0
333.8,474.0
334.0,473.8
334.8,473.0
334.8,472.0
335.0,471.8
335.8,471.0
335.8,470.0
336.0,469.8
336.8,469.0
337.0,468.8
337.8,468.0
337.8,467.0
338.0,466.8
338.8,466.0
338.8,465.0
339.0,464.8
339.2,465.0
339.2,466.0
340.0,466.8
340.8,466.0
340.8,465.0
340.8,464.0
340.0,463.2
339.8,463.0
340.0,462.8
340.8,462.0
340.8,461.0
341.0,460.8
341.2,461.0
342.0,461.8
342.8,461.0
342.8,460.0
342.0,459.2
341.8,459.0
341.8,458.0
342.0,457.8
343.0,457.8
343.8,457.0
343.8,456.0
343.8,455.0
344.0,454.8
344.2,455.0
345.0,455.8
346.0,455.8
346.8,455.0
347.0,454.8
347.8,454.0
347.8,453.0
348.0,452.8
348.8,452.0
348.0,451.2
347.0,451.2
346.2,452.0
346.2,453.0
346.2,454.0
346.0,454.2
345.0,454.2
344.8,454.0
344.8,453.0
345.0,452.8
345.8,452.0
345.8,451.0
346.0,450.8
346.8,450.0
346.8,449.0
346.8,448.0
347.0,447.8
347.2,448.0
347.2,449.0
348.0,449.8
348.8,449.0
349.0,448.8
349.8,448.0
350.0,447.8
350.2,448.0
350.2,449.0
351.0,449.8
351.8,449.0
351.8,448.0
351.0,447.2
350.8,447.0
350.0,446.2
349.8,446.0
349.8,445.0
349.0,444.2
348.8,444.0
349.0,443.8
349.8,443.0
350.0,442.8
350.8,442.0
350.8,441.0
351.0,440.8
351.8,440.0
351.8,439.0
352.0,438.8
352.8,438.0
352.8,437.0
353.0,436.8
353.8,436.0
353.8,435.0
354.0,434.8
354.8,434.0
355.0,433.8
355.8,433.0
356.0,432.8
356.8,432.0
357.0,431.8
357.8,431.0
358.0,430.8
358.2,431.0
359.0,431.8
359.8,431.0
359.0,430.2
358.8,430.0
358.8,429.0
359.0,428.8
360.0,428.8
360.8,428.0
361.0,427.8
362.0,427.8
363.0,427.8
363.8,427.0
364.0,426.8
364.8,426.0
365.0,425.8
365.8,425.0
365.0,424.2
364.2,425.0
364.0,425.2
363.2,426.0
363.0,426.2
362.0,426.2
361.8,426.0
362.0,425.8
362.8,425.0
363.0,424.8
363.8,424.0
364.0,423.8
364.8,423.0
365.0,422.8
365.2,423.0
366.0,423.8
366.8,423.0
367.0,422.8
368.0,422.8
369.0,422.8
369.8,422.0
369.0,421.2
368.0,421.2
367.0,421.2
366.8,421.0
367.0,420.8
367.8,420.0
368.0,419.8
368.2,420.0
369.0,420.8
370.0,420.8
370.2,421.0
371.0,421.8
372.0,421.8
372.8,421.0
372.0,420.2
371.0,420.2
370.8,420.0
370.0,419.2
369.0,419.2
368.8,419.0
369.0,418.8
370.0,418.8
371.0,418.8
371.2,419.0
372.0,419.8
373.0,419.8
373.2,420.0
374.0,420.8
374.2,421.0
375.0,421.8
375.8,421.0
375.0,420.2
374.8,420.0
374.0,419.2
373.8,419.0
373.0,418.2
372.8,418.0
373.0,417.8
374.0,417.8
374.2,418.0
375.0,418.8
375.8,418.0
375.0,417.2
374.8,417.0
374.0,416.2
373.8,416.0
374.0,415.8
375.0,415.8
376.0,415.8
377.0,415.8
377.8,415.0
378.0,414.8
378.8,414.0
379.0,413.8
380.0,413.8
381.0,413.8
382.0,413.8
382.8,413.0
383.0,412.8
384.0,412.8
385.0,412.8
386.0,412.8
387.0,412.8
388.0,412.8
389.0,412.8
390.0,412.8
390.8,412.0
391.0,411.8
391.2,412.0
392.0,412.8
392.8,412.0
392.8,411.0
393.0,410.8
394.0,410.8
395.0,410.8
396.0,410.8
396.2,411.0
397.0,411.8
398.0,411.8
399.0,411.8
399.2,412.0
400.0,412.8
400.8,412.0
400.0,411.2
399.8,411.0
400.0,410.8
401.0,410.8
401.8,410.0
402.0,409.8
403.0,409.8
403.8,409.0
404.0,408.8
404.2,409.0
405.0,409.8
406.0,409.8
407.0,409.8
407.8,409.0
407.0,408.2
406.8,408.0
407.0,407.8
408.0,407.8
409.0,407.8
409.8,407.0
410.0,406.8
410.2,407.0
411.0,407.8
412.0,407.8
412.8,407.0
413.0,406.8
414.0,406.8
414.2,407.0
415.0,407.8
416.0,407.8
416.8,407.0
416.0,406.2
415.8,406.0
415.0,405.2
414.0,405.2
413.8,405.0
414.0,404.8
415.0,404.8
416.0,404.8
416.8,404.0
417.0,403.8
417.8,403.0
418.0,402.8
419.0,402.8
419.2,403.0
420.0,403.8
420.2,404.0
421.0,404.8
421.8,404.0
422.0,403.8
422.8,403.0
422.0,402.2
421.0,402.2
420.0,402.2
419.8,402.0
420.0,401.8
420.8,401.0
421.0,400.8
421.8,400.0
422.0,399.8
423.0,399.8
423.8,399.0
424.0,398.8
424.2,399.0
425.0,399.8
426.0,399.8
426.8,399.0
426.0,398.2
425.8,398.0
425.8,397.0
426.0,396.8
426.8,396.0
427.0,395.8
427.8,395.0
428.0,394.8
428.8,394.0
429.0,393.8
429.8,393.0
429.8,392.0
430.0,391.8
430.2,392.0
431.0,392.8
431.8,392.0
431.0,391.2
430.8,391.0
430.8,390.0
431.0,389.8
431.8,389.0
432.0,388.8
432.8,388.0
432.8,387.0
433.0,386.8
433.8,386.0
433.8,385.0
433.8,384.0
433.8,383.0
433.8,382.0
434.0,381.8
434.8,381.0
434.8,380.0
435.0,379.8
435.2,380.0
435.2,381.0
436.0,381.8
436.8,381.0
