x,y
25.2,0.0
26.0,0.8
26.2,1.0
27.0,1.8
27.2,2.0
27.0,2.2
26.2,3.0
26.2,4.0
27.0,4.8
28.0,4.8
29.0,4.8
29.2,5.0
30.0,5.8
30.2,6.0
31.0,6.8
31.2,7.0
31.2,8.0
31.2,9.0
32.0,9.8
32.2,10.0
32.0,10.2
31.2,11.0
32.0,11.8
33.0,11.8
33.2,12.0
33.2,13.0
34.0,13.8
35.0,13.8
35.2,14.0
36.0,14.8
36.2,15.0
36.2,16.0
37.0,16.8
37.2,17.0
38.0,17.8
38.2,18.0
39.0,18.8
39.2,19.0
40.0,19.8
40.2,20.0
41.0,20.8
41.2,21.0
41.2,22.0
42.0,22.8
42.2,23.0
43.0,23.8
43.2,24.0
43.2,25.0
44.0,25.8
45.0,25.8
45.2,26.0
45.2,27.0
45.2,28.0
45.2,29.0
46.0,29.8
46.2,30.0
47.0,30.8
47.8,30.0
48.0,29.8
48.2,30.0
48.2,31.0
48.0,31.2
47.2,32.0
48.0,32.8
49.0,32.8
49.2,33.0
49.2,34.0
49.0,34.2
48.0,34.2
47.2,35.0
48.0,35.8
49.0,35.8
50.0,35.8
50.2,36.0
50.2,37.0
50.2,38.0
50.2,39.0
51.0,39.8
51.8,39.0
51.8,38.0
52.0,37.8
52.2,38.0
53.0,38.8
53.2,39.0
53.2,40.0
53.2,41.0
54.0,41.8
54.2,42.0
55.0,42.8
55.2,43.0
55.2,44.0
55.2,45.0
56.0,45.8
56.2,46.0
56.2,47.0
57.0,47.8
57.2,48.0
57.2,49.0
58.0,49.8
58.2,50.0
59.0,50.8
59.2,51.0
59.2,52.0
59.2,53.0
59.2,54.0
59.2,55.0
59.2,56.0
59.2,57.0
60.0,57.8
60.8,57.0
60.8,56.0
60.8,55.0
61.0,54.8
61.2,55.0
61.2,56.0
61.2,57.0
61.2,58.0
61.2,59.0
61.0,59.2
60.2,60.0
60.2,61.0
60.2,62.0
61.0,62.8
61.8,62.0
62.0,61.8
62.2,62.0
63.0,62.8
63.2,63.0
64.0,63.8
64.2,64.0
64.2,65.0
64.2,66.0
64.2,67.0
65.0,67.8
65.2,68.0
65.2,69.0
65.2,70.0
65.2,71.0
65.0,71.2
64.8,71.0
64.8,70.0
64.8,69.0
64.0,68.2
63.2,69.0
63.2,70.0
63.2,71.0
64.0,71.8
64.2,72.0
65.0,72.8
65.2,73.0
66.0,73.8
66.2,74.0
66.2,75.0
67.0,75.8
67.2,76.0
67.2,77.0
67.2,78.0
68.0,78.8
68.2,79.0
69.0,79.8
69.8,79.0
69.0,78.2
68.8,78.0
68.8,77.0
69.0,76.8
69.8,76.0
69.8,75.0
69.8,74.0
70.0,73.8
70.8,73.0
71.0,72.8
71.8,72.0
71.8,71.0
71.8,70.0
72.0,69.8
72.2,70.0
72.2,71.0
73.0,71.8
73.8,71.0
73.8,70.0
74.0,69.8
74.8,69.0
74.8,68.0
74.0,67.2
73.8,67.0
73.8,66.0
74.0,65.8
74.8,65.0
74.8,64.0
74.8,63.0
75.0,62.8
75.8,62.0
75.8,61.0
75.0,60.2
74.8,60.0
74.8,59.0
74.8,58.0
74.8,57.0
75.0,56.8
76.0,56.8
76.8,56.0
76.0,55.2
75.0,55.2
74.8,55.0
74.8,54.0
74.8,53.0
74.8,52.0
74.8,51.0
74.8,50.0
74.8,49.0
74.8,48.0
74.8,47.0
74.8,46.0
74.8,45.0
74.8,44.0
74.8,43.0
74.8,42.0
75.0,41.8
75.8,41.0
75.8,40.0
75.8,39.0
75.8,38.0
75.8,37.0
76.0,36.8
76.8,36.0
76.8,35.0
76.8,34.0
76.8,33.0
76.8,32.0
77.0,31.8
77.8,31.0
77.0,30.2
76.8,30.0
76.8,29.0
77.0,28.8
77.2,29.0
78.0,29.8
78.8,29.0
78.8,28.0
78.0,27.2
77.8,27.0
78.0,26.8
78.8,26.0
78.8,25.0
78.0,24.2
77.2,25.0
77.2,26.0
77.0,26.2
76.8,26.0
76.8,25.0
76.8,24.0
76.0,23.2
75.0,23.2
74.8,23.0
74.0,22.2
73.8,22.0
73.0,21.2
72.8,21.0
72.8,20.0
72.8,19.0
72.0,18.2
71.8,18.0
72.0,17.8
72.8,17.0
72.0,16.2
71.0,16.2
70.8,16.0
70.8,15.0
71.0,14.8
71.8,14.0
71.8,13.0
71.0,12.2
70.2,13.0
70.2,14.0
70.0,14.2
69.8,14.0
69.0,13.2
68.8,13.0
68.8,12.0
68.8,11.0
68.8,10.0
68.8,9.0
68.8,8.0
68.8,7.0
68.8,6.0
68.8,5.0
68.8,4.0
68.8,3.0
68.8,2.0
69.0,1.8
69.8,1.0
70.0,0.8
70.8,0.0
