x,y
901.8,287.0
901.8,286.0
901.8,285.0
902.0,284.8
902.8,284.0
902.8,283.0
902.8,282.0
902.0,281.2
901.8,281.0
901.8,280.0
901.8,279.0
901.8,278.0
902.0,277.8
902.2,278.0
903.0,278.8
904.0,278.8
904.2,279.0
905.0,279.8
906.0,279.8
906.2,280.0
907.0,280.8
907.2,281.0
908.0,281.8
909.0,281.8
910.0,281.8
910.2,282.0
911.0,282.8
912.0,282.8
913.0,282.8
914.0,282.8
915.0,282.8
916.0,282.8
917.0,282.8
918.0,282.8
919.0,282.8
920.0,282.8
921.0,282.8
922.0,282.8
922.8,282.0
922.8,281.0
922.8,280.0
922.8,279.0
922.8,278.0
923.0,277.8
923.8,277.0
924.0,276.8
925.0,276.8
926.0,276.8
926.8,276.0
927.0,275.8
928.0,275.8
929.0,275.8
930.0,275.8
931.0,275.8
931.8,275.0
932.0,274.8
933.0,274.8
933.8,274.0
933.8,273.0
933.8,272.0
933.8,271.0
934.0,270.8
934.8,270.0
935.0,269.8
935.8,269.0
936.0,268.8
936.8,268.0
937.0,267.8
937.8,267.0
938.0,266.8
938.8,266.0
938.8,265.0
939.0,264.8
939.8,264.0
940.0,263.8
940.8,263.0
941.0,262.8
941.8,262.0
942.0,261.8
942.8,261.0
943.0,260.8
943.8,260.0
943.8,259.0
944.0,258.8
944.8,258.0
944.8,257.0
945.0,256.8
945.8,256.0
945.8,255.0
946.0,254.8
946.8,254.0
946.8,253.0
946.8,252.0
946.8,251.0
946.8,250.0
946.8,249.0
947.0,248.8
947.8,248.0
948.0,247.8
948.8,247.0
948.8,246.0
948.8,245.0
948.8,244.0
948.8,243.0
948.0,242.2
947.8,242.0
947.0,241.2
946.8,241.0
946.8,240.0
946.0,239.2
945.0,239.2
944.0,239.2
943.0,239.2
942.0,239.2
941.2,240.0
941.0,240.2
940.0,240.2
939.2,241.0
939.2,242.0
939.2,243.0
939.2,244.0
939.0,244.2
938.2,245.0
938.0,245.2
937.2,246.0
937.2,247.0
937.2,248.0
937.0,248.2
936.2,249.0
936.0,249.2
935.2,250.0
935.0,250.2
934.2,251.0
934.0,251.2
933.2,252.0
933.0,252.2
932.0,252.2
931.2,253.0
931.0,253.2
930.2,254.0
930.0,254.2
929.0,254.2
928.2,255.0
928.0,255.2
927.0,255.2
926.2,256.0
926.0,256.2
925.0,256.2
924.0,256.2
923.0,256.2
922.0,256.2
921.0,256.2
920.0,256.2
919.0,256.2
918.0,256.2
917.0,256.2
916.8,256.0
916.0,255.2
915.0,255.2
914.0,255.2
913.8,255.0
913.0,254.2
912.0,254.2
911.8,254.0
911.0,253.2
910.0,253.2
909.0,253.2
908.0,253.2
907.8,253.0
907.0,252.2
906.8,252.0
906.0,251.2
905.0,251.2
904.0,251.2
903.8,251.0
903.0,250.2
902.0,250.2
901.8,250.0
901.0,249.2
900.0,249.2
899.8,249.0
899.0,248.2
898.0,248.2
897.8,248.0
897.0,247.2
896.8,247.0
896.0,246.2
895.8,246.0
895.0,245.2
894.8,245.0
894.0,244.2
893.8,244.0
893.0,243.2
892.0,243.2
891.0,243.2
890.8,243.0
890.0,242.2
889.0,242.2
888.8,242.0
888.0,241.2
887.8,241.0
887.0,240.2
886.8,240.0
886.0,239.2
885.8,239.0
885.0,238.2
884.8,238.0
884.0,237.2
883.8,237.0
883.0,236.2
882.0,236.2
881.0,236.2
880.0,236.2
879.0,236.2
878.0,236.2
877.0,236.2
876.8,236.0
876.0,235.2
875.0,235.2
874.8,235.0
874.0,234.2
873.0,234.2
872.0,234.2
871.8,234.0
871.0,233.2
870.8,233.0
870.0,232.2
869.0,232.2
868.8,232.0
868.0,231.2
867.8,231.0
867.0,230.2
866.0,230.2
865.0,230.2
864.0,230.2
863.8,230.0
863.0,229.2
862.0,229.2
861.8,229.0
861.0,228.2
860.0,228.2
859.0,228.2
858.0,228.2
857.8,228.0
857.0,227.2
856.0,227.2
855.0,227.2
854.0,227.2
853.0,227.2
852.8,227.0
852.0,226.2
851.0,226.2
850.0,226.2
849.8,226.0
849.0,225.2
848.0,225.2
847.0,225.2
846.0,225.2
845.8,225.0
845.0,224.2
844.0,224.2
843.0,224.2
842.8,224.0
842.0,223.2
841.0,223.2
840.0,223.2
839.0,223.2
838.0,223.2
837.0,223.2
836.0,223.2
835.0,223.2
834.8,223.0
834.0,222.2
833.0,222.2
832.0,222.2
831.0,222.2
830.0,222.2
829.0,222.2
828.0,222.2
827.0,222.2
826.0,222.2
825.0,222.2
824.0,222.2
823.0,222.2
822.0,222.2
821.0,222.2
820.0,222.2
819.8,222.0
819.0,221.2
818.0,221.2
817.0,221.2
816.0,221.2
815.0,221.2
814.0,221.2
813.2,222.0
813.0,222.2
812.0,222.2
811.0,222.2
810.0,222.2
809.0,222.2
808.0,222.2
807.2,223.0
807.0,223.2
806.0,223.2
805.0,223.2
804.0,223.2
803.0,223.2
802.0,223.2
801.0,223.2
800.0,223.2
799.2,224.0
799.0,224.2
798.0,224.2
797.0,224.2
796.0,224.2
795.0,224.2
794.0,224.2
793.0,224.2
792.0,224.2
791.2,225.0
791.0,225.2
790.2,226.0
790.0,226.2
789.0,226.2
788.0,226.2
787.0,226.2
786.0,226.2
785.0,226.2
784.2,227.0
784.0,227.2
783.0,227.2
782.2,228.0
782.0,228.2
781.0,228.2
780.0,228.2
779.0,228.2
778.2,229.0
778.0,229.2
777.0,229.2
776.2,230.0
776.0,230.2
775.0,230.2
774.2,231.0
774.0,231.2
773.2,232.0
773.0,232.2
772.0,232.2
771.2,233.0
771.0,233.2
770.2,234.0
770.0,234.2
769.0,234.2
768.2,235.0
768.0,235.2
767.0,235.2
766.0,235.2
765.2,236.0
765.2,237.0
765.0,237.2
764.2,238.0
764.2,239.0
764.0,239.2
763.2,240.0
763.0,240.2
762.8,240.0
762.0,239.2
761.8,239.0
761.0,238.2
760.0,238.2
759.2,239.0
759.0,239.2
758.2,240.0
758.2,241.0
759.0,241.8
759.2,242.0
760.0,242.8
760.2,243.0
761.0,243.8
761.2,244.0
762.0,244.8
762.2,245.0
763.0,245.8
763.2,246.0
764.0,246.8
764.2,247.0
765.0,247.8
766.0,247.8
766.2,248.0
767.0,248.8
768.0,248.8
768.2,249.0
769.0,249.8
770.0,249.8
771.0,249.8
772.0,249.8
772.8,249.0
773.0,248.8
773.8,248.0
774.0,247.8
774.8,247.0
775.0,246.8
775.8,246.0
776.0,245.8
776.8,245.0
777.0,244.8
778.0,244.8
778.8,244.0
779.0,243.8
780.0,243.8
780.8,243.0
781.0,242.8
782.0,242.8
782.8,242.0
783.0,241.8
783.2,242.0
784.0,242.8
785.0,242.8
786.0,242.8
787.0,242.8
788.0,242.8
789.0,242.8
790.0,242.8
791.0,242.8
792.0,242.8
793.0,242.8
794.0,242.8
795.0,242.8
796.0,242.8
797.0,242.8
798.0,242.8
799.0,242.8
800.0,242.8
801.0,242.8
802.0,242.8
803.0,242.8
803.2,243.0
804.0,243.8
804.2,244.0
805.0,244.8
806.0,244.8
807.0,244.8
808.0,244.8
808.2,245.0
809.0,245.8
809.2,246.0
810.0,246.8
810.2,247.0
811.0,247.8
811.2,248.0
812.0,248.8
812.2,249.0
813.0,249.8
814.0,249.8
814.2,250.0
815.0,250.8
815.2,251.0
816.0,251.8
816.2,252.0
817.0,252.8
817.2,253.0
818.0,253.8
818.2,254.0
819.0,254.8
819.2,255.0
820.0,255.8
820.2,256.0
821.0,256.8
821.2,257.0
822.0,257.8
822.2,258.0
823.0,258.8
823.2,259.0
824.0,259.8
824.2,260.0
825.0,260.8
825.2,261.0
826.0,261.8
826.2,262.0
827.0,262.8
827.2,263.0
828.0,263.8
828.2,264.0
829.0,264.8
830.0,264.8
830.2,265.0
831.0,265.8
832.0,265.8
833.0,265.8
834.0,265.8
834.8,265.0
