x,y
760.8,601.0
761.0,600.8
761.8,600.0
761.8,599.0
761.8,598.0
761.8,597.0
761.8,596.0
761.8,595.0
761.8,594.0
761.8,593.0
761.8,592.0
761.8,591.0
761.8,590.0
761.0,589.2
760.8,589.0
760.8,588.0
760.8,587.0
760.8,586.0
760.8,585.0
760.8,584.0
760.0,583.2
759.8,583.0
759.8,582.0
759.8,581.0
759.8,580.0
759.8,579.0
759.8,578.0
759.8,577.0
759.8,576.0
759.8,575.0
759.0,574.2
758.8,574.0
758.8,573.0
758.8,572.0
758.8,571.0
758.0,570.2
757.8,570.0
757.8,569.0
757.8,568.0
757.0,567.2
756.8,567.0
756.8,566.0
756.8,565.0
756.8,564.0
756.8,563.0
756.0,562.2
755.8,562.0
755.8,561.0
755.8,560.0
755.8,559.0
755.8,558.0
755.8,557.0
755.8,556.0
755.8,555.0
755.0,554.2
754.8,554.0
754.0,553.2
753.8,553.0
753.0,552.2
752.8,552.0
752.0,551.2
751.8,551.0
751.8,550.0
751.0,549.2
750.8,549.0
750.8,548.0
750.8,547.0
750.0,546.2
749.8,546.0
749.0,545.2
748.8,545.0
748.8,544.0
748.8,543.0
749.0,542.8
750.0,542.8
751.0,542.8
752.0,542.8
753.0,542.8
753.8,542.0
754.0,541.8
755.0,541.8
756.0,541.8
756.8,541.0
757.0,540.8
758.0,540.8
758.8,540.0
759.0,539.8
760.0,539.8
760.8,539.0
761.0,538.8
761.8,538.0
761.8,537.0
762.0,536.8
762.8,536.0
762.8,535.0
762.8,534.0
762.8,533.0
762.0,532.2
761.0,532.2
760.8,532.0
760.8,531.0
760.0,530.2
759.8,530.0
759.8,529.0
759.8,528.0
759.0,527.2
758.8,527.0
758.0,526.2
757.0,526.2
756.8,526.0
756.8,525.0
756.8,524.0
756.0,523.2
755.8,523.0
755.0,522.2
754.8,522.0
754.0,521.2
753.0,521.2
752.8,521.0
752.0,520.2
751.0,520.2
750.0,520.2
749.0,520.2
748.8,520.0
748.0,519.2
747.8,519.0
747.8,518.0
748.0,517.8
748.8,517.0
749.0,516.8
749.8,516.0
749.8,515.0
749.8,514.0
749.8,513.0
749.8,512.0
749.8,511.0
749.8,510.0
749.0,509.2
748.8,509.0
748.0,508.2
747.0,508.2
746.8,508.0
746.0,507.2
745.8,507.0
745.0,506.2
744.8,506.0
744.0,505.2
743.0,505.2
742.0,505.2
741.8,505.0
741.0,504.2
740.8,504.0
740.0,503.2
739.0,503.2
738.0,503.2
737.0,503.2
736.0,503.2
735.0,503.2
734.0,503.2
733.2,504.0
733.0,504.2
732.2,505.0
732.0,505.2
731.0,505.2
730.8,505.0
730.8,504.0
730.8,503.0
730.8,502.0
730.0,501.2
729.8,501.0
729.8,500.0
729.0,499.2
728.0,499.2
727.0,499.2
726.0,499.2
725.0,499.2
724.0,499.2
723.0,499.2
722.0,499.2
721.0,499.2
720.2,500.0
720.0,500.2
719.2,501.0
719.0,501.2
718.2,502.0
718.0,502.2
717.0,502.2
716.0,502.2
715.0,502.2
714.0,502.2
713.0,502.2
712.0,502.2
711.0,502.2
710.0,502.2
709.0,502.2
708.0,502.2
707.0,502.2
706.0,502.2
705.0,502.2
704.0,502.2
703.8,502.0
703.0,501.2
702.8,501.0
702.0,500.2
701.0,500.2
700.0,500.2
699.0,500.2
698.0,500.2
697.0,500.2
696.0,500.2
695.0,500.2
694.0,500.2
693.0,500.2
692.0,500.2
691.0,500.2
690.0,500.2
689.0,500.2
688.0,500.2
687.2,501.0
687.0,501.2
686.2,502.0
686.0,502.2
685.0,502.2
684.2,503.0
684.0,503.2
683.0,503.2
682.2,504.0
682.0,504.2
681.2,505.0
681.0,505.2
680.2,506.0
680.0,506.2
679.2,507.0
679.0,507.2
678.0,507.2
677.2,508.0
677.0,508.2
676.0,508.2
675.2,509.0
675.0,509.2
674.2,510.0
674.0,510.2
673.2,511.0
673.2,512.0
673.2,513.0
673.2,514.0
673.2,515.0
673.2,516.0
673.0,516.2
672.2,517.0
672.2,518.0
672.2,519.0
672.2,520.0
672.2,521.0
672.2,522.0
672.2,523.0
672.2,524.0
672.2,525.0
672.2,526.0
672.0,526.2
671.2,527.0
671.2,528.0
672.0,528.8
672.2,529.0
672.2,530.0
672.2,531.0
672.2,532.0
672.2,533.0
673.0,533.8
673.2,534.0
674.0,534.8
675.0,534.8
676.0,534.8
677.0,534.8
678.0,534.8
679.0,534.8
680.0,534.8
681.0,534.8
682.0,534.8
683.0,534.8
684.0,534.8
685.0,534.8
685.8,534.0
686.0,533.8
687.0,533.8
688.0,533.8
689.0,533.8
690.0,533.8
690.2,534.0
691.0,534.8
692.0,534.8
692.2,535.0
693.0,535.8
694.0,535.8
695.0,535.8
695.2,536.0
696.0,536.8
697.0,536.8
697.2,537.0
698.0,537.8
698.2,538.0
699.0,538.8
699.2,539.0
699.0,539.2
698.0,539.2
697.8,539.0
697.0,538.2
696.0,538.2
695.8,538.0
695.0,537.2
694.8,537.0
694.0,536.2
693.0,536.2
692.0,536.2
691.8,536.0
691.0,535.2
690.0,535.2
689.0,535.2
688.0,535.2
687.0,535.2
686.0,535.2
685.0,535.2
684.0,535.2
683.0,535.2
682.0,535.2
681.0,535.2
680.0,535.2
679.0,535.2
678.0,535.2
677.0,535.2
676.0,535.2
675.2,536.0
675.0,536.2
674.2,537.0
674.2,538.0
674.2,539.0
674.2,540.0
674.2,541.0
674.2,542.0
674.2,543.0
674.2,544.0
