x,y
386.8,639.0
387.0,638.8
388.0,638.8
389.0,638.8
389.8,638.0
390.0,637.8
391.0,637.8
392.0,637.8
392.8,637.0
393.0,636.8
394.0,636.8
394.8,636.0
394.8,635.0
394.0,634.2
393.0,634.2
392.8,634.0
392.8,633.0
392.8,632.0
392.0,631.2
391.8,631.0
391.0,630.2
390.8,630.0
390.8,629.0
390.8,628.0
390.0,627.2
389.8,627.0
389.0,626.2
388.8,626.0
388.8,625.0
388.8,624.0
388.0,623.2
387.8,623.0
387.0,622.2
386.8,622.0
386.8,621.0
386.0,620.2
385.8,620.0
385.8,619.0
385.0,618.2
384.8,618.0
384.0,617.2
383.8,617.0
383.0,616.2
382.8,616.0
382.8,615.0
382.8,614.0
382.0,613.2
381.8,613.0
381.0,612.2
380.8,612.0
380.8,611.0
381.0,610.8
381.8,610.0
382.0,609.8
382.8,609.0
383.0,608.8
383.8,608.0
384.0,607.8
384.8,607.0
384.8,606.0
384.8,605.0
384.8,604.0
384.8,603.0
384.8,602.0
384.8,601.0
384.8,600.0
384.8,599.0
384.8,598.0
384.8,597.0
384.8,596.0
384.8,595.0
384.8,594.0
384.8,593.0
384.8,592.0
384.8,591.0
384.8,590.0
384.8,589.0
384.8,588.0
384.8,587.0
384.8,586.0
384.8,585.0
384.8,584.0
384.8,583.0
385.0,582.8
385.8,582.0
386.0,581.8
386.8,581.0
386.8,580.0
386.8,579.0
386.8,578.0
386.8,577.0
387.0,576.8
387.8,576.0
388.0,575.8
388.8,575.0
389.0,574.8
389.2,575.0
390.0,575.8
390.2,576.0
391.0,576.8
391.2,577.0
392.0,577.8
392.8,577.0
392.8,576.0
392.8,575.0
392.8,574.0
392.8,573.0
392.8,572.0
393.0,571.8
393.8,571.0
393.8,570.0
394.0,569.8
394.8,569.0
394.8,568.0
394.0,567.2
393.8,567.0
393.0,566.2
392.8,566.0
392.8,565.0
393.0,564.8
393.8,564.0
394.0,563.8
394.2,564.0
394.2,565.0
394.2,566.0
395.0,566.8
395.8,566.0
395.8,565.0
396.0,564.8
396.8,564.0
396.8,563.0
396.8,562.0
397.0,561.8
397.8,561.0
397.8,560.0
397.0,559.2
396.8,559.0
396.8,558.0
396.8,557.0
397.0,556.8
397.8,556.0
398.0,555.8
398.8,555.0
398.8,554.0
398.8,553.0
399.0,552.8
399.8,552.0
400.0,551.8
400.8,551.0
401.0,550.8
401.8,550.0
401.8,549.0
402.0,548.8
402.8,548.0
402.8,547.0
403.0,546.8
403.8,546.0
404.0,545.8
404.8,545.0
404.8,544.0
405.0,543.8
405.8,543.0
406.0,542.8
406.8,542.0
406.8,541.0
406.8,540.0
406.8,539.0
406.8,538.0
406.8,537.0
406.8,536.0
407.0,535.8
407.8,535.0
408.0,534.8
409.0,534.8
409.8,534.0
410.0,533.8
410.8,533.0
410.8,532.0
410.8,531.0
411.0,530.8
411.8,530.0
412.0,529.8
412.8,529.0
413.0,528.8
413.8,528.0
414.0,527.8
414.8,527.0
415.0,526.8
416.0,526.8
416.2,527.0
416.2,528.0
416.2,529.0
417.0,529.8
417.8,529.0
417.8,528.0
417.8,527.0
417.8,526.0
417.8,525.0
417.8,524.0
417.8,523.0
417.8,522.0
418.0,521.8
418.8,521.0
418.8,520.0
419.0,519.8
419.8,519.0
420.0,518.8
420.8,518.0
421.0,517.8
421.8,517.0
421.8,516.0
421.8,515.0
422.0,514.8
422.8,514.0
422.8,513.0
423.0,512.8
423.8,512.0
423.8,511.0
424.0,510.8
425.0,510.8
425.8,510.0
426.0,509.8
426.8,509.0
426.8,508.0
426.8,507.0
426.8,506.0
427.0,505.8
428.0,505.8
428.8,505.0
429.0,504.8
429.8,504.0
429.8,503.0
430.0,502.8
430.8,502.0
430.8,501.0
430.8,500.0
430.8,499.0
430.8,498.0
430.8,497.0
430.8,496.0
430.8,495.0
431.0,494.8
431.8,494.0
432.0,493.8
432.8,493.0
433.0,492.8
433.8,492.0
434.0,491.8
434.8,491.0
435.0,490.8
436.0,490.8
437.0,490.8
437.8,490.0
437.8,489.0
438.0,488.8
438.8,488.0
439.0,487.8
439.8,487.0
440.0,486.8
440.8,486.0
441.0,485.8
442.0,485.8
442.8,485.0
443.0,484.8
443.8,484.0
444.0,483.8
444.8,483.0
445.0,482.8
445.8,482.0
446.0,481.8
446.8,481.0
446.8,480.0
447.0,479.8
448.0,479.8
448.8,479.0
448.8,478.0
448.8,477.0
448.8,476.0
448.8,475.0
448.8,474.0
448.8,473.0
449.0,472.8
449.8,472.0
450.0,471.8
450.8,471.0
451.0,470.8
452.0,470.8
453.0,470.8
453.8,470.0
453.8,469.0
454.0,468.8
454.8,468.0
455.0,467.8
455.8,467.0
456.0,466.8
457.0,466.8
457.8,466.0
458.0,465.8
458.8,465.0
459.0,464.8
459.8,464.0
460.0,463.8
460.8,463.0
460.8,462.0
461.0,461.8
462.0,461.8
462.8,461.0
463.0,460.8
463.8,460.0
464.0,459.8
464.8,459.0
465.0,458.8
465.8,458.0
466.0,457.8
466.8,457.0
467.0,456.8
467.8,456.0
468.0,455.8
468.8,455.0
469.0,454.8
469.8,454.0
470.0,453.8
470.8,453.0
471.0,452.8
472.0,452.8
473.0,452.8
473.8,452.0
474.0,451.8
474.8,451.0
474.8,450.0
474.8,449.0
474.8,448.0
474.8,447.0
474.8,446.0
474.8,445.0
474.0,444.2
473.0,444.2
472.0,444.2
471.8,444.0
472.0,443.8
472.8,443.0
473.0,442.8
474.0,442.8
475.0,442.8
476.0,442.8
477.0,442.8
477.8,442.0
478.0,441.8
478.8,441.0
479.0,440.8
479.8,440.0
480.0,439.8
480.8,439.0
481.0,438.8
482.0,438.8
483.0,438.8
483.8,438.0
484.0,437.8
484.8,437.0
484.8,436.0
484.8,435.0
484.8,434.0
484.8,433.0
485.0,432.8
485.8,432.0
486.0,431.8
486.8,431.0
487.0,430.8
487.8,430.0
488.0,429.8
488.8,429.0
489.0,428.8
489.8,428.0
490.0,427.8
490.8,427.0
491.0,426.8
492.0,426.8
492.8,426.0
493.0,425.8
494.0,425.8
494.8,425.0
495.0,424.8
495.8,424.0
495.8,423.0
496.0,422.8
496.8,422.0
497.0,421.8
498.0,421.8
498.8,421.0
499.0,420.8
499.8,420.0
500.0,419.8
500.8,419.0
501.0,418.8
501.8,418.0
502.0,417.8
502.8,417.0
503.0,416.8
504.0,416.8
504.8,416.0
505.0,415.8
506.0,415.8
506.8,415.0
507.0,414.8
507.8,414.0
508.0,413.8
508.8,413.0
509.0,412.8
509.8,412.0
510.0,411.8
510.8,411.0
510.8,410.0
510.8,409.0
510.8,408.0
510.8,407.0
510.0,406.2
509.0,406.2
508.0,406.2
507.8,406.0
508.0,405.8
508.8,405.0
509.0,404.8
510.0,404.8
511.0,404.8
511.8,404.0
512.0,403.8
512.8,403.0
513.0,402.8
513.8,402.0
514.0,401.8
514.8,401.0
514.8,400.0
514.8,399.0
514.8,398.0
514.8,397.0
514.8,396.0
514.8,395.0
515.0,394.8
515.8,394.0
516.0,393.8
516.8,393.0
516.8,392.0
517.0,391.8
517.8,391.0
518.0,390.8
519.0,390.8
519.8,390.0
519.8,389.0
520.0,388.8
520.8,388.0
521.0,387.8
522.0,387.8
522.8,387.0
522.8,386.0
523.0,385.8
524.0,385.8
524.8,385.0
524.8,384.0
525.0,383.8
526.0,383.8
526.8,383.0
527.0,382.8
527.8,382.0
528.0,381.8
528.8,381.0
528.8,380.0
529.0,379.8
530.0,379.8
530.8,379.0
531.0,378.8
531.8,378.0
531.8,377.0
532.0,376.8
532.8,376.0
533.0,375.8
533.8,375.0
534.0,374.8
534.8,374.0
534.8,373.0
534.8,372.0
534.8,371.0
534.8,370.0
534.8,369.0
534.0,368.2
533.0,368.2
532.0,368.2
531.8,368.0
532.0,367.8
532.8,367.0
533.0,366.8
533.8,366.0
534.0,365.8
534.8,365.0
535.0,364.8
535.8,364.0
536.0,363.8
536.8,363.0
537.0,362.8
537.8,362.0
538.0,361.8
538.8,361.0
539.0,360.8
539.8,360.0
540.0,359.8
540.8,359.0
540.8,358.0
541.0,357.8
542.0,357.8
542.8,357.0
543.0,356.8
