x,y
648.8,334.0
648.8,333.0
649.0,332.8
650.0,332.8
651.0,332.8
652.0,332.8
653.0,332.8
653.8,332.0
654.0,331.8
654.8,331.0
655.0,330.8
656.0,330.8
657.0,330.8
658.0,330.8
659.0,330.8
659.8,330.0
660.0,329.8
660.8,329.0
661.0,328.8
662.0,328.8
663.0,328.8
663.8,328.0
664.0,327.8
664.8,327.0
665.0,326.8
666.0,326.8
667.0,326.8
667.8,326.0
668.0,325.8
668.8,325.0
669.0,324.8
669.8,324.0
670.0,323.8
670.8,323.0
670.8,322.0
670.8,321.0
671.0,320.8
671.8,320.0
672.0,319.8
672.8,319.0
673.0,318.8
673.8,318.0
674.0,317.8
674.8,317.0
675.0,316.8
675.8,316.0
676.0,315.8
676.8,315.0
676.8,314.0
676.8,313.0
676.8,312.0
676.8,311.0
676.8,310.0
676.8,309.0
676.8,308.0
676.8,307.0
677.0,306.8
677.8,306.0
678.0,305.8
678.8,305.0
678.8,304.0
678.8,303.0
678.8,302.0
678.8,301.0
678.8,300.0
678.8,299.0
678.8,298.0
678.8,297.0
678.8,296.0
678.8,295.0
678.8,294.0
678.8,293.0
678.8,292.0
678.8,291.0
678.8,290.0
678.8,289.0
678.8,288.0
678.8,287.0
678.8,286.0
678.8,285.0
678.8,284.0
678.8,283.0
678.8,282.0
678.8,281.0
678.8,280.0
678.8,279.0
678.8,278.0
678.8,277.0
678.8,276.0
678.8,275.0
678.8,274.0
678.8,273.0
678.8,272.0
678.8,271.0
678.8,270.0
678.8,269.0
678.8,268.0
678.8,267.0
678.0,266.2
677.0,266.2
676.8,266.0
676.8,265.0
676.8,264.0
676.8,263.0
676.0,262.2
675.0,262.2
674.8,262.0
674.8,261.0
674.0,260.2
673.0,260.2
672.8,260.0
672.8,259.0
672.8,258.0
672.8,257.0
672.8,256.0
672.8,255.0
672.8,254.0
672.8,253.0
672.8,252.0
672.8,251.0
672.8,250.0
672.0,249.2
671.8,249.0
671.0,248.2
670.8,248.0
670.8,247.0
670.8,246.0
670.0,245.2
669.8,245.0
669.0,244.2
668.8,244.0
668.8,243.0
668.0,242.2
667.0,242.2
666.8,242.0
666.0,241.2
665.8,241.0
665.0,240.2
664.8,240.0
664.0,239.2
663.8,239.0
663.0,238.2
662.8,238.0
662.0,237.2
661.8,237.0
661.0,236.2
660.8,236.0
660.8,235.0
660.8,234.0
660.0,233.2
659.8,233.0
659.0,232.2
658.8,232.0
658.0,231.2
657.8,231.0
657.0,230.2
656.8,230.0
656.0,229.2
655.8,229.0
655.0,228.2
654.8,228.0
654.8,227.0
654.8,226.0
654.0,225.2
653.8,225.0
653.0,224.2
652.8,224.0
652.0,223.2
651.8,223.0
651.0,222.2
650.8,222.0
650.8,221.0
650.8,220.0
650.0,219.2
649.8,219.0
649.0,218.2
648.8,218.0
648.8,217.0
648.8,216.0
648.0,215.2
647.8,215.0
647.0,214.2
646.8,214.0
646.8,213.0
646.8,212.0
646.8,211.0
646.8,210.0
646.8,209.0
646.8,208.0
646.8,207.0
646.8,206.0
646.8,205.0
646.8,204.0
646.8,203.0
646.0,202.2
645.0,202.2
644.0,202.2
643.0,202.2
642.0,202.2
641.0,202.2
640.0,202.2
639.2,203.0
639.0,203.2
638.2,204.0
638.0,204.2
637.2,205.0
637.2,206.0
637.0,206.2
636.8,206.0
636.8,205.0
636.8,204.0
636.8,203.0
636.8,202.0
636.8,201.0
636.8,200.0
636.8,199.0
636.0,198.2
635.0,198.2
634.0,198.2
633.0,198.2
632.0,198.2
631.0,198.2
630.0,198.2
629.2,199.0
629.0,199.2
628.2,200.0
628.0,200.2
627.2,201.0
627.0,201.2
626.0,201.2
625.8,201.0
625.0,200.2
624.8,200.0
624.0,199.2
623.8,199.0
623.0,198.2
622.8,198.0
622.0,197.2
621.8,197.0
621.0,196.2
620.0,196.2
619.0,196.2
618.0,196.2
617.0,196.2
616.0,196.2
615.0,196.2
614.2,197.0
614.2,198.0
614.2,199.0
614.2,200.0
614.2,201.0
614.0,201.2
613.8,201.0
613.0,200.2
612.2,201.0
612.0,201.2
611.8,201.0
611.0,200.2
610.0,200.2
609.0,200.2
608.0,200.2
607.0,200.2
606.2,201.0
606.2,202.0
606.2,203.0
606.2,204.0
606.2,205.0
606.2,206.0
606.2,207.0
606.2,208.0
606.2,209.0
606.2,210.0
607.0,210.8
608.0,210.8
608.2,211.0
608.2,212.0
608.2,213.0
608.2,214.0
608.2,215.0
609.0,215.8
609.2,216.0
609.2,217.0
610.0,217.8
610.2,218.0
610.2,219.0
610.2,220.0
610.2,221.0
610.2,222.0
610.0,222.2
609.2,223.0
609.0,223.2
608.2,224.0
608.2,225.0
608.2,226.0
608.2,227.0
608.2,228.0
608.0,228.2
607.2,229.0
607.0,229.2
606.2,230.0
606.2,231.0
606.2,232.0
606.2,233.0
606.2,234.0
606.2,235.0
606.2,236.0
606.2,237.0
606.2,238.0
606.0,238.2
605.2,239.0
605.0,239.2
604.2,240.0
604.2,241.0
604.2,242.0
604.0,242.2
603.0,242.2
602.2,243.0
602.2,244.0
602.2,245.0
602.2,246.0
602.2,247.0
602.2,248.0
602.2,249.0
602.2,250.0
602.2,251.0
602.2,252.0
602.2,253.0
602.2,254.0
602.2,255.0
602.2,256.0
602.2,257.0
602.2,258.0
602.2,259.0
602.2,260.0
602.0,260.2
601.0,260.2
600.2,261.0
600.2,262.0
600.2,263.0
600.2,264.0
600.2,265.0
600.2,266.0
600.2,267.0
600.2,268.0
600.2,269.0
600.2,270.0
600.2,271.0
600.2,272.0
600.2,273.0
600.2,274.0
600.2,275.0
600.2,276.0
600.2,277.0
600.2,278.0
600.2,279.0
600.2,280.0
600.2,281.0
600.2,282.0
600.2,283.0
601.0,283.8
601.2,284.0
602.0,284.8
602.2,285.0
602.2,286.0
602.2,287.0
602.2,288.0
602.2,289.0
602.2,290.0
602.2,291.0
602.2,292.0
602.2,293.0
602.2,294.0
602.2,295.0
603.0,295.8
603.2,296.0
604.0,296.8
604.2,297.0
604.2,298.0
604.2,299.0
604.2,300.0
604.2,301.0
604.2,302.0
604.2,303.0
605.0,303.8
605.2,304.0
606.0,304.8
606.2,305.0
606.2,306.0
606.2,307.0
606.2,308.0
606.2,309.0
607.0,309.8
607.2,310.0
608.0,310.8
608.2,311.0
609.0,311.8
609.2,312.0
610.0,312.8
610.2,313.0
610.2,314.0
610.2,315.0
611.0,315.8
611.2,316.0
612.0,316.8
612.2,317.0
612.2,318.0
612.2,319.0
613.0,319.8
613.2,320.0
614.0,320.8
614.2,321.0
615.0,321.8
615.2,322.0
616.0,322.8
616.2,323.0
617.0,323.8
617.2,324.0
618.0,324.8
618.2,325.0
619.0,325.8
619.2,326.0
620.0,326.8
621.0,326.8
622.0,326.8
622.2,327.0
623.0,327.8
623.2,328.0
624.0,328.8
625.0,328.8
626.0,328.8
626.2,329.0
627.0,329.8
627.2,330.0
628.0,330.8
629.0,330.8
630.0,330.8
631.0,330.8
632.0,330.8
632.2,331.0
633.0,331.8
633.2,332.0
634.0,332.8
635.0,332.8
636.0,332.8
637.0,332.8
