x,y
647.8,525.0
648.0,524.8
648.8,524.0
649.0,523.8
650.0,523.8
651.0,523.8
652.0,523.8
653.0,523.8
654.0,523.8
655.0,523.8
655.8,523.0
656.0,522.8
656.8,522.0
657.0,521.8
657.8,521.0
658.0,520.8
658.8,520.0
659.0,519.8
660.0,519.8
661.0,519.8
662.0,519.8
663.0,519.8
664.0,519.8
665.0,519.8
665.8,519.0
666.0,518.8
666.8,518.0
667.0,517.8
667.8,517.0
668.0,516.8
668.8,516.0
669.0,515.8
670.0,515.8
671.0,515.8
672.0,515.8
673.0,515.8
673.8,515.0
674.0,514.8
674.8,514.0
675.0,513.8
675.8,513.0
676.0,512.8
676.8,512.0
676.8,511.0
676.8,510.0
676.8,509.0
676.8,508.0
676.8,507.0
676.8,506.0
676.8,505.0
676.0,504.2
675.8,504.0
675.8,503.0
675.0,502.2
674.8,502.0
675.0,501.8
676.0,501.8
676.8,501.0
676.0,500.2
675.8,500.0
676.0,499.8
677.0,499.8
678.0,499.8
679.0,499.8
680.0,499.8
681.0,499.8
682.0,499.8
683.0,499.8
683.8,499.0
684.0,498.8
684.8,498.0
685.0,497.8
685.8,497.0
686.0,496.8
686.8,496.0
687.0,495.8
687.8,495.0
688.0,494.8
688.8,494.0
689.0,493.8
689.8,493.0
690.0,492.8
690.8,492.0
690.8,491.0
690.8,490.0
690.8,489.0
690.8,488.0
691.0,487.8
691.8,487.0
692.0,486.8
692.8,486.0
692.8,485.0
692.8,484.0
692.8,483.0
692.8,482.0
692.8,481.0
692.8,480.0
693.0,479.8
694.0,479.8
694.8,479.0
694.0,478.2
693.8,478.0
694.0,477.8
694.8,477.0
694.8,476.0
694.8,475.0
694.8,474.0
694.8,473.0
694.8,472.0
694.8,471.0
694.8,470.0
694.8,469.0
694.0,468.2
693.8,468.0
693.0,467.2
692.8,467.0
692.8,466.0
692.8,465.0
692.8,464.0
692.8,463.0
692.0,462.2
691.8,462.0
691.0,461.2
690.0,461.2
689.0,461.2
688.8,461.0
689.0,460.8
690.0,460.8
690.8,460.0
691.0,459.8
691.8,459.0
692.0,458.8
692.8,458.0
692.8,457.0
692.8,456.0
692.8,455.0
692.8,454.0
692.8,453.0
692.8,452.0
692.8,451.0
692.0,450.2
691.8,450.0
691.0,449.2
690.8,449.0
690.8,448.0
690.8,447.0
690.8,446.0
690.8,445.0
690.0,444.2
689.8,444.0
689.0,443.2
688.0,443.2
687.0,443.2
686.0,443.2
685.8,443.0
686.0,442.8
686.8,442.0
686.8,441.0
686.8,440.0
686.8,439.0
686.8,438.0
686.8,437.0
686.0,436.2
685.8,436.0
685.0,435.2
684.8,435.0
684.0,434.2
683.8,434.0
683.0,433.2
682.8,433.0
682.8,432.0
682.8,431.0
682.0,430.2
681.0,430.2
680.0,430.2
679.8,430.0
679.0,429.2
678.8,429.0
678.8,428.0
678.0,427.2
677.0,427.2
676.8,427.0
676.8,426.0
676.8,425.0
676.8,424.0
676.0,423.2
675.0,423.2
674.0,423.2
673.0,423.2
672.0,423.2
671.0,423.2
670.8,423.0
670.8,422.0
670.8,421.0
670.8,420.0
670.8,419.0
670.8,418.0
670.8,417.0
670.8,416.0
670.8,415.0
670.0,414.2
669.8,414.0
669.0,413.2
668.8,413.0
668.8,412.0
668.8,411.0
668.8,410.0
668.0,409.2
667.0,409.2
666.0,409.2
665.0,409.2
664.0,409.2
663.0,409.2
662.8,409.0
662.0,408.2
661.0,408.2
660.0,408.2
659.0,408.2
658.0,408.2
657.0,408.2
656.0,408.2
655.0,408.2
654.0,408.2
653.0,408.2
652.0,408.2
651.0,408.2
650.0,408.2
649.0,408.2
648.2,409.0
648.2,410.0
648.2,411.0
648.2,412.0
648.2,413.0
648.0,413.2
647.2,414.0
647.0,414.2
646.8,414.0
646.8,413.0
646.8,412.0
