x,y
101.8,424.0
102.0,423.8
103.0,423.8
103.8,423.0
104.0,422.8
104.8,422.0
104.8,421.0
105.0,420.8
105.8,420.0
106.0,419.8
106.8,419.0
107.0,418.8
108.0,418.8
108.8,418.0
109.0,417.8
110.0,417.8
111.0,417.8
112.0,417.8
113.0,417.8
114.0,417.8
115.0,417.8
116.0,417.8
117.0,417.8
117.8,417.0
118.0,416.8
119.0,416.8
120.0,416.8
121.0,416.8
121.8,416.0
122.0,415.8
123.0,415.8
124.0,415.8
124.8,415.0
125.0,414.8
126.0,414.8
127.0,414.8
128.0,414.8
129.0,414.8
129.8,414.0
129.0,413.2
128.8,413.0
128.0,412.2
127.8,412.0
127.0,411.2
126.8,411.0
126.0,410.2
125.8,410.0
125.0,409.2
124.8,409.0
124.0,408.2
123.8,408.0
123.0,407.2
122.8,407.0
122.0,406.2
121.8,406.0
121.0,405.2
120.8,405.0
120.8,404.0
120.0,403.2
119.8,403.0
119.0,402.2
118.8,402.0
118.8,401.0
118.0,400.2
117.0,400.2
116.2,401.0
116.0,401.2
115.2,402.0
115.0,402.2
114.0,402.2
113.2,403.0
113.0,403.2
112.2,404.0
112.0,404.2
111.2,405.0
111.0,405.2
110.2,406.0
110.0,406.2
109.2,407.0
109.2,408.0
109.0,408.2
108.2,409.0
108.2,410.0
108.0,410.2
107.2,411.0
107.2,412.0
107.2,413.0
107.0,413.2
106.2,414.0
106.0,414.2
105.0,414.2
104.2,415.0
104.0,415.2
103.2,416.0
103.0,416.2
102.2,417.0
102.2,418.0
102.0,418.2
101.2,419.0
101.2,420.0
101.0,420.2
100.2,421.0
100.2,422.0
100.0,422.2
99.2,423.0
99.0,423.2
98.2,424.0
99.0,424.8
100.0,424.8
101.0,424.8
101.8,424.0
