x,y
255.8,501.0
255.8,500.0
256.0,499.8
257.0,499.8
258.0,499.8
259.0,499.8
260.0,499.8
261.0,499.8
262.0,499.8
263.0,499.8
264.0,499.8
265.0,499.8
266.0,499.8
267.0,499.8
268.0,499.8
269.0,499.8
270.0,499.8
271.0,499.8
271.2,500.0
272.0,500.8
273.0,500.8
273.8,500.0
273.0,499.2
272.0,499.2
271.8,499.0
272.0,498.8
273.0,498.8
274.0,498.8
275.0,498.8
276.0,498.8
277.0,498.8
278.0,498.8
279.0,498.8
280.0,498.8
281.0,498.8
282.0,498.8
283.0,498.8
284.0,498.8
285.0,498.8
286.0,498.8
287.0,498.8
287.2,499.0
288.0,499.8
289.0,499.8
290.0,499.8
290.8,499.0
291.0,498.8
292.0,498.8
293.0,498.8
293.2,499.0
294.0,499.8
295.0,499.8
295.8,499.0
296.0,498.8
297.0,498.8
298.0,498.8
299.0,498.8
300.0,498.8
301.0,498.8
302.0,498.8
303.0,498.8
303.2,499.0
303.0,499.2
302.2,500.0
303.0,500.8
303.8,500.0
304.0,499.8
305.0,499.8
306.0,499.8
306.8,499.0
306.0,498.2
305.0,498.2
304.0,498.2
303.8,498.0
304.0,497.8
305.0,497.8
306.0,497.8
307.0,497.8
308.0,497.8
308.8,497.0
309.0,496.8
310.0,496.8
311.0,496.8
311.8,496.0
312.0,495.8
313.0,495.8
314.0,495.8
315.0,495.8
316.0,495.8
317.0,495.8
318.0,495.8
319.0,495.8
320.0,495.8
321.0,495.8
321.8,495.0
322.0,494.8
323.0,494.8
324.0,494.8
324.8,494.0
325.0,493.8
326.0,493.8
327.0,493.8
328.0,493.8
329.0,493.8
330.0,493.8
330.8,493.0
330.8,492.0
331.0,491.8
332.0,491.8
333.0,491.8
334.0,491.8
334.2,492.0
334.0,492.2
333.2,493.0
334.0,493.8
334.2,494.0
334.0,494.2
333.0,494.2
332.0,494.2
331.2,495.0
332.0,495.8
333.0,495.8
334.0,495.8
335.0,495.8
336.0,495.8
337.0,495.8
338.0,495.8
338.8,495.0
338.0,494.2
337.0,494.2
336.0,494.2
335.8,494.0
335.8,493.0
336.0,492.8
336.8,492.0
336.8,491.0
337.0,490.8
338.0,490.8
339.0,490.8
340.0,490.8
340.2,491.0
341.0,491.8
341.2,492.0
342.0,492.8
342.8,492.0
343.0,491.8
343.2,492.0
344.0,492.8
345.0,492.8
345.8,492.0
345.8,491.0
345.0,490.2
344.0,490.2
343.0,490.2
342.0,490.2
341.8,490.0
342.0,489.8
343.0,489.8
344.0,489.8
345.0,489.8
345.8,489.0
346.0,488.8
347.0,488.8
347.8,488.0
348.0,487.8
349.0,487.8
350.0,487.8
351.0,487.8
351.8,487.0
352.0,486.8
353.0,486.8
353.2,487.0
354.0,487.8
355.0,487.8
356.0,487.8
356.8,487.0
357.0,486.8
357.8,486.0
358.0,485.8
359.0,485.8
359.2,486.0
360.0,486.8
361.0,486.8
361.2,487.0
362.0,487.8
363.0,487.8
363.8,487.0
363.8,486.0
363.0,485.2
362.8,485.0
362.0,484.2
361.8,484.0
362.0,483.8
362.8,483.0
363.0,482.8
363.8,482.0
364.0,481.8
365.0,481.8
366.0,481.8
366.8,481.0
367.0,480.8
367.2,481.0
368.0,481.8
369.0,481.8
370.0,481.8
370.8,481.0
371.0,480.8
371.8,480.0
371.8,479.0
372.0,478.8
372.2,479.0
373.0,479.8
374.0,479.8
375.0,479.8
376.0,479.8
377.0,479.8
378.0,479.8
379.0,479.8
379.8,479.0
380.0,478.8
380.8,478.0
381.0,477.8
381.8,477.0
381.0,476.2
380.8,476.0
380.8,475.0
381.0,474.8
382.0,474.8
382.2,475.0
383.0,475.8
383.8,475.0
383.8,474.0
384.0,473.8
385.0,473.8
385.8,473.0
386.0,472.8
386.8,472.0
387.0,471.8
387.2,472.0
388.0,472.8
389.0,472.8
390.0,472.8
390.8,472.0
391.0,471.8
391.8,471.0
392.0,470.8
392.2,471.0
393.0,471.8
394.0,471.8
394.8,471.0
394.8,470.0
395.0,469.8
396.0,469.8
396.8,469.0
397.0,468.8
397.8,468.0
397.0,467.2
396.0,467.2
395.8,467.0
396.0,466.8
396.8,466.0
397.0,465.8
398.0,465.8
399.0,465.8
399.8,465.0
399.8,464.0
400.0,463.8
401.0,463.8
402.0,463.8
403.0,463.8
403.8,463.0
404.0,462.8
405.0,462.8
405.8,462.0
405.0,461.2
404.8,461.0
405.0,460.8
406.0,460.8
406.2,461.0
407.0,461.8
407.8,461.0
407.0,460.2
406.8,460.0
407.0,459.8
408.0,459.8
409.0,459.8
409.2,460.0
409.2,461.0
410.0,461.8
410.8,461.0
411.0,460.8
411.8,460.0
411.8,459.0
411.0,458.2
410.8,458.0
411.0,457.8
412.0,457.8
412.8,457.0
413.0,456.8
414.0,456.8
415.0,456.8
415.8,456.0
415.8,455.0
416.0,454.8
417.0,454.8
417.8,454.0
417.8,453.0
418.0,452.8
419.0,452.8
419.2,453.0
420.0,453.8
421.0,453.8
421.8,453.0
422.0,452.8
422.8,452.0
423.0,451.8
423.8,451.0
424.0,450.8
425.0,450.8
426.0,450.8
426.8,450.0
426.8,449.0
427.0,448.8
427.8,448.0
428.0,447.8
429.0,447.8
430.0,447.8
431.0,447.8
431.8,447.0
431.8,446.0
431.8,445.0
432.0,444.8
432.8,444.0
432.8,443.0
432.8,442.0
433.0,441.8
433.8,441.0
434.0,440.8
434.8,440.0
435.0,439.8
435.2,440.0
435.2,441.0
435.2,442.0
435.0,442.2
434.2,443.0
435.0,443.8
436.0,443.8
436.8,443.0
437.0,442.8
437.8,442.0
437.0,441.2
436.8,441.0
436.8,440.0
436.8,439.0
436.0,438.2
435.8,438.0
436.0,437.8
436.8,437.0
437.0,436.8
437.2,437.0
437.2,438.0
437.2,439.0
438.0,439.8
438.8,439.0
439.0,438.8
439.2,439.0
440.0,439.8
440.8,439.0
440.0,438.2
439.8,438.0
439.8,437.0
439.0,436.2
438.8,436.0
439.0,435.8
439.8,435.0
440.0,434.8
441.0,434.8
441.8,434.0
442.0,433.8
442.8,433.0
443.0,432.8
443.8,432.0
444.0,431.8
444.2,432.0
444.2,433.0
444.2,434.0
445.0,434.8
446.0,434.8
446.8,434.0
446.8,433.0
446.8,432.0
447.0,431.8
447.8,431.0
448.0,430.8
448.8,430.0
448.0,429.2
447.0,429.2
446.8,429.0
447.0,428.8
447.8,428.0
448.0,427.8
449.0,427.8
449.8,427.0
449.8,426.0
450.0,425.8
450.8,425.0
451.0,424.8
451.8,424.0
452.0,423.8
453.0,423.8
453.2,424.0
453.0,424.2
452.2,425.0
452.0,425.2
451.2,426.0
451.0,426.2
450.2,427.0
450.2,428.0
451.0,428.8
451.8,428.0
452.0,427.8
452.8,427.0
452.8,426.0
453.0,425.8
454.0,425.8
454.2,426.0
454.2,427.0
455.0,427.8
455.8,427.0
455.8,426.0
455.0,425.2
454.8,425.0
454.8,424.0
454.8,423.0
454.0,422.2
453.8,422.0
454.0,421.8
455.0,421.8
455.8,421.0
455.8,420.0
456.0,419.8
457.0,419.8
457.8,419.0
458.0,418.8
458.8,418.0
459.0,417.8
459.8,417.0
460.0,416.8
460.8,416.0
461.0,415.8
462.0,415.8
463.0,415.8
463.8,415.0
463.8,414.0
463.8,413.0
463.8,412.0
464.0,411.8
464.8,411.0
465.0,410.8
465.8,410.0
466.0,409.8
466.8,409.0
467.0,408.8
468.0,408.8
469.0,408.8
470.0,408.8
471.0,408.8
471.8,408.0
471.8,407.0
471.0,406.2
470.8,406.0
470.8,405.0
471.0,404.8
471.8,404.0
471.8,403.0
472.0,402.8
473.0,402.8
473.8,402.0
474.0,401.8
474.8,401.0
474.8,400.0
475.0,399.8
476.0,399.8
476.8,399.0
477.0,398.8
478.0,398.8
478.2,399.0
479.0,399.8
479.8,399.0
479.0,398.2
478.8,398.0
478.8,397.0
479.0,396.8
479.8,396.0
479.0,395.2
478.2,396.0
478.0,396.2
477.2,397.0
477.0,397.2
476.2,398.0
476.0,398.2
475.0,398.2
474.8,398.0
475.0,397.8
475.8,397.0
476.0,396.8
476.8,396.0
476.8,395.0
477.0,394.8
477.8,394.0
478.0,393.8
478.2,394.0
479.0,394.8
479.8,394.0
479.8,393.0
479.8,392.0
479.8,391.0
480.0,390.8
481.0,390.8
481.8,390.0
481.8,389.0
481.8,388.0
481.8,387.0
482.0,386.8
482.8,386.0
483.0,385.8
483.8,385.0
483.8,384.0
484.0,383.8
485.0,383.8
486.0,383.8
487.0,383.8
487.8,383.0
487.8,382.0
487.0,381.2
486.8,381.0
487.0,380.8
487.8,380.0
488.0,379.8
488.8,379.0
489.0,378.8
489.8,378.0
490.0,377.8
490.8,377.0
491.0,376.8
491.8,376.0
491.8,375.0
492.0,374.8
493.0,374.8
493.8,374.0
493.8,373.0
493.8,372.0
494.0,371.8
494.8,371.0
494.8,370.0
494.8,369.0
494.8,368.0
495.0,367.8
495.8,367.0
495.8,366.0
496.0,365.8
497.0,365.8
497.8,365.0
497.0,364.2
496.8,364.0
496.0,363.2
495.8,363.0
496.0,362.8
496.8,362.0
497.0,361.8
497.8,361.0
498.0,360.8
498.8,360.0
499.0,359.8
499.8,359.0
499.0,358.2
498.8,358.0
498.8,357.0
499.0,356.8
500.0,356.8
500.8,356.0
500.0,355.2
499.8,355.0
499.8,354.0
500.0,353.8
500.8,353.0
501.0,352.8
501.8,352.0
502.0,351.8
502.8,351.0
502.8,350.0
502.8,349.0
502.8,348.0
503.0,347.8
503.2,348.0
503.2,349.0
503.2,350.0
503.2,351.0
504.0,351.8
505.0,351.8
506.0,351.8
506.8,351.0
506.8,350.0
506.8,349.0
506.8,348.0
506.0,347.2
505.8,347.0
505.0,346.2
504.0,346.2
503.8,346.0
503.8,345.0
504.0,344.8
504.8,344.0
504.8,343.0
505.0,342.8
505.8,342.0
506.0,341.8
506.2,342.0
506.2,343.0
506.2,344.0
506.2,345.0
507.0,345.8
507.2,346.0
508.0,346.8
508.8,346.0
509.0,345.8
509.8,345.0
509.8,344.0
509.8,343.0
509.8,342.0
509.8,341.0
509.8,340.0
510.0,339.8
510.8,339.0
510.0,338.2
509.0,338.2
508.2,339.0
508.0,339.2
507.8,339.0
507.8,338.0
507.8,337.0
507.8,336.0
508.0,335.8
508.8,335.0
509.0,334.8
509.2,335.0
510.0,335.8
510.2,336.0
510.2,337.0
511.0,337.8
511.8,337.0
511.8,336.0
511.8,335.0
511.8,334.0
511.8,333.0
511.8,332.0
511.8,331.0
511.8,330.0
511.8,329.0
511.8,328.0
511.8,327.0
511.8,326.0
511.8,325.0
511.8,324.0
511.8,323.0
512.0,322.8
512.8,322.0
513.0,321.8
513.8,321.0
513.8,320.0
513.0,319.2
512.8,319.0
512.8,318.0
513.0,317.8
513.8,317.0
514.0,316.8
514.8,316.0
514.8,315.0
514.8,314.0
514.8,313.0
514.8,312.0
514.8,311.0
515.0,310.8
516.0,310.8
516.8,310.0
516.8,309.0
516.8,308.0
516.8,307.0
516.8,306.0
517.0,305.8
517.8,305.0
517.8,304.0
518.0,303.8
519.0,303.8
519.8,303.0
519.8,302.0
519.8,301.0
519.8,300.0
519.8,299.0
519.8,298.0
519.0,297.2
518.8,297.0
518.8,296.0
519.0,295.8
519.8,295.0
519.8,294.0
519.8,293.0
519.0,292.2
518.8,292.0
519.0,291.8
519.8,291.0
519.8,290.0
519.8,289.0
