x,y
393.8,370.0
394.0,369.8
394.8,369.0
395.0,368.8
396.0,368.8
397.0,368.8
398.0,368.8
398.8,368.0
398.8,367.0
399.0,366.8
400.0,366.8
400.8,366.0
401.0,365.8
401.8,365.0
402.0,364.8
402.8,364.0
403.0,363.8
403.8,363.0
404.0,362.8
404.8,362.0
405.0,361.8
405.8,361.0
405.8,360.0
406.0,359.8
406.8,359.0
407.0,358.8
407.8,358.0
407.8,357.0
408.0,356.8
408.8,356.0
408.8,355.0
409.0,354.8
409.8,354.0
410.0,353.8
410.8,353.0
410.8,352.0
411.0,351.8
411.8,351.0
412.0,350.8
412.8,350.0
412.8,349.0
413.0,348.8
413.8,348.0
413.8,347.0
413.8,346.0
413.8,345.0
413.8,344.0
413.8,343.0
413.8,342.0
413.8,341.0
413.8,340.0
413.8,339.0
413.8,338.0
413.8,337.0
414.0,336.8
414.8,336.0
414.8,335.0
414.8,334.0
414.0,333.2
413.8,333.0
413.8,332.0
413.8,331.0
413.8,330.0
413.8,329.0
413.8,328.0
413.8,327.0
413.8,326.0
413.8,325.0
413.0,324.2
412.8,324.0
412.8,323.0
412.8,322.0
412.8,321.0
412.8,320.0
412.8,319.0
412.8,318.0
412.8,317.0
412.8,316.0
412.8,315.0
412.8,314.0
412.8,313.0
412.8,312.0
412.8,311.0
412.8,310.0
412.8,309.0
412.8,308.0
412.8,307.0
412.8,306.0
412.8,305.0
412.8,304.0
412.8,303.0
412.8,302.0
413.0,301.8
413.8,301.0
414.0,300.8
414.8,300.0
414.8,299.0
414.8,298.0
415.0,297.8
415.8,297.0
416.0,296.8
416.8,296.0
417.0,295.8
417.8,295.0
417.8,294.0
418.0,293.8
418.8,293.0
418.8,292.0
418.8,291.0
418.8,290.0
418.8,289.0
418.0,288.2
417.8,288.0
417.0,287.2
416.0,287.2
415.2,288.0
415.0,288.2
414.0,288.2
413.0,288.2
412.0,288.2
411.0,288.2
410.2,289.0
410.0,289.2
409.0,289.2
408.2,290.0
408.0,290.2
407.2,291.0
407.0,291.2
406.0,291.2
405.0,291.2
404.0,291.2
403.2,292.0
403.0,292.2
402.8,292.0
402.8,291.0
402.8,290.0
402.8,289.0
402.8,288.0
402.8,287.0
402.8,286.0
402.8,285.0
402.8,284.0
402.8,283.0
402.8,282.0
402.8,281.0
402.0,280.2
401.8,280.0
401.0,279.2
400.0,279.2
399.0,279.2
398.2,280.0
398.2,281.0
398.2,282.0
398.2,283.0
398.0,283.2
397.2,284.0
397.0,284.2
396.2,285.0
397.0,285.8
398.0,285.8
398.2,286.0
398.2,287.0
398.0,287.2
397.2,288.0
397.2,289.0
397.2,290.0
397.2,291.0
398.0,291.8
398.2,292.0
398.2,293.0
398.2,294.0
398.0,294.2
397.2,295.0
397.0,295.2
396.8,295.0
396.8,294.0
396.8,293.0
396.8,292.0
396.8,291.0
396.0,290.2
395.8,290.0
395.8,289.0
395.0,288.2
394.8,288.0
394.8,287.0
394.0,286.2
393.8,286.0
393.0,285.2
392.0,285.2
391.2,286.0
391.2,287.0
391.0,287.2
390.2,288.0
390.2,289.0
390.2,290.0
390.2,291.0
390.2,292.0
390.2,293.0
390.2,294.0
390.2,295.0
391.0,295.8
391.2,296.0
392.0,296.8
392.2,297.0
392.2,298.0
392.0,298.2
391.2,299.0
391.2,300.0
391.2,301.0
391.2,302.0
391.2,303.0
391.0,303.2
390.2,304.0
390.2,305.0
390.2,306.0
390.2,307.0
390.2,308.0
390.2,309.0
390.2,310.0
390.0,310.2
389.2,311.0
389.2,312.0
389.0,312.2
388.2,313.0
388.2,314.0
388.2,315.0
388.0,315.2
387.2,316.0
387.2,317.0
387.0,317.2
386.2,318.0
386.2,319.0
386.0,319.2
385.2,320.0
385.2,321.0
385.0,321.2
384.2,322.0
384.2,323.0
384.2,324.0
384.0,324.2
383.2,325.0
383.2,326.0
383.2,327.0
383.0,327.2
382.2,328.0
382.2,329.0
382.2,330.0
382.2,331.0
382.0,331.2
381.2,332.0
381.2,333.0
381.2,334.0
381.2,335.0
381.0,335.2
380.2,336.0
380.2,337.0
380.2,338.0
380.2,339.0
380.2,340.0
380.2,341.0
380.2,342.0
380.2,343.0
380.2,344.0
380.0,344.2
379.2,345.0
379.2,346.0
379.2,347.0
379.2,348.0
379.2,349.0
379.2,350.0
379.0,350.2
378.2,351.0
378.2,352.0
378.2,353.0
378.2,354.0
378.2,355.0
378.2,356.0
378.2,357.0
379.0,357.8
379.2,358.0
380.0,358.8
380.2,359.0
380.2,360.0
380.2,361.0
380.2,362.0
381.0,362.8
381.2,363.0
382.0,363.8
382.2,364.0
382.2,365.0
383.0,365.8
383.2,366.0
383.2,367.0
384.0,367.8
384.2,368.0
385.0,368.8
386.0,368.8
387.0,368.8
388.0,368.8
389.0,368.8
390.0,368.8
390.2,369.0
391.0,369.8
392.0,369.8
392.2,370.0
393.0,370.8
393.8,370.0
