x,y
551.8,771.0
552.0,770.8
553.0,770.8
554.0,770.8
555.0,770.8
555.8,770.0
556.0,769.8
557.0,769.8
558.0,769.8
558.8,769.0
559.0,768.8
560.0,768.8
561.0,768.8
562.0,768.8
563.0,768.8
563.8,768.0
564.0,767.8
565.0,767.8
566.0,767.8
566.8,767.0
567.0,766.8
568.0,766.8
569.0,766.8
569.8,766.0
570.0,765.8
571.0,765.8
571.8,765.0
571.8,764.0
572.0,763.8
572.8,763.0
572.8,762.0
572.0,761.2
571.8,761.0
571.0,760.2
570.0,760.2
569.0,760.2
568.8,760.0
568.0,759.2
567.0,759.2
566.8,759.0
566.0,758.2
565.0,758.2
564.8,758.0
564.0,757.2
563.0,757.2
562.8,757.0
562.0,756.2
561.0,756.2
560.0,756.2
559.0,756.2
558.8,756.0
558.0,755.2
557.0,755.2
556.0,755.2
555.8,755.0
555.0,754.2
554.0,754.2
553.0,754.2
552.0,754.2
551.0,754.2
550.0,754.2
549.0,754.2
548.0,754.2
547.0,754.2
546.8,754.0
546.0,753.2
545.0,753.2
544.0,753.2
543.0,753.2
542.0,753.2
541.0,753.2
540.0,753.2
539.2,754.0
539.0,754.2
538.0,754.2
537.0,754.2
536.0,754.2
535.2,755.0
535.0,755.2
534.0,755.2
533.0,755.2
532.2,756.0
532.0,756.2
531.2,757.0
531.0,757.2
530.2,758.0
530.2,759.0
530.0,759.2
529.2,760.0
529.0,760.2
528.0,760.2
527.2,761.0
527.2,762.0
528.0,762.8
528.2,763.0
528.2,764.0
528.2,765.0
529.0,765.8
529.2,766.0
530.0,766.8
530.2,767.0
531.0,767.8
532.0,767.8
532.2,768.0
533.0,768.8
533.2,769.0
534.0,769.8
535.0,769.8
535.2,770.0
536.0,770.8
537.0,770.8
538.0,770.8
538.2,771.0
539.0,771.8
540.0,771.8
541.0,771.8
542.0,771.8
543.0,771.8
544.0,771.8
545.0,771.8
546.0,771.8
547.0,771.8
548.0,771.8
549.0,771.8
550.0,771.8
551.0,771.8
551.8,771.0
