x,y
308.8,140.0
309.0,139.8
310.0,139.8
310.8,139.0
311.0,138.8
311.8,138.0
312.0,137.8
312.8,137.0
312.8,136.0
313.0,135.8
314.0,135.8
315.0,135.8
316.0,135.8
317.0,135.8
317.2,136.0
318.0,136.8
319.0,136.8
319.8,136.0
319.8,135.0
320.0,134.8
320.8,134.0
321.0,133.8
322.0,133.8
322.8,133.0
323.0,132.8
324.0,132.8
325.0,132.8
326.0,132.8
326.8,132.0
327.0,131.8
328.0,131.8
328.8,131.0
328.8,130.0
329.0,129.8
330.0,129.8
330.2,130.0
331.0,130.8
331.8,130.0
331.8,129.0
332.0,128.8
332.8,128.0
333.0,127.8
334.0,127.8
334.8,127.0
335.0,126.8
335.8,126.0
336.0,125.8
337.0,125.8
337.2,126.0
338.0,126.8
338.8,126.0
338.8,125.0
339.0,124.8
339.8,124.0
340.0,123.8
340.2,124.0
341.0,124.8
341.8,124.0
341.0,123.2
340.8,123.0
341.0,122.8
342.0,122.8
343.0,122.8
343.8,122.0
343.8,121.0
344.0,120.8
345.0,120.8
345.8,120.0
345.8,119.0
346.0,118.8
346.8,118.0
347.0,117.8
347.8,117.0
348.0,116.8
348.8,116.0
349.0,115.8
350.0,115.8
350.8,115.0
351.0,114.8
351.8,114.0
352.0,113.8
352.8,113.0
353.0,112.8
353.8,112.0
353.8,111.0
354.0,110.8
355.0,110.8
355.8,110.0
356.0,109.8
356.8,109.0
357.0,108.8
357.8,108.0
357.8,107.0
358.0,106.8
358.8,106.0
358.8,105.0
358.8,104.0
359.0,103.8
359.8,103.0
360.0,102.8
360.8,102.0
360.8,101.0
361.0,100.8
362.0,100.8
362.8,100.0
362.8,99.0
363.0,98.8
363.8,98.0
364.0,97.8
364.8,97.0
364.8,96.0
365.0,95.8
366.0,95.8
366.8,95.0
366.8,94.0
366.8,93.0
366.8,92.0
366.8,91.0
367.0,90.8
367.8,90.0
367.0,89.2
366.8,89.0
366.8,88.0
366.8,87.0
366.0,86.2
365.8,86.0
365.8,85.0
366.0,84.8
366.2,85.0
367.0,85.8
367.8,85.0
367.8,84.0
367.8,83.0
368.0,82.8
368.8,82.0
368.8,81.0
368.0,80.2
367.8,80.0
368.0,79.8
368.8,79.0
368.8,78.0
369.0,77.8
369.8,77.0
369.8,76.0
370.0,75.8
370.8,75.0
370.0,74.2
369.8,74.0
370.0,73.8
370.8,73.0
370.8,72.0
370.0,71.2
369.8,71.0
370.0,70.8
370.8,70.0
370.8,69.0
370.0,68.2
369.8,68.0
369.8,67.0
369.8,66.0
369.0,65.2
368.8,65.0
369.0,64.8
369.8,64.0
369.0,63.2
368.2,64.0
368.0,64.2
367.0,64.2
366.0,64.2
365.0,64.2
364.8,64.0
364.8,63.0
364.0,62.2
363.8,62.0
363.8,61.0
363.8,60.0
363.8,59.0
363.8,58.0
363.8,57.0
363.8,56.0
364.0,55.8
364.8,55.0
364.0,54.2
363.8,54.0
363.8,53.0
363.8,52.0
363.8,51.0
363.0,50.2
362.0,50.2
361.8,50.0
361.0,49.2
360.8,49.0
360.0,48.2
359.8,48.0
360.0,47.8
360.8,47.0
360.0,46.2
359.2,47.0
359.0,47.2
358.0,47.2
357.0,47.2
356.0,47.2
355.0,47.2
354.0,47.2
353.0,47.2
352.0,47.2
351.8,47.0
351.0,46.2
350.2,47.0
350.2,48.0
350.0,48.2
349.0,48.2
348.8,48.0
348.0,47.2
347.2,48.0
347.2,49.0
347.0,49.2
346.8,49.0
346.0,48.2
345.0,48.2
344.2,49.0
344.0,49.2
343.2,50.0
343.2,51.0
343.2,52.0
343.0,52.2
342.0,52.2
341.2,53.0
341.0,53.2
340.2,54.0
340.0,54.2
339.2,55.0
339.0,55.2
338.2,56.0
338.0,56.2
337.2,57.0
337.2,58.0
337.0,58.2
336.2,59.0
336.0,59.2
335.2,60.0
335.0,60.2
334.2,61.0
334.0,61.2
333.2,62.0
333.0,62.2
