x,y
512.8,294.0
513.0,293.8
514.0,293.8
515.0,293.8
515.8,293.0
516.0,292.8
517.0,292.8
517.8,292.0
518.0,291.8
519.0,291.8
519.8,291.0
520.0,290.8
520.8,290.0
520.0,289.2
519.8,289.0
519.0,288.2
518.8,288.0
518.0,287.2
517.8,287.0
517.0,286.2
516.0,286.2
515.8,286.0
515.0,285.2
514.8,285.0
514.0,284.2
513.0,284.2
512.8,284.0
512.0,283.2
511.8,283.0
511.0,282.2
510.0,282.2
509.8,282.0
509.0,281.2
508.8,281.0
508.0,280.2
507.8,280.0
507.0,279.2
506.8,279.0
506.0,278.2
505.0,278.2
504.8,278.0
504.0,277.2
503.8,277.0
503.0,276.2
502.0,276.2
501.8,276.0
501.0,275.2
500.0,275.2
499.8,275.0
499.0,274.2
498.0,274.2
497.8,274.0
497.0,273.2
496.0,273.2
495.8,273.0
495.0,272.2
494.8,272.0
494.0,271.2
493.0,271.2
492.8,271.0
492.0,270.2
491.0,270.2
490.0,270.2
489.0,270.2
488.8,270.0
488.0,269.2
487.0,269.2
486.0,269.2
485.0,269.2
484.0,269.2
483.8,269.0
483.0,268.2
482.0,268.2
481.0,268.2
480.0,268.2
479.0,268.2
478.0,268.2
477.8,268.0
477.0,267.2
476.0,267.2
475.0,267.2
474.0,267.2
473.0,267.2
472.0,267.2
471.8,267.0
471.0,266.2
470.0,266.2
469.0,266.2
468.0,266.2
467.0,266.2
466.8,266.0
466.0,265.2
465.0,265.2
464.0,265.2
463.0,265.2
462.0,265.2
461.0,265.2
460.0,265.2
459.0,265.2
458.0,265.2
457.0,265.2
456.0,265.2
455.2,266.0
455.0,266.2
454.0,266.2
453.0,266.2
452.0,266.2
451.0,266.2
450.0,266.2
449.0,266.2
448.0,266.2
447.2,267.0
447.0,267.2
446.0,267.2
445.0,267.2
444.0,267.2
443.0,267.2
442.0,267.2
441.0,267.2
440.2,268.0
440.0,268.2
439.0,268.2
438.2,269.0
438.0,269.2
437.0,269.2
436.0,269.2
435.2,270.0
435.0,270.2
434.0,270.2
433.2,271.0
433.0,271.2
432.2,272.0
432.0,272.2
431.0,272.2
430.2,273.0
430.0,273.2
429.0,273.2
428.2,274.0
428.0,274.2
427.0,274.2
426.2,275.0
426.0,275.2
425.2,276.0
425.0,276.2
424.2,277.0
424.0,277.2
423.2,278.0
423.2,279.0
423.0,279.2
422.2,280.0
422.2,281.0
422.2,282.0
422.2,283.0
422.2,284.0
423.0,284.8
424.0,284.8
425.0,284.8
426.0,284.8
426.8,284.0
427.0,283.8
427.8,283.0
428.0,282.8
428.8,282.0
429.0,281.8
429.8,281.0
429.8,280.0
430.0,279.8
430.8,279.0
431.0,278.8
432.0,278.8
433.0,278.8
433.8,278.0
434.0,277.8
435.0,277.8
436.0,277.8
437.0,277.8
438.0,277.8
439.0,277.8
439.8,277.0
440.0,276.8
441.0,276.8
442.0,276.8
443.0,276.8
444.0,276.8
445.0,276.8
446.0,276.8
447.0,276.8
448.0,276.8
449.0,276.8
450.0,276.8
451.0,276.8
452.0,276.8
453.0,276.8
454.0,276.8
455.0,276.8
456.0,276.8
456.2,277.0
457.0,277.8
458.0,277.8
459.0,277.8
459.2,278.0
460.0,278.8
461.0,278.8
461.2,279.0
462.0,279.8
462.2,280.0
462.2,281.0
462.0,281.2
461.0,281.2
460.0,281.2
459.2,282.0
459.0,282.2
458.2,283.0
458.2,284.0
459.0,284.8
460.0,284.8
461.0,284.8
462.0,284.8
463.0,284.8
463.2,285.0
464.0,285.8
465.0,285.8
466.0,285.8
467.0,285.8
468.0,285.8
469.0,285.8
469.2,286.0
470.0,286.8
471.0,286.8
472.0,286.8
473.0,286.8
474.0,286.8
474.2,287.0
475.0,287.8
476.0,287.8
477.0,287.8
478.0,287.8
478.2,288.0
479.0,288.8
480.0,288.8
481.0,288.8
482.0,288.8
483.0,288.8
483.2,289.0
484.0,289.8
485.0,289.8
486.0,289.8
486.2,290.0
487.0,290.8
488.0,290.8
488.2,291.0
489.0,291.8
490.0,291.8
491.0,291.8
492.0,291.8
492.2,292.0
493.0,292.8
494.0,292.8
495.0,292.8
495.2,293.0
496.0,293.8
497.0,293.8
498.0,293.8
499.0,293.8
500.0,293.8
500.2,294.0
501.0,294.8
502.0,294.8
503.0,294.8
504.0,294.8
505.0,294.8
506.0,294.8
507.0,294.8
508.0,294.8
509.0,294.8
510.0,294.8
511.0,294.8
512.0,294.8
512.8,294.0
