x,y
207.8,649.0
208.0,648.8
209.0,648.8
210.0,648.8
211.0,648.8
212.0,648.8
213.0,648.8
214.0,648.8
215.0,648.8
216.0,648.8
217.0,648.8
217.8,648.0
218.0,647.8
219.0,647.8
220.0,647.8
220.8,647.0
221.0,646.8
221.8,646.0
222.0,645.8
223.0,645.8
224.0,645.8
224.8,645.0
224.8,644.0
225.0,643.8
226.0,643.8
226.8,643.0
227.0,642.8
228.0,642.8
229.0,642.8
230.0,642.8
231.0,642.8
232.0,642.8
233.0,642.8
233.8,642.0
234.0,641.8
235.0,641.8
235.2,642.0
236.0,642.8
236.8,642.0
237.0,641.8
238.0,641.8
239.0,641.8
240.0,641.8
241.0,641.8
242.0,641.8
242.8,641.0
242.8,640.0
243.0,639.8
243.8,639.0
243.0,638.2
242.8,638.0
243.0,637.8
243.8,637.0
244.0,636.8
244.8,636.0
244.8,635.0
244.0,634.2
243.8,634.0
243.0,633.2
242.8,633.0
242.0,632.2
241.0,632.2
240.8,632.0
240.0,631.2
239.0,631.2
238.8,631.0
238.0,630.2
237.0,630.2
236.8,630.0
236.0,629.2
235.8,629.0
235.0,628.2
234.8,628.0
234.0,627.2
233.0,627.2
232.0,627.2
231.8,627.0
231.0,626.2
230.8,626.0
230.0,625.2
229.8,625.0
229.0,624.2
228.8,624.0
228.0,623.2
227.8,623.0
227.0,622.2
226.8,622.0
226.0,621.2
225.8,621.0
225.0,620.2
224.0,620.2
223.8,620.0
223.8,619.0
223.0,618.2
222.8,618.0
222.0,617.2
221.8,617.0
221.0,616.2
220.8,616.0
220.0,615.2
219.8,615.0
219.0,614.2
218.0,614.2
217.0,614.2
216.0,614.2
215.0,614.2
214.0,614.2
213.8,614.0
213.0,613.2
212.8,613.0
212.0,612.2
211.8,612.0
211.0,611.2
210.0,611.2
209.0,611.2
208.0,611.2
207.0,611.2
206.0,611.2
205.0,611.2
204.8,611.0
205.0,610.8
205.8,610.0
205.0,609.2
204.2,610.0
204.0,610.2
203.2,611.0
203.0,611.2
202.8,611.0
202.8,610.0
202.0,609.2
201.0,609.2
200.0,609.2
199.0,609.2
198.0,609.2
197.0,609.2
196.0,609.2
195.0,609.2
194.0,609.2
193.0,609.2
192.8,609.0
192.0,608.2
191.2,609.0
191.0,609.2
190.0,609.2
189.0,609.2
188.0,609.2
187.0,609.2
186.0,609.2
185.0,609.2
184.0,609.2
183.0,609.2
182.0,609.2
181.2,610.0
181.0,610.2
180.0,610.2
179.0,610.2
178.0,610.2
177.0,610.2
176.0,610.2
175.0,610.2
174.2,611.0
174.0,611.2
173.8,611.0
173.8,610.0
174.0,609.8
175.0,609.8
175.8,609.0
176.0,608.8
176.8,608.0
176.0,607.2
175.0,607.2
174.2,608.0
174.0,608.2
173.2,609.0
173.0,609.2
172.2,610.0
172.2,611.0
172.0,611.2
171.8,611.0
171.8,610.0
171.0,609.2
170.0,609.2
169.0,609.2
168.2,610.0
168.2,611.0
169.0,611.8
170.0,611.8
171.0,611.8
171.2,612.0
171.0,612.2
170.2,613.0
170.0,613.2
169.2,614.0
169.0,614.2
168.8,614.0
168.8,613.0
168.0,612.2
167.2,613.0
167.0,613.2
166.0,613.2
165.2,614.0
165.0,614.2
164.0,614.2
163.8,614.0
163.0,613.2
162.0,613.2
161.2,614.0
161.0,614.2
160.0,614.2
159.2,615.0
160.0,615.8
161.0,615.8
161.2,616.0
162.0,616.8
163.0,616.8
163.2,617.0
163.2,618.0
164.0,618.8
164.2,619.0
164.0,619.2
163.2,620.0
164.0,620.8
164.2,621.0
164.0,621.2
163.0,621.2
162.2,622.0
163.0,622.8
164.0,622.8
164.2,623.0
165.0,623.8
166.0,623.8
166.2,624.0
166.0,624.2
165.2,625.0
165.2,626.0
165.0,626.2
164.8,626.0
164.8,625.0
164.0,624.2
163.8,624.0
163.0,623.2
162.2,624.0
162.0,624.2
161.8,624.0
161.8,623.0
161.8,622.0
161.0,621.2
160.8,621.0
160.0,620.2
159.2,621.0
159.2,622.0
160.0,622.8
160.2,623.0
160.2,624.0
160.2,625.0
160.2,626.0
160.2,627.0
160.0,627.2
159.2,628.0
160.0,628.8
160.8,628.0
161.0,627.8
161.2,628.0
161.2,629.0
161.2,630.0
161.2,631.0
161.2,632.0
161.2,633.0
162.0,633.8
162.2,634.0
163.0,634.8
163.2,635.0
164.0,635.8
165.0,635.8
166.0,635.8
167.0,635.8
167.2,636.0
167.0,636.2
166.2,637.0
166.2,638.0
166.0,638.2
165.0,638.2
164.2,639.0
165.0,639.8
166.0,639.8
167.0,639.8
167.8,639.0
167.8,638.0
167.8,637.0
168.0,636.8
168.2,637.0
169.0,637.8
170.0,637.8
171.0,637.8
171.2,638.0
172.0,638.8
173.0,638.8
173.2,639.0
174.0,639.8
175.0,639.8
176.0,639.8
177.0,639.8
178.0,639.8
179.0,639.8
179.2,640.0
180.0,640.8
180.2,641.0
181.0,641.8
181.2,642.0
182.0,642.8
182.2,643.0
183.0,643.8
184.0,643.8
185.0,643.8
185.2,644.0
185.2,645.0
186.0,645.8
187.0,645.8
188.0,645.8
189.0,645.8
190.0,645.8
191.0,645.8
192.0,645.8
193.0,645.8
193.2,646.0
194.0,646.8
194.2,647.0
195.0,647.8
196.0,647.8
197.0,647.8
198.0,647.8
199.0,647.8
200.0,647.8
201.0,647.8
202.0,647.8
203.0,647.8
204.0,647.8
205.0,647.8
205.2,648.0
206.0,648.8
206.2,649.0
207.0,649.8
207.8,649.0
